Quantity,Reference Designator,Model
1,R1A,"470k ohm, 0603, 5%"
1,R2A,"1M ohm, 0603, 5%"
8,"R4A, R4B, R4C, R4D, R4E, 2 x R5M, JP2","0 ohm, 0603"
3,"R1B, R2D, R2E","150k ohm, 0603, 5%"
1,R2B,"330k ohm, 0603, 5%"
2,"R1C, R1D","100k ohm, 0603, 5%"
1,R2C,"220k ohm, 0603, 5%"
1,R1E,"68k ohm, 0603, 5%"
6,"C1A, C1B, C1C, C1D, C1E, C2E","1.5nF, 0603, C0G, 20%"
1,C2A,"33pF, 0603, C0G, 20%"
10,"C9A, C0A, C9B, C0B, C9C, C0C, C9D, C0D, C9E, C0E","100nF, 0603, X7R, 20%"
1,C2B,"330pF, 0603, C0G, 20%"
1,C2C,"680pF, 0603, C0G, 20%"
1,C2D,"1nF, 0603, C0G, 20%"
2,"C101M, C100M","10µF, 6032, tantalum, 20%"
5,"U2A, U2B, U2C, U2D, U2E","AD8657, MSOP"
8,"2 x J1M, 2 x J2M, 2 x J3M, 2 x J4M","67996-206HLF, 2x3 0.1"" header"
3,"J2M, J3M, J4M","65474-010LF, 0.1"" jumper"
5,"J1A, J1B, J1C, J1D, J1E","BCS-103-L-D-TE, 2x3 0.1"" socket"
4,"2 x J5M, 2 x J6M","142-0701-851, SMA Jack, board edge female"
6,"2 x +VS, 2 x -VS, 2 x GND","68000-101HLF, Test pin"
2,2 x C3M,"100nF, 0603, X7R, 20%"
1,IN to OUT,"501-1253-ND, male-male SMA"
1,REF to REF,wire
