Frequency,Nominal,Min,Max
118,26681992.452797186,19133598.18506369,38374122.1470291
120,25977192.144834433,18589584.31645261,37452434.402483426
122,25298420.982706346,18067059.617736854,36562317.69083018
125,24326367.76311658,17321206.14269643,35283191.2836082
128,23406206.334241007,16617883.651318427,34067325.26141868
130,22819825.268588055,16171094.10596328,33289832.266194496
132,22253942.29355532,15740982.622843968,32537467.2098746
135,21441546.677069973,15125355.869667849,31453697.49491939
138,20670304.527210362,14542973.69515658,30420673.966734026
140,20177679.70464947,14172050.371413676,29758635.40531225
142,19701417.857215617,13814251.60438639,29116899.355285827
145,19016188.17595845,13300869.077100277,28190586.528007865
148,18364007.605673432,12813812.419803906,27305541.572652917
150,17946568.894348655,12502876.898309017,26737249.67675249
155,16959620.340157,11770300.089627024,25387811.7862014
160,16047252.21403703,11096351.479992205,24132727.405428056
165,15202327.48523346,10475085.618657757,22963537.288079824
170,14418530.541256504,9901278.07011172,21872718.035746716
175,13690256.471008096,9370324.335569385,20853556.611646194
180,13012517.589463944,8878154.823829459,19900044.93060364
185,12380864.127164437,8421163.02018648,19006790.777289234
190,11791316.631503334,7996144.56481354,18168942.099069506
195,11240308.108651334,7600245.391974134,17382122.32804302
200,10724634.310569195,7230917.428068636,16642374.856126353
205,10241410.866851246,6885880.621601539,15946115.151880518
210,9788036.195151625,6563090.297873098,15290089.293445326
215,9362159.310778614,6260709.007756465,14671337.917196775
220,8961651.806249024,5977082.182577438,14087164.760584764
225,8584583.393154461,5710717.022975184,13535109.12050123
230,8229200.4976537265,5460264.144168899,13012921.663444642
235,7893907.481935745,5224501.577550743,12518543.116723161
240,7577250.130688729,5002320.792311036,12050085.445602434
245,7277901.096773507,4792714.453507937,11605815.183232002
250,6994647.046130648,4594765.676705928,11184138.631146517
255,6726377.280194825,4407638.575686351,10783588.690285161
260,6472073.646128784,4230569.930111678,10402813.117520798
270,6001702.087776579,3903875.139006897,9695688.519725043
275,5783984.708693436,3753023.7633625856,9367120.207007265
280,5576921.081019517,3609769.474859598,9053871.687892415
285,5379839.295254467,3473617.366273548,8755027.709314935
290,5192118.790807291,3344111.774878345,8469739.027374933
295,5013185.782819563,3220832.6458801115,8197216.860483508
300,4842509.151554138,3103392.2793141357,7936727.873991843
305,4679596.742161278,2991432.4152888292,7687589.638976432
310,4523992.02911955,2884621.618298202,7449166.51476582
315,4375271.105253533,2782652.926341307,7220865.910777539
320,4233039.960085935,2685241.7349061896,7002134.888427789
330,3966605.898311692,2503053.9644526434,6591349.812477292
340,3722047.669835216,2336160.622874446,6213069.943244219
350,3497065.7953457367,2182917.301021123,5864016.70586618
360,3289652.0671983324,2041893.695354416,5541308.21933627
370,3098046.8246768853,1911841.2849077664,5242403.849787477
390,2756257.739400847,1680408.544445786,4707278.095068424
400,2603504.264126544,1577220.422507606,4467296.078256537
410,2461373.636319966,1481353.5430328257,4243534.836454729
420,2328915.2585422867,1392144.3376942237,4034586.315438673
432,2181546.102999526,1293055.7199652623,3801635.5376504054
445,2034744.5096830516,1194534.9002573197,3569064.48336762
458,1899910.3921774314,1104228.024378695,3354983.2196572553
475,1739588.9216488486,997111.6429133897,3099825.4709556955
488,1627865.1504183488,922660.8748080591,2921603.356789044
500,1532211.9182791861,859070.3178486574,2768736.0090529355
515,1421745.7335846804,785838.3011925453,2591855.041065724
530,1320375.9369461564,718873.052883527,2429197.141342266
550,1197739.044866189,638246.5430481612,2231936.38312773
565,1114101.2547909217,583576.682653068,2097073.883021471
580,1036831.5547259045,533370.5307701294,1972211.8386069369
600,942668.2362253738,472709.4760260112,1819655.6195137035
615,878011.1575077415,431503.5338814113,1714612.98176032
630,817956.6124989665,393672.8822189198,1616799.9140252515
645,762102.078945358,358993.96907371556,1525577.766520108
660,710090.5774887061,327284.25267770473,1440376.8368526194
675,661605.0559676648,298399.94470606267,1360687.7140206108
688,622217.6956679324,275568.8076921723,1295728.1400030092
700,587879.9605717271,256263.79965522865,1238902.210662838
715,547501.9731543886,234485.32579074425,1171803.0575853637
732,504916.33656833874,212941.3305036928,1100636.9704773244
750,463223.0819084391,193768.78664573556,1030457.4739886441
765,430954.95714585634,180664.52829140497,975701.7952013632
780,400791.24784537667,170171.1384594579,924070.0458135584
800,363642.7320284354,160170.13370866323,859702.9911797583
820,329787.16592897545,154493.08069534067,800018.0255837124
840,299034.49712627375,152685.81447606898,744595.1455225807
860,271240.09654270415,152657.35901129417,693062.7789379084
880,246302.47935036512,144598.66278144726,645091.6539851935
900,224160.44469786584,140385.07775888473,600389.6195996458
920,204788.2394661422,139614.75609777446,558697.2668421163
940,188186.84087418122,141728.97760633173,519784.2288175278
960,174369.306687452,146105.1208269233,483446.0601314277
980,163339.0935917547,149764.8675810392,449501.61548133375
1000,155063.0450459392,138162.0073739901,417790.8618130208
1020,149445.09691700546,129800.41008080934,388173.0699249753
1040,146310.10760121746,124663.1668685916,360525.3395492134
1060,145405.77401808448,122575.4117303598,334741.41644532565
1080,146423.3425017934,123199.34111647728,310730.76009910816
1100,149029.33715258594,126083.14079882948,288417.8148070638
1120,152897.06592934727,130737.51480815909,267741.4231959175
1150,160426.42340441715,138171.96259757603,266265.7499522816
1180,169315.18182250205,128919.85568544322,276668.29167992726
1200,175690.48291470576,125257.015239591,283265.4327148817
1220,182267.15034903886,123462.44329641706,289600.85274504765
1250,192295.88631485388,123864.0369335409,298632.34164746664
1280,202312.99597099802,127286.91834865285,307126.10796039423
1300,208904.32197456813,130848.00187773001,312506.03829963924
1320,215388.22193587158,135174.57801437043,317671.2070135111
1350,224865.52631884816,140532.230932096,325037.0305055859
