Frequency,Nominal,Min,Max
118,-136.5398891197935,-142.95069025008792,-128.74167162909453
120,-136.9807970546237,-143.3624513945571,-129.1843236135309
122,-137.41265608901335,-143.76403939055868,-129.6201018092527
125,-138.04389419731368,-144.34796729257724,-130.26106435936268
128,-138.6558326771936,-144.9105707959601,-130.8870370282733
130,-139.0533753915182,-145.27423209687626,-131.29616832904242
132,-139.44279480090987,-145.62906325895008,-131.6988542707545
135,-140.01207753049428,-146.1452876947921,-132.2909900658881
138,-140.564060485574,-146.64299021439297,-132.8691183912125
140,-140.92271802655023,-146.96487853166204,-133.2469024293667
142,-141.27410185157805,-147.27908958865635,-133.6186815284555
145,-141.7878887915491,-147.7364680407101,-134.16528350392468
148,-142.28619598686174,-148.17772269060748,-134.69886854309547
150,-142.61005338800678,-148.46325610355888,-135.0475056197859
155,-143.39154664557034,-149.14819682108438,-135.89492626730686
160,-144.1345761589802,-149.79401608761702,-136.70888068995254
165,-144.8412251897414,-150.40322862289565,-137.49067595020415
170,-145.51345658485556,-150.978154236761,-138.24158627577543
175,-146.15311740304176,-151.5209331904816,-138.96284950886465
180,-146.76194400323345,-152.03354058324905,-139.65566449758566
185,-147.34156740333015,-152.51779973848664,-140.32118928538586
190,-147.89351876070407,-152.9753945968853,-140.96053997052175
195,-148.41923486130582,-153.407881144912,-141.57479012312254
200,-148.9200635326201,-153.816697921746,-142.1649706617233
205,-149.39726891847008,-154.20317565618143,-142.73207010436536
210,-149.85203657162663,-154.56854608959293,-143.2770351212079
215,-150.28547833437625,-154.91395004275253,-143.80077132627238
220,-150.6986369881714,-155.24044478397266,-144.30414425531674
225,-151.09249066202653,-155.54901075442163,-144.78798048512706
230,-151.46795699576606,-155.8405577039034,-145.25306885671958
235,-151.8258970591123,-156.11593028740097,-145.70016177118038
240,-152.1671190311722,-156.37591316930641,-146.1299765322757
245,-152.49238164745327,-156.62123567887897,-146.5431967145641
250,-152.80239742333782,-156.85257605704476,-146.94047353968983
255,-153.0978356640908,-157.07056533134804,-147.32242724688243
260,-153.37932527220914,-157.27579085272058,-147.6896484465104
270,-153.90278770114867,-157.6501007533738,-148.38211555478387
275,-154.14583896468338,-157.84375113139416,-148.70840632286473
280,-154.3771028548675,-158.06220126096179,-149.0220567764266
285,-154.59704205467747,-158.27034859198218,-149.32352858075026
290,-154.80609205046875,-158.46861531313795,-149.61326116905818
295,-155.0046628247313,-158.65739787523145,-149.89167282297845
300,-155.19314042910582,-158.83706871138273,-150.15916170625428
305,-155.3718884460728,-159.00797782311713,-150.41610685192092
310,-155.5412493472032,-159.17045424348368,-150.66286910355402
315,-155.70154575535548,-159.32480738737857,-150.89979201149023
320,-155.85308161769706,-159.47132829835397,-151.1030662687952
330,-156.13100057984818,-159.74195256243343,-151.40432109805815
340,-156.37710385002617,-159.98432959848202,-151.66987870136495
350,-156.5932524900347,-160.20023325983595,-151.9016746204113
360,-156.78109622588488,-160.3912347339566,-152.1014342289888
370,-156.94209525871793,-160.55872487664814,-152.27069238210314
390,-157.18856303648656,-160.82794529281512,-152.52299261010398
400,-157.27616192504703,-160.93171510206358,-152.6082968150712
410,-157.3412026601857,-161.01607898977883,-152.6676486768283
420,-157.38443449758108,-161.08176524118662,-152.70185041883758
432,-157.40841978955643,-161.13681388192515,-152.7106552255764
445,-157.40105754619321,-161.16817325878063,-152.68157568116044
458,-157.35989644947932,-161.17103105769732,-152.6132858967302
475,-157.25614332342826,-161.13292491285813,-152.46598469702738
488,-157.1391252231973,-161.07239672457638,-152.30954216271863
500,-157.0022800474457,-160.99264326799675,-152.1316179422279
515,-156.79221599456903,-160.86080184156552,-151.86388865757914
530,-156.53838807390022,-160.69307064058978,-151.5453730023598
550,-156.13042693143095,-160.4127218057946,-150.4508008288102
565,-155.7706943327847,-160.1588172186391,-149.23002873431545
580,-155.36301665475483,-159.86614709958852,-147.85955489978426
600,-154.74111786268008,-159.4127869180273,-145.76621388069455
615,-154.21249737539333,-159.15601847677786,-143.96707497576276
630,-153.6270097666998,-158.9379835534459,-141.94156188479838
645,-152.9808594778788,-158.68982027592162,-139.65813202219968
660,-152.26963870953045,-158.4106929533401,-137.0808455336572
675,-151.48825740035335,-158.09956006985695,-134.1696161003129
688,-150.74980502681458,-157.80305543781964,-131.34305349900808
700,-150.01375852423513,-157.50635791800235,-128.457527259527
715,-149.01428670173698,-157.10308344670295,-124.4437455478067
732,-147.76486469174543,-156.60021862794193,-119.30766633581871
750,-146.29172251964667,-156.01121585938762,-113.16371997526178
765,-144.93245717167278,-155.4727685906444,-107.50690152774914
780,-143.43992862378997,-154.98096380970577,-101.42403495760875
800,-141.21740894748643,-154.469097144684,-92.84248615570237
820,-138.6931626831943,-153.90024283187896,-84.0619015148002
840,-135.8227481016993,-153.27068833068645,-75.49517676944407
860,-132.55688947811416,-152.5760999383472,-67.49846391987484
880,-128.8434198131301,-151.81145220481935,-60.297193963400936
900,-124.63135399623926,-150.97094516999593,-53.975913881027815
920,-119.87807059072593,-150.04790849006164,-48.513677272501894
