Frequency,Nominal,Min,Max
118,2.9758234735691066e-7,2.757208801469811e-7,3.2203067347150257e-7
120,2.979843771125717e-7,2.7561026580363085e-7,3.23023229032678e-7
122,2.9839247896356377e-7,2.754979202256036e-7,3.240324062902204e-7
125,2.990159491307889e-7,2.753261690315605e-7,3.2557734567650535e-7
128,2.99652906209369e-7,2.751505568727966e-7,3.271597059190385e-7
130,3.000849842642031e-7,2.7503134750620765e-7,3.2823541025158796e-7
132,3.0052297705965944e-7,2.7491043783693776e-7,3.293277590847202e-7
135,3.011909858970855e-7,2.7472589927667826e-7,3.309975045011321e-7
138,3.018721208107152e-7,2.745375713159178e-7,3.3270473752686e-7
140,3.023334484204463e-7,2.744099250717367e-7,3.3386373224194976e-7
142,3.028005276590274e-7,2.74280611171797e-7,3.3503940838039406e-7
145,3.035118581177019e-7,2.7408352819057136e-7,3.368658000785947e-7
148,3.0423594213829054e-7,2.7388273107441525e-7,3.3874408070564695e-7
150,3.0472569403550937e-7,2.737468143933467e-7,3.4001808559450197e-7
155,3.059744288370915e-7,2.733998917917953e-7,3.432796502261761e-7
160,3.0725752963559446e-7,2.7304287074008513e-7,3.4665092371862917e-7
165,3.0857445880524504e-7,2.726758637261863e-7,3.501323739716749e-7
170,3.0992467476830756e-7,2.722989852639456e-7,3.537245081959189e-7
175,3.1130763275605095e-7,2.719123517860612e-7,3.574278739922753e-7
180,3.127227855421764e-7,2.7151608153813275e-7,3.612430603544482e-7
185,3.1416958414736916e-7,2.711102944739583e-7,3.651706985942714e-7
190,3.156474785138469e-7,2.7069511215221316e-7,3.6921146319022223e-7
195,3.171559181489957e-7,2.7027065763465537e-7,3.733660725597782e-7
200,3.186943527373794e-7,2.6983705538596824e-7,3.776352897565962e-7
205,3.20262232720597e-7,2.69394431175348e-7,3.8201992309373353e-7
210,3.218590098446475e-7,2.6894291197992945e-7,3.8652082669436984e-7
215,3.2348413767463576e-7,2.6848262589012196e-7,3.911389009716115e-7
220,3.251370720768031e-7,2.68013702016928e-7,3.958750930391213e-7
225,3.268172716680324e-7,2.675362704012953e-7,4.007303970543768e-7
230,3.285241982330983e-7,2.670504619255466e-7,4.057058544964245e-7
235,3.302573171100715e-7,2.6655640822692226e-7,4.108025543800167e-7
240,3.320160975444058e-7,2.660542416132571e-7,4.160268050255889e-7
245,3.338000130123208e-7,2.655440949808082e-7,4.2139425664183596e-7
250,3.3560854151422e-7,2.650261017342454e-7,4.2688994834708954e-7
255,3.3744116583893296e-7,2.645003957087949e-7,4.3251545906093566e-7
260,3.392973737996744e-7,2.639671110945432e-7,4.382724352684139e-7
270,3.4307851822936016e-7,2.628783441950626e-7,4.5018771371325256e-7
275,3.45002457193491e-7,2.6231427562158154e-7,4.5634965541517886e-7
280,3.469479850737423e-7,2.6168915358153265e-7,4.6265034346783737e-7
285,3.489146174234412e-7,2.6105554243141877e-7,4.690917766400921e-7
290,3.509018756982379e-7,2.6041355430148154e-7,4.756760270718666e-7
295,3.5290928732298865e-7,2.597633010637295e-7,4.824052412653062e-7
300,3.54936385739002e-7,2.5910489429757406e-7,4.892816410890544e-7
305,3.569827104328241e-7,2.584384452583025e-7,4.963075247976916e-7
310,3.590478069477331e-7,2.577640648483464e-7,5.034852680682081e-7
315,3.611312268791212e-7,2.570818635913075e-7,5.108173250552308e-7
320,3.632325278549312e-7,2.563919516086958e-7,5.183062294665214e-7
330,3.674870334015148e-7,2.5498943382146546e-7,5.337651197639691e-7
340,3.7180790368706475e-7,2.5355738370015673e-7,5.498838419505646e-7
350,3.7619181197966924e-7,2.520966659774718e-7,5.666856445151213e-7
360,3.806355221278e-7,2.506081376144156e-7,5.841951600023537e-7
370,3.851358855091746e-7,2.4909264766473e-7,6.024384451306336e-7
390,3.942943946056397e-7,2.45984139916708e-7,6.41237922760725e-7
400,3.9894664931265154e-7,2.443927815407514e-7,6.618537295991555e-7
410,4.0364376786424306e-7,2.4277778115629267e-7,6.833226224085173e-7
420,4.083829859682722e-7,2.4113995132128424e-7,7.056784203413957e-7
432,4.1412182474886623e-7,2.3914555627123524e-7,7.337261978254196e-7
445,4.20397665777808e-7,2.3695078060951028e-7,7.656853356510316e-7
458,4.2672915935425245e-7,2.3472216204891987e-7,7.993663283554181e-7
475,4.350837366386278e-7,2.317596499351988e-7,8.46162581469529e-7
488,4.4152313580419054e-7,2.2945958232676097e-7,8.841768739715943e-7
500,4.4750125124604305e-7,2.2731148129690274e-7,9.210800521722748e-7
515,4.5501381968857593e-7,2.2459481107664402e-7,9.697893001751916e-7
530,4.6256394064886745e-7,2.2184562700996083e-7,0.0000010215257230695424
550,4.72677131795717e-7,2.1813423042700347e-7,0.0000010973042277375874
565,4.802882295405757e-7,2.1531995615608903e-7,0.000001160658400207202
580,4.879148830518076e-7,2.124825330696036e-7,0.000001228666397690166
600,4.980980069685641e-7,2.0866839577212885e-7,0.0000013271642300679443
615,5.057391636523434e-7,2.0578855395518403e-7,0.000001407304879758787
630,5.133781935642605e-7,2.0289570716623799e-7,0.0000014930859902562172
