Frequency,Nominal,Min,Max
118,-42.72073009434096,-53.85519897207045,-32.46610906620071
120,-43.44610837171504,-54.77069717466656,-33.01693945794441
122,-44.17155523405981,-55.686341022492115,-33.56779876768183
125,-45.25985718448674,-57.06008687723027,-34.39414315516442
128,-46.34832136446384,-58.4341785586693,-35.22055571011334
130,-47.07405665998935,-59.350437282235596,-35.771536213261335
132,-47.799867647349245,-60.26685797294251,-36.32254841144901
135,-48.88872924327098,-61.641800079177834,-37.1491273745739
138,-49.977769402579064,-63.017125727901366,-37.97578084689397
140,-50.70389786236019,-63.934228347347045,-38.52692551310968
142,-51.43010942987483,-64.85151014502414,-39.07810473566678
145,-52.51958594022903,-66.2277765799777,-39.904939638549855
148,-53.60925806034592,-67.6044663085854,-40.73185558769604
150,-54.335817406126,-68.52250070592207,-41.28317890014485
155,-56.15261670627534,-70.81845810888957,-42.66165259049888
160,-57.9700088139408,-73.11570764430363,-44.04037014924147
165,-59.78801923885421,-75.41430965383778,-45.41934116658402
170,-61.60667403601011,-77.7143259777017,-46.79857538676021
175,-63.425999813829854,-80.01581996475628,-48.17808271134823
180,-65.24602374170023,-82.31885648054615,-49.557873202474525
185,-67.06677355689288,-84.62350191334629,-50.93795708589703
190,-68.88827757087293,-86.92982417832683,-52.31834475396809
195,-70.71056467500624,-89.23789271994777,-53.69904676847553
200,-72.53366434567657,-91.54777851270352,-55.080073863362145
205,-74.35760664882537,-93.8595540603428,-56.46143694732296
210,-76.18242224392854,-96.17329339369765,-57.843147106280234
215,-78.00814238742477,-98.48907206725998,-59.22521560573655
220,-79.83479893561378,-100.8069671546524,-60.60765389300619
225,-81.66242434704142,-103.12705724314428,-61.99047359932491
230,-83.49105168439183,-105.4494224273705,-63.373686541839724
235,-85.32071461590716,-107.77414430241683,-64.7573047254785
240,-87.15144741635672,-110.10130595644026,-66.14134034470112
245,-88.98328496757915,-112.43099196299929,-67.52580578513319
250,-90.81626275862094,-114.76328837327395,-68.91071362508343
255,-92.6504168854979,-117.09828270836293,-70.29607663694713
260,-94.4857840506043,-119.4360639518484,-71.68190778849605
270,-98.16030733119526,-124.12035036961959,-74.45502736558778
275,-99.99953987368458,-126.46704076434713,-75.8423427136303
280,-101.84013830522443,-128.8168884986336,-77.2301800481808
285,-103.6821423409214,-131.16998978062193,-78.61855332944297
290,-105.52559229294157,-133.52644225356403,-80.00747671848707
295,-107.37052906828113,-135.88634499622322,-81.39696457781312
300,-109.21699416643166,-138.24979852534588,-82.78703147181966
305,-111.06502967697398,-140.61690480047062,-84.17769216718281
310,-112.91467827713733,-142.9877672313563,-85.56896163314823
315,-114.7659832293596,-145.36249068832282,-86.96085504173917
320,-116.61898837888631,-147.74118151581558,-88.35338776788454
330,-120.33027755105199,-152.5108981373785,-91.14043368731765
340,-124.04890812671883,-157.29779808489047,-93.93022644915168
350,-127.77525163097724,-162.102787467148,-96.72289635362971
360,-131.50968873475495,-166.92679872840174,-99.51857693575693
370,-135.25260922990395,-171.7707922484449,-102.31740495416476
390,-142.76550521466558,-181.52272010349685,-107.92506636672672
400,-146.53630609040079,-186.43273608095092,-110.7341892605856
410,-150.3172413320651,-191.3669047254183,-113.54703855381825
420,-154.1087471565469,-196.3263688928924,-116.36376687986963
432,-158.67313600172085,-202.3127997437641,-119.7491807138557
445,-163.63670992914555,-208.84366916530766,-123.42358822702857
458,-168.62086370412675,-215.4248059543685,-127.10549577049751
475,-175.17143359598367,-224.11207654425309,-131.93222610170727
488,-180.2072065041169,-230.82181405495143,-135.63285634577295
500,-184.87710456471402,-237.0702993526456,-139.05657745497626
515,-190.74496105564853,-244.96033719546097,-143.3471842814129
530,-196.64847761772575,-252.94567075128134,-147.65054493975083
550,-204.5787979869765,-263.7561605481246,-153.40930322344613
565,-210.57354878413295,-271.9999868879504,-157.74493167990042
580,-216.61115266707034,-280.3740738869841,-162.09550476029065
600,-224.73227543547415,-291.768147735341,-167.92071977432454
615,-230.87989028810682,-300.5086400869984,-172.3088988146683
630,-237.0794988102205,-309.44035787925935,-176.71441454546635
645,-243.33442705353235,-318.5891379084843,-181.13803032083044
660,-249.64836648724463,-327.98487689332944,-185.58053380059977
675,-256.0254443525707,-337.6613672053942,-190.04273934634335
688,-261.60689277902304,-346.3031469623568,-193.92657240621483
700,-266.8071081530309,-354.513143629881,-197.52583788378647
715,-273.3769870591613,-365.1187149155489,-202.0447993691884
732,-280.92416481423936,-377.63229433942814,-207.1941080234021
750,-289.0444551896655,-391.47029151348283,-212.6800771293248
765,-295.92361586725445,-403.4395389507817,-217.27952549414255
780,-302.9156969513104,-415.7389338564084,-221.90544145589533
800,-312.434568864842,-432.4518240362839,-228.11656316192207
820,-322.2072416277698,-449.1750114250221,-234.37989417559453
840,-332.27087753219087,-465.48763204564244,-240.69877305202553
860,-342.66720366904576,-481.02746211654596,-247.07689884651583
880,-353.44069991417064,-495.56486890758083,-253.51840177721445
900,-364.6346631882798,-509.01288306019217,-260.02792677948275
920,-376.2841645203309,-521.3916686681719,-266.6107314034571
940,-388.4051674513743,-532.7818538050652,-273.2727992194461
960,-400.98022810064543,-543.2878502100817,-280.02096928020035
980,-413.943652370052,-553.0158411478993,-286.8630810544881
1000,-427.1722031309658,-562.0631922767116,-293.8081323098792
1020,-440.48899715125043,-570.5147398507796,-300.8664442717498
1040,-453.68469990007907,-578.442567092147,-308.04982343594355
1060,-466.5512855394694,-585.9072633291175,-315.3717018714762
1080,-478.91555954130234,-592.959633069366,-322.8472267146796
1100,-490.65979032742,-599.6423837797314,-330.4932537152679
1120,-501.7250176635598,-605.9916108963663,-338.32817825694576
1150,-517.0377984829926,-614.9560782166589,-350.47754310071974
1180,-530.9033763956655,-623.3243036814839,-363.161657946747
1200,-539.4251583300248,-628.6067758432756,-371.9430426905423
1220,-547.4321221940369,-633.6728461448183,-380.99717579338403
1250,-558.5884012732583,-640.8994191377018,-395.08755204960556
1280,-568.854492748511,-647.7184408524062,-409.73163997009505
1300,-575.2682281341102,-652.0572007293342,-419.7319545901575
1320,-581.3756290932915,-656.2419578223943,-429.84483996158355
1350,-590.022068862713,-662.249962844935,-445.0369329432648
1380,-598.1198377860286,-667.9590505866636,-459.97438239136324
1400,-603.2458576139621,-671.6110307457483,-469.6442753322652
1420,-608.1730794147655,-675.1473121931526,-479.00126771711
1450,-615.2219683859378,-680.2476489380977,-492.3496691904854
1480,-621.8970020495013,-685.119120822916,-504.80841299751165
1500,-626.1569415900242,-688.2477548551037,-512.616623054959
1550,-636.2065362806106,-695.6845663650583,-530.4986735849789
1600,-645.4917137764767,-702.6198074647596,-546.3154224068302
1650,-654.1088664403982,-709.1060505272367,-560.4265898111512
1700,-662.1364977400721,-715.1884638116384,-573.1432601939592
1750,-669.639705001989,-720.9061452076284,-584.7113951650877
1800,-676.673276805891,-726.2931597406354,-595.3202023014264
1850,-683.2838954910039,-731.3793596659901,-605.1151842124627
1900,-689.5117459931417,-736.1910415777824,-614.2095664098634
1950,-695.3917200769134,-740.7514790871638,-622.6929459444625
2000,-700.9543375237915,-745.0813590052675,-630.6375093464001
2050,-706.2264643938474,-749.1991416751605,-638.1024353292119
2100,-711.2318824726083,-753.121360974929,-645.1370167599716
2150,-715.9917473211419,-756.8628758401952,-651.7828965087208
2200,-720.5249613868598,-760.4370824707247,-658.0756916524539
2250,-724.8484812749414,-763.856094393271,-664.0461927445973
2300,-728.9775732351397,-767.1308960518998,-669.7212645186837
2350,-732.926027388589,-770.2714744518402,-675.1245338857952
2400,-736.706338701765,-773.286932499039,-680.2769240782163
2450,-740.329860887365,-776.1855869883796,-685.1970757513612
2500,-743.8069380634479,-778.9750536511181,-689.9016837218376
2550,-747.147017992073,-781.6623212416398,-694.4057697775366
2600,-750.3587499514164,-784.2538162994142,-698.7229063326666
2700,-756.4282735739416,-789.1727178433007,-706.8444554631665
2750,-759.3000832517691,-791.5106442878242,-710.6702887436454
2800,-762.0717027252269,-793.7739212023481,-714.3522561331407
2850,-764.7488684217647,-795.9668927418829,-717.8989407471771
2900,-767.3368935296635,-798.0935960652007,-721.3182364859954
2950,-769.8407072808399,-800.1577887697679,-724.6174192971398
3000,-772.2648898645834,-802.1629734078298,-727.8032092756438
3050,-774.613703538777,-804.1124194429765,-730.8818250341951
3100,-776.8911204210817,-806.0091829563994,-733.8590315094572
3150,-779.1008473725949,-807.8561243697276,-736.7401821618196
3200,-781.24634832796,-809.655924415467,-739.530256360343
3300,-785.3574318593674,-813.1240100226415,-744.8554181905272
3400,-789.2479392157602,-816.4318065265002,-749.8680464460531
3500,-792.9386493979104,-819.5955978377733,-754.597475383204
3600,-796.4479633180251,-822.6298845894207,-759.0694975802286
3700,-799.7922435560687,-825.5476331271298,-763.3068962794781
3900,-806.0426109540524,-831.0789252957107,-771.1564574358092
4000,-808.9735526565203,-833.7124437484472,-774.8027126562142
4100,-811.7895368576998,-836.2696469435041,-778.2830839631403
4200,-814.5001690625502,-838.7583719525945,-781.6105637883221
4320,-817.6260821610194,-841.6644859243693,-785.4181586253819
4450,-820.8711441798808,-844.7261048851148,-789.3346429540695
4580,-823.9842135523826,-847.710097913619,-793.0543210818794
4750,-827.8787223788376,-851.5142504171038,-797.6515545209611
4880,-830.7374189594697,-854.3615159164806,-800.9831871088156
5000,-833.2947180487104,-856.9511540369735,-803.9305923484856
5150,-836.3932803615702,-860.1464649896052,-807.4575505903722
5300,-839.3954812163091,-863.3064500826689,-810.8258608394814
5500,-843.2694056955731,-867.4833455108364,-815.09666403835
5650,-846.0921037071291,-870.6012875101868,-818.1521743029363
5800,-848.8546700115584,-873.7164088158663,-821.0946122485021
6000,-852.459595422457,-877.8793357589485,-824.8604932403834
6150,-855.1146514749013,-881.0180924452467,-827.5793473555775
6300,-857.7360066639086,-884.1785035491912,-830.2173557114838
6450,-860.33023294787,-887.3667334684022,-832.7823561070588
6600,-862.9033999753219,-890.5884828815936,-835.2815152542399
6750,-865.4611294457019,-893.8490204521136,-837.7214052328262
6880,-867.6693856853128,-896.7099627941238,-839.7927181414414
7000,-869.7037208572848,-899.3824739098972,-841.6723791609996
7150,-872.2448413684457,-902.7691671069413,-843.9825078328643
7320,-875.127454621663,-906.6738019578498,-846.5534170952433
7500,-878.1889916355711,-910.8903710103857,-849.2278620650244
7650,-880.7522084294566,-914.4725529392663,-851.4241877265356
7800,-883.3300077743169,-918.119753926944,-853.595202826521
8000,-886.795385655448,-923.087761124564,-856.4567119109829
8200,-890.2996932083527,-928.1798710235217,-859.2875254465753
8400,-893.8495517374861,-933.3993700616887,-862.09493068662
8600,-897.4510302893292,-938.748348018389,-864.8856519642156
8800,-901.1096723135075,-944.2276731027332,-867.6659117890587
9000,-904.8305144655941,-949.836971742082,-870.4414829781495
9200,-908.6180986724358,-955.5746167148193,-873.2177331383311
9400,-912.4764784708758,-961.4377269809255,-875.9996625872427
9600,-916.4092205586961,-967.4221821047573,-878.7919366129631
9800,-920.4194024542918,-973.5226535316184,-881.598912822105
10000,-924.5096071416343,-979.7326541901332,-884.4246642042807
10200,-928.6819155725249,-986.0446069859678,-887.2729984421633
10400,-932.9378979021475,-992.4499317884778,-890.1474739164835
10600,-937.2786043397408,-998.9391495625091,-893.0514127908428
10800,-941.7045564972011,-1005.5020014378599,-895.9879115095105
11000,-946.2157401081935,-1012.1275798060493,-898.9598490002485
11200,-950.8115999631359,-1018.8044680374912,-901.9698928419674
11500,-957.8616072295306,-1028.8901717845802,-906.5617346875673
11800,-965.0935543995914,-1039.024233437867,-911.2522488641844
12000,-970.011759061878,-1045.787079373007,-914.4372879406119
12200,-975.0038207507621,-1052.5415516833737,-917.6707026722429
12500,-982.6221871251397,-1062.6325038632535,-922.614628506333
12800,-990.3839358765471,-1072.6418660235367,-927.6745895658838
13000,-995.630045953528,-1079.2524421161659,-931.1138489960957
13200,-1000.9272838096679,-1085.8021809540987,-934.606598447786
13500,-1008.9566185796527,-1095.4940822942806,-939.9467846229223
13800,-1017.0682281133251,-1105.003996715209,-945.4084674268066
14000,-1022.5113511726341,-1111.2318149873176,-949.1167446570553
14200,-1027.9753761095712,-1117.3633537576588,-952.8781783495124
14500,-1036.1965680826233,-1126.3698944011446,-958.6183188827115
14800,-1044.4287257167002,-1135.1362309944261,-964.4729128024385
15000,-1049.9123780330758,-1140.8421988876185,-968.4373649614647
15500,-1063.5612995157758,-1154.6097817116404,-978.5512640657147
16000,-1077.0522364624758,-1167.6569899702733,-988.9295007865213
16500,-1090.3035736489023,-1179.9868879323553,-999.5345817120337
17000,-1103.2452944895535,-1191.6165910462807,-1010.3232618304057
17500,-1115.8201323847143,-1202.5729458205012,-1021.2480078066656
18000,-1127.9838467876473,-1212.8888195377485,-1032.2586000882652
18500,-1139.7047686587855,-1222.6001184130464,-1043.303765853306
19000,-1150.9627892283036,-1231.7435443851336,-1054.332741286615
19500,-1161.747973230532,-1240.3550293966791,-1065.2966799262904
20000,-1172.0589665678244,-1248.4687460530988,-1076.1498477491225
20500,-1181.9013439663013,-1256.116577270539,-1086.8505699949715
21000,-1191.2860106245846,-1263.3279276027959,-1097.3619162788582
21500,-1200.2277386205024,-1270.1297693808676,-1107.652128110216
22000,-1208.7438880110406,-1276.5468330807914,-1117.6948065239278
22500,-1216.8533365602736,-1282.601870150926,-1127.4688874906246
23000,-1224.5756218327128,-1288.3159354929198,-1136.9584394187136
23500,-1231.9302849340709,-1293.708654218291,-1146.152320591897
24000,-1238.9363957970431,-1298.798452102119,-1155.043735044044
24500,-1245.6122346605543,-1303.6027407632685,-1163.629723552723
25000,-1251.9751023089118,-1308.1380569180308,-1171.910622696353
25500,-1258.0412318520857,-1312.4201603499534,-1179.8895199261938
26000,-1263.825776618564,-1316.4640980236852,-1187.5717270042455
27000,-1274.6056086670676,-1323.8943137598328,-1202.0755368365683
27500,-1279.6263313843976,-1327.3073877893496,-1208.9147004676868
28000,-1284.4165347444218,-1330.535903139213,-1215.4915684365512
28500,-1288.9870635130299,-1333.5916636007805,-1221.816210835572
29000,-1293.3481817592904,-1336.4858431187733,-1227.8987529266922
