Frequency,Nominal,Min,Max
118,-0.7456173990020775,-0.939950541379295,-0.566640498516784
120,-0.7582776382647,-0.9559289993106872,-0.5762543024727618
122,-0.7709390745608782,-0.9719099992308731,-0.5858686111429431
125,-0.7899335268517043,-0.9958863874816777,-0.6002910414598901
128,-0.8089308105823247,-1.0198688115470538,-0.6147146615235672
130,-0.821597280987179,-1.0358605430734062,-0.6243310854177948
132,-0.8342650724637601,-1.0518551014596424,-0.6339480624948213
135,-0.8532692924111145,-1.0758523682377545,-0.6483745869290714
138,-0.872276628877484,-1.099856329095107,-0.6628024117941004
140,-0.8849499612931,-1.1158627893830988,-0.6724217008743697
142,-0.8976247442122995,-1.1318723769211765,-0.6820415930765736
145,-0.9166396964411183,-1.1558927575958005,-0.6964725845022909
148,-0.9356580627043453,-1.179920526138392,-0.7109049904521457
150,-0.9483389154993436,-1.195943249018479,-0.7205273974973789
155,-0.9800480451348783,-1.2360152651858,-0.7445863020461736
160,-1.0117675212133999,-1.2761098333186853,-0.7686494629012901
165,-1.04349778896372,-1.3162280065780143,-0.7927170474434935
170,-1.0752393031312801,-1.3563708642790562,-0.8167892257417444
175,-1.1069925281206414,-1.3965395120680102,-0.8408661706111835
180,-1.1387579381270592,-1.4367350820622016,-0.8649480576690469
185,-1.1705360172572494,-1.476958732955614,-0.8890350653884792
190,-1.202327259639494,-1.5172116500915773,-0.9131273751502458
195,-1.234132169523253,-1.5574950455045666,-0.9372251712923192
200,-1.2659512613684745,-1.5978101579331938,-0.9613286411573427
205,-1.2977850599248297,-1.6381582528065943,-0.9854379751379618
210,-1.3296341003011198,-1.678540622206535,-1.0095533667200205
215,-1.3614989280251122,-1.7189585848076647,-1.0336750125236307
220,-1.393380099094125,-1.759413485798464,-1.057803112342117
225,-1.4252781800166532,-1.7999066967855342,-1.0819378691788397
230,-1.4571937478453951,-1.8404396156839662,-1.1060794892819223
235,-1.489127390202029,-1.881013666596661,-1.1302281821768827
240,-1.52107970529413,-1.921630299685527,-1.1543841606971958
245,-1.553051301924632,-1.96229099103762,-1.1785476410128088
250,-1.5850427994942438,-2.0029972425293576,-1.202718842656623
255,-1.6170548279972885,-2.043750581692076,-1.2268979885489901
260,-1.6490880280113893,-2.0845525615822647,-1.251085305020223
270,-1.713220557698885,-2.1663087826788225,-1.2994853721919866
275,-1.7453212212751503,-2.2072662565917436,-1.3236985927787797
280,-1.777445724112564,-2.2482788364755715,-1.347920923748788
285,-1.8095947593704995,-2.289348201479167,-1.37215260875353
290,-1.841769030628983,-2.330476055798769,-1.3963938949503076
295,-1.8739692518497852,-2.3716641286850164,-1.420645033012035
300,-1.9061961473356723,-2.4129141744860867,-1.4449062771354202
305,-1.93845045168841,-2.4542279727316325,-1.4691778850475812
310,-1.9707329097661646,-2.4956073282624236,-1.4934601180111409
315,-2.0030442766409196,-2.5370540714108314,-1.5177532408278593
320,-2.0353853175565706,-2.5785700582375686,-1.5420575218408688
330,-2.1001595331044762,-2.6618173176709417,-1.590700649539249
340,-2.1650618803151946,-2.7453644827185695,-1.6393917186815588
350,-2.2300988435248073,-2.829227367962332,-1.688133003436056
360,-2.2952770666943696,-2.913422247624494,-1.7369268344282478
370,-2.360603352975096,-2.9979658834945173,-1.785775598546533
390,-2.491728124269048,-3.168169132982122,-1.8836477535327751
400,-2.557541014987713,-3.253865078114223,-1.9326761971237638
410,-2.623530783759443,-3.3399825668088443,-1.981769678653069
420,-2.689705044005193,-3.426541545665947,-2.030930862076854
432,-2.7693686576947796,-3.5310244744566237,-2.0900174800224756
445,-2.855999365394487,-3.6450096488803765,-2.154147989187359
458,-2.942989259193613,-3.7598721543736158,-2.2184093985749085
475,-3.0573182716885254,-3.9114936291787714,-2.302651734960395
