Freq.	V(out)
1.20000000000000e+02	(-1.34341487807454e-04dB,-4.47249791071121e+01°)
1.22795159073690e+02	(-9.73335096844897e-05dB,-4.57695632393870e+01°)
1.25655425766108e+02	(-5.31041147766570e-05dB,-4.68386888167359e+01°)
1.28582316628513e+02	(-8.05848291618186e-07dB,-4.79329436147360e+01°)
1.31577383537182e+02	(6.04945865532296e-05dB,-4.90529303867362e+01°)
1.34642214516236e+02	(1.31824381047696e-04dB,-5.01992673204644e+01°)
1.37778434579626e+02	(2.14313382646374e-04dB,-5.13725885148091e+01°)
1.40987706592744e+02	(3.09203622366445e-04dB,-5.25735444781397e+01°)
1.44271732154090e+02	(4.17859670980873e-04dB,-5.38028026496471e+01°)
1.47632252497486e+02	(5.41779889054055e-04dB,-5.50610479453204e+01°)
1.51071049415300e+02	(6.82608642034383e-04dB,-5.63489833303181e+01°)
1.54589946203176e+02	(8.42149555620367e-04dB,-5.76673304196525e+01°)
1.58190808626769e+02	(1.02237989229183e-03dB,-5.90168301092801e+01°)
1.61875545910998e+02	(1.22546613429669e-03dB,-6.03982432398827e+01°)
1.65646111752346e+02	(1.45378086487627e-03dB,-6.18123512958378e+01°)
1.69504505354730e+02	(1.70992104442415e-03dB,-6.32599571421081e+01°)
1.73452772489511e+02	(1.99672778475099e-03dB,-6.47418858020397e+01°)
1.77493006580185e+02	(2.31730773066873e-03dB,-6.62589852793422e+01°)
1.81627349812345e+02	(2.67505616443622e-03dB,-6.78121274278361e+01°)
1.85857994269498e+02	(3.07368195540974e-03dB,-6.94022088729027e+01°)
1.90187183095333e+02	(3.51723448406398e-03dB,-7.10301519889554e+01°)
1.94617211683071e+02	(4.01013267642367e-03dB,-7.26969059376717e+01°)
1.99150428892507e+02	(4.55719629262232e-03dB,-7.44034477722017e+01°)
2.03789238295409e+02	(5.16367962060838e-03dB,-7.61507836130897e+01°)
2.08536099449925e+02	(5.83530773354011e-03dB,-7.79399499022215e+01°)
2.13393529204671e+02	(6.57831547790832e-03dB,-7.97720147417636e+01°)
2.18364103033198e+02	(7.39948936740265e-03dB,-8.16480793257711e+01°)
2.23450456399544e+02	(8.30621256613625e-03dB,-8.35692794729495e+01°)
