Frequency,Nominal,Min,Max
0.78,4704513.971825884,4475769.223575931,4956969.988425506
0.8,4584868.507649694,4361707.308786968,4831145.193660897
0.82,4471012.077945316,4253159.287816052,4711413.635439857
0.84,4362531.384113975,4149731.554006747,4597340.252248538
0.86,4259051.578087386,4051067.1201080577,4488530.456936981
0.88,4160231.8928979994,3956841.4569103215,4384625.537321433
0.9,4065761.855839072,3866758.8867287184,4285298.670039007
0.92,3975357.995559533,3780549.447300976,4190251.454333795
0.94,3888760.9695291086,3697966.1560376906,4099210.8883376718
0.96,3805733.0505695054,3618782.6162405177,4011926.7233156567
0.98,3726055.921156776,3542790.916435739,3928169.141880476
1,3649528.732406613,3469799.7817869917,3847726.714821071
1.02,3575966.391413883,3399632.9429882783,3770404.598303651
1.04,3505198.0462062275,3332127.6933608237,3696022.939087555
1.06,3437065.742211823,3267133.6092970544,3624415.4602823984
1.08,3371423.228008067,3204511.412876766,3555428.20424278
1.1,3308134.891351744,3144131.9585610693,3488918.4126014924
1.12,3247074.809205549,3085875.3284543627,3424753.526298715
1.15,3159408.770173293,3002228.8946485003,3332635.62031921
1.18,3076132.953099207,2922765.195774746,3245137.5464140307
1.2,3022892.468415044,2871958.5941570876,3189201.2304016794
1.22,2971369.079905567,2822788.040698519,3135071.7180422684
1.25,2897123.666232344,2751928.497490013,3057075.835813076
1.28,2826298.435301946,2684327.9305349905,2982678.6052992665
1.3,2780865.094438459,2640960.3720433824,2934956.9308006545
1.32,2736783.089286932,2598880.5553688984,2888657.0124063226
1.35,2673062.85446799,2538050.6168605303,2821735.037253595
1.38,2612059.338233673,2479809.766802112,2757671.147323074
1.4,2572813.6697348077,2442339.073395996,2716459.232514534
1.42,2534650.7519941656,2405900.3590315958,2676386.320110349
1.45,2479338.912540613,2353084.289204163,2618309.8093345147
1.48,2426221.2890360784,2302359.754073352,2562541.3118128204
1.5,2391963.8255817345,2269643.728883252,2526576.4038113193
1.55,2310100.765089349,2191457.8151647355,2440640.3566114684
1.6,2233235.585879278,2118036.9623153913,2359960.3814512556
1.65,2160916.5018536374,2048950.9671297928,2284060.839302702
1.7,2092744.9123100224,1983820.272136901,2212522.0818571537
1.75,2028367.8009037266,1922308.7265872506,2144972.4504000642
1.8,1967471.4014758295,1864117.5539940777,2081081.6082163784
1.85,1909775.8910760207,1808980.2979692912,2020554.95424152
1.9,1855030.9209655314,1756658.5661491642,1963128.918785274
1.95,1803011.8351988571,1706938.4289693588,1908566.9830119715
2,1753516.4564625581,1659627.3586965147,1856656.2955231844
2.05,1706362.342326838,1614551.6164826057,1807204.7841020597
2.1,1661384.4335115755,1571554.012776308,1760038.6800955585
2.15,1618433.0303542016,1530491.9803163875,1715000.388263847
2.2,1577372.0452684914,1491235.9099816564,1671946.6471388103
2.25,1538077.4882653463,1453667.7086117882,1630746.934703855
2.3,1500436.1500719434,1417679.5450233675,1591282.0820656102
2.35,1464344.4534219936,1383172.7561941948,1553443.06414202
2.4,1429707.4479939274,1350056.8902597404,1517129.9415537044
2.45,1396437.9284775045,1318248.8667784513,1482250.9321195798
2.5,1364455.6585321333,1287672.2378492146,1448721.5938136228
2.55,1333686.68610383,1258256.5362392105,1416464.1038852588
2.6,1304062.737803308,1229936.6988094968,1385406.6211993075
2.7,1248002.0510638838,1176348.3739560072,1326630.8913722117
2.75,1221452.6171739346,1150972.4568943828,1298794.0874925954
2.8,1195822.0118111575,1126476.778773648,1271919.3299905388
2.85,1171063.3867016588,1102816.6636630227,1245957.3483456527
2.9,1147133.1093610227,1079950.4953730297,1220862.2601460752
2.95,1123990.489739243,1057839.4573178822,1196591.2831786575
3,1101597.5342522813,1036447.2984571881,1173104.4763483806
3.05,1079918.7240569151,1015740.122322884,1150364.506118636
3.1,1058920.8148310021,995686.1965235502,1128336.4355907072
3.15,1038572.6556688581,976255.7804492691,1106987.5337067274
3.2,1018845.0250001444,957420.9691847618,1086287.102374689
3.3,981143.2297647808,921434.883068268,1046718.0968223984
3.4,945614.9136228181,887536.3434488933,1009418.8775447693
3.5,912082.1951091199,855555.2942611271,974202.7522532135
3.6,880386.6744978955,825340.2207618038,940903.5550920661
3.7,850386.7947392564,796755.6406174346,909372.8644752258
3.9,794978.9631731545,744003.8556629503,851098.3516447168
4,769353.7822573079,719628.4277002236,824127.0806040629
4.1,744986.8302863643,696464.2401026133,798466.3028639137
4.2,721793.4864358042,674430.0485009346,774027.5521032759
4.32,695402.7132488844,649376.92588994,746201.3733993815
4.45,668455.8436194861,623818.5781206455,717766.4448694084
4.58,643084.7286604249,599777.996695031,690971.1609516352
4.75,612082.7384168302,570435.9156428252,658194.6506391193
4.88,589901.537270046,549467.846893009,634717.9527386905
5,570508.1042194474,531154.2713775168,614172.2268361765
5.15,547619.968267947,509565.7140548127,589898.2963593405
5.3,526123.9610431336,489317.2794360752,567072.7766031573
5.5,499442.93841710966,464224.9901081832,538699.5696646159
5.65,480793.5496037887,446715.201394016,518836.8004754994
5.8,463216.05918526853,430235.8569035934,500090.25001978513
6,441315.17744430027,409738.88413908693,476694.84316444886
6.15,425952.3745458257,395386.60631125415,460256.1697110072
6.3,411431.66993688885,381842.2347761246,444695.7829711122
6.45,397696.85311931476,369051.30694963556,429955.5341017066
6.6,384696.4655541195,356963.95850511134,415982.20435536676
6.75,372383.29897971026,345534.4407842917,402726.98071931046
6.88,362234.14069116325,336128.3774141316,391785.21737258806
7,353272.209968464,327834.38288113335,382110.49642081955
7.15,342588.63494815433,317962.35984457535,370560.36477196286
7.32,331136.41486462846,307399.7865070928,358157.47948663327
7.5,319720.13870720187,296892.1736118023,345769.3350824882
7.65,310728.0045955296,288632.2147740595,335993.36890047067
7.8,302180.81909347937,280795.35431582003,326685.0544990051
8,291433.32359892817,270962.34757060965,314956.5584789848
8.2,281377.0484918083,261784.897864208,303956.2349986982
8.4,271961.7798428168,253214.41227647412,293632.138459669
8.6,263141.66515626037,245206.53347415634,283936.8223646285
8.8,254874.74904942693,237720.688962992,274826.86002911755
9,247122.56766228843,230719.69744042147,266262.4260544198
9.2,239849.79325826946,224169.4240023977,258206.92963089983
9.4,233023.92189797523,218038.47730690707,250626.6922491586
9.6,226614.99822010606,212297.94289383234,243490.66361762697
9.8,220595.37230343287,206921.1477583894,236770.1705791051
10,214939.48435421495,201883.4520143699,230438.69463177098
10.2,209623.67359875626,197162.06409564093,224471.6743285816
10.4,204626.00828756127,192735.87645463983,218846.32938124184
10.6,199926.13415672802,188585.31914451983,213541.5037534485
10.8,195505.1390603799,184692.22903252576,208537.52541071302
11,191345.43179826898,181039.73269831983,203816.08071486998
11.2,187430.6334256594,177612.1413319747,199360.10172168128
11.5,181984.53211595086,172860.79319898062,193139.33890764258
11.8,177008.1011406969,168537.75602931462,187430.90672727604
12,173930.17044247827,165873.4659634442,183887.682662339
12.2,171030.3349290483,163370.39844898356,180540.05339914392
12.5,166990.95800220236,159895.79383723467,175860.59481227878
12.8,163294.29079435568,156716.82963245147,171560.1831466199
13,161005.01952970878,154643.76923192252,168887.7454994962
13.2,158846.06936176986,152695.40047270668,166360.51042719427
13.5,155835.01996341092,149989.74255715671,162823.87479548497
13.8,153075.33566693784,147511.42931227086,159569.3967112972
14,151364.17634394168,145852.16017097668,157544.71536972965
14.2,149748.80299875996,144292.57663937344,155715.02491688257
14.5,147493.0160922292,142126.8940984366,153286.3628471988
14.8,145422.3386963321,140152.89655917522,151105.3664404585
15,144136.70923783013,138934.7972983573,149743.76465126494
15.5,141222.84962868705,136198.2828554527,146633.46966866337
16,138689.59381985306,133851.18100557328,143897.43949358357
16.5,136484.09001984398,131837.07328168728,141485.93704992832
17,134561.1460330337,130107.867122176,139356.2873561023
17.5,132882.09671530244,128622.57360069938,137471.83058882144
18,131413.83962553748,127346.25894146365,135801.03554532467
18.5,130128.01342353207,126249.14585221533,134316.74770922415
19,129000.29790483763,125305.84444732423,132995.55076715464
19.5,128009.81788889016,124494.69529978506,131817.22403150063
20,127138.63582080977,123797.20935434588,130764.28109123687
20.5,126371.32011935119,123197.59128343963,129821.5773361427
21,125694.57813339842,122682.33449470931,128975.97591343301
21.5,125096.94413716758,122239.87746255,128216.06327212023
22,124568.51415019273,121860.3123818279,127531.9067935649
22.5,124100.72054536465,121535.1383399082,126914.8481431853
23,123686.14043047237,121257.05227793909,126357.32694302886
23.5,123318.33267438447,120953.3089802915,125852.7301849834
24,122991.69921390782,120635.3117391561,125395.26350168664
24.5,122701.36693546972,120355.95454751344,124979.84100477464
25,122443.08698984227,120110.56403366911,124675.33037986945
25.5,122213.14887989957,119895.06734340933,124430.3993328434
26,122008.30707155702,119705.90997758051,124209.68050046536
27,121662.88744855879,119394.57508970959,123830.65906199074
27.5,121517.62219108433,119267.29622515154,123667.9957528408
28,121387.99267110207,119156.05792058998,123520.74619076919
28.5,121272.29782882746,119059.02274573004,123387.31549123445
29,121169.03600865496,118974.57392892081,123266.29103963242
29.5,121076.87966991749,118901.28703008608,123156.41969098394
30,120994.65354020426,118837.90548773817,123056.58805318586
30.5,120921.31571372699,118783.31948114187,122965.80540852247
31,120855.94127263884,118736.54763270039,122883.1888959769
31.5,120797.70807279038,118696.721146689,122807.9506339495
32,120745.88438904716,118663.07004056865,122739.38651104941
33,120658.92761485635,118611.6378395903,122619.82568899167
34,120590.64983319155,118577.6496815027,122520.20721067314
35,120537.51616891041,118557.46284635292,122437.06164539659
36,120496.68798365412,118548.1832975039,122367.57533046718
37,120465.8764188788,118547.50447495352,122309.45568770827
39,120427.24056835967,118564.94145723092,122220.14521845408
40,120416.68521004003,118580.39450726329,122186.13958808647
41,120410.56049503644,118598.9885752834,122157.75530538839
42,120408.04494568222,118619.95616241336,122134.11598895311
43.2,120408.84874517997,118647.38862961784,122110.99148462794
44.5,120413.40482863411,118678.9924293664,122091.2675972851
45.8,120420.87750654703,118711.76326036485,122076.05162870485
47.5,120433.84361158554,118755.37366735173,122061.55897572302
48.8,120445.49248264436,118788.73873196483,122053.76409249532
50,120457.16768583203,118819.24176570776,122048.59098364688
51.5,120472.60268473126,118856.690867607,122044.33667403595
53,120488.60767608375,118893.15362651268,122042.05364606074
55,120510.3300101695,118939.95723826606,122041.3662188369
56.5,120526.63208795465,118973.57629750467,122042.2026812733
58,120542.771662086,119005.87052630118,122043.91945112371
60,120563.85314762553,119046.84790791279,122047.24392438158
61.5,120579.23890485265,119076.03392476478,122050.31666523848
63,120594.20416627575,119103.92374745701,122053.75282517486
64.5,120608.71702250223,119130.5549482643,122057.4579331831
66,120622.7583156427,119155.97149593015,122061.35605267074
67.5,120636.3186094121,119180.22134599928,122065.38617509362
68.8,120647.68003950859,119200.33289058432,122068.9476225002
70,120657.84715067166,119218.18174917754,122072.26790054404
71.5,120670.12906786379,119239.5675405228,122076.4363578776
73.2,120683.48681290446,119262.62151624287,122081.1538092307
75,120696.99891127588,119285.73781573372,122086.10868597597
76.5,120707.78006397425,119304.04291172077,122090.18681919265
78,120718.14198056028,119321.52524163837,122094.2057840815
80,120731.33298612475,119343.63003857806,122099.45703098064
82,120743.84463063013,119364.44669709433,122104.57190806167
84,120755.71470968865,119384.06622329734,122109.54065235273
86,120766.98024072015,119402.57327667334,122114.35771520871
88,120777.67702820759,119420.0464022912,122119.02072675452
90,120787.83938695474,119436.55833275954,122123.5296984188
92,120797.49997922935,119452.17632829396,122127.8864079816
94,120806.68973345573,119466.96253322592,122132.09392503889
96,120815.43782072798,119480.97433433392,122136.15624484383
98,120823.77167172778,119494.26471135454,122140.07800603483
100,120831.71702127207,119506.88257353501,122143.86427345141
102,120839.29797114425,119518.87307854596,122147.52037155523
104,120846.53706439145,119530.27793178064,122151.05175725788
106,120853.45536614675,119541.13566524202,122154.46392347054
108,120860.07254742231,119551.4818960146,122157.76232661812
110,120866.40696934951,119561.34956484058,122160.95233284932
112,120872.47576610235,119570.76915565519,122164.03917882136
115,120881.11559249401,119584.11957493525,122168.48708539875
118,120889.24300760422,119596.61156305336,122172.73065392078
120,120894.39884790781,119604.50125388734,122175.45383193024
122,120899.3590194419,119612.06492407873,122178.09738496169
125,120906.4569830114,119622.84126434923,122181.92238035923
128,120913.17518114558,119632.98740332661,122185.59053624599
130,120917.45882615463,119639.42821260937,122187.95486943002
132,120921.5965381009,119645.62758660724,122190.25827408259
135,120927.54707343504,119654.50350898755,122193.60608104142
138,120933.2126080989,119662.90887871112,122196.83403175592
140,120936.8426915118,119668.27003876305,122198.92403520331
142,120940.36258275373,119673.44949366273,122200.96749032289
145,120945.44855674934,119680.89909957309,122203.95068756725
148,120950.31806317244,119687.99192821792,122206.84228088181
150,120953.45245255026,119692.53596946434,122208.72263465436
155,120960.92953552792,119703.30439299271,122213.27177945062
160,120967.94436582425,119713.31021083574,122217.62593639661
165,120974.55258133869,119722.64430942436,122221.80936915296
170,120980.80228154258,119731.38502880017,122225.84326207124
175,120986.73517444544,119739.60013710581,122229.74613000193
180,120992.38753018009,119747.34845696721,122233.53417262573
185,120997.79097639742,119754.68121104961,122237.22157987852
190,121002.97316394212,119761.64314007616,122240.82079481203
195,121007.95832586169,119768.27343568792,122244.34273971569
200,121012.76774844069,119774.60652198349,122247.79701068946
205,121017.42016944836,119780.67271287132,122251.19204521188
210,121021.93211597158,119786.49876708296,122254.53526663051
215,121026.31819193781,119792.10835851193,122257.83320894561
220,121030.5913236076,119797.5224762207,122261.09162476304
225,121034.76296983755,119802.75976580562,122264.31557886433
230,121038.84330272142,119807.83682168803,122267.50952947327
235,121042.84136324463,119812.76843819095,122270.6773989837
240,121046.76519579739,119817.56782588181,122273.82263564496
245,121050.62196474506,119822.24679854623,122276.94826747791
250,121054.41805572622,119826.81593524617,122280.05694949992
255,121058.15916391119,119831.28472117602,122283.15100517884
260,121061.85037110012,119835.66167042078,122286.23246289839
270,121069.1007396789,119844.16988993282,122292.36441168698
275,121072.66756533847,119848.31423354213,122295.41775513465
280,121076.19991667713,119852.3930422842,122298.46425279992
285,121079.70067234723,119856.41134371272,122301.50487171474
290,121083.17239919119,119860.37367134175,122304.54042921937
