Frequency,Nominal,Min,Max
0.78,-92.81507293601409,-93.36153058671066,-92.25984298575871
0.8,-92.88469465851851,-93.44484595432054,-92.31554539028537
0.82,-92.9541246184262,-93.52794593044743,-92.37107967003244
0.84,-93.0233583463122,-93.61082551951169,-92.42644188978988
0.86,-93.09239139588875,-93.69347975357091,-92.48162813351014
0.88,-93.16121934446281,-93.77590369285784,-92.53663450469013
0.9,-93.22983779338303,-93.85809242630333,-92.59145712675574
0.92,-93.29824236848584,-93.94004107205171,-92.64609214343527
0.94,-93.36642872052846,-94.02174477796812,-92.70053571912909
0.96,-93.43439252561741,-94.10319872213259,-92.75478403927458
0.98,-93.50212948562621,-94.18439811332789,-92.80883331070358
1,-93.56963532861226,-94.2653381915169,-92.86267976199613
1.02,-93.63690580921727,-94.34601422830613,-92.91631964382496
1.04,-93.70393670906738,-94.42642152740615,-92.96974922929802
1.06,-93.77072383715912,-94.50655542507448,-93.02296481429225
1.08,-93.83726303024335,-94.58641129055573,-93.07596271778155
1.1,-93.90355015319693,-94.66598452650358,-93.12873928216074
1.12,-93.96958109938741,-94.74527056939847,-93.18129087355992
1.15,-94.06813827506384,-94.86365124840803,-93.25968854648212
1.18,-94.16609624586263,-94.98136042040449,-93.33755983368657
1.2,-94.23106200081997,-95.05945274638196,-93.38917567990582
1.22,-94.29575148542224,-95.13723558291834,-93.44054875046376
1.25,-94.39225912027909,-95.25332003405019,-93.51714553517361
1.28,-94.48812318668001,-95.36868381418803,-93.59317658562924
1.3,-94.55166861470656,-95.44518553478547,-93.64354396091488
1.32,-94.61491844107911,-95.5213563714914,-93.69365139504411
1.35,-94.70923068618566,-95.63498311428094,-93.76831782768802
1.38,-94.80285675665228,-95.74784209829127,-93.84238064866666
1.4,-94.8648867849253,-95.82264811049686,-93.89141505242529
1.42,-94.92660267880646,-95.89710278631101,-93.94017301902572
1.45,-95.01857963449395,-96.00811736099027,-94.0127846212682
1.48,-95.1098296424087,-96.11831924778267,-94.08475627363849
1.5,-95.17025325498082,-96.19132922762283,-94.13237661078891
1.55,-95.31985298408632,-96.37222361866384,-94.25014220758894
1.6,-95.46732549615066,-96.55074200831235,-94.36603372628394
1.65,-95.61261881913553,-96.72682745365483,-94.48000462587515
1.7,-95.75568234957753,-96.9004246091057,-94.59200952451664
1.75,-95.89646686553897,-97.07147973836123,-94.70200421269722
1.8,-96.03492453758844,-97.23994072391912,-94.80994566484775
1.85,-96.17100893783646,-97.40575707421412,-94.9157920493964
1.9,-96.30467504707764,-97.56887992843023,-95.0195027373002
1.95,-96.43587926007066,-97.72926205904835,-95.12103830907103
2,-96.56457938900772,-97.88685787219875,-95.22036056033606
2.05,-96.6907346652206,-98.04162340589147,-95.31743250595589
2.1,-96.81430573917989,-98.19351632619531,-95.41221838274402
2.15,-96.93525467883539,-98.34249592144666,-95.50468365081831
2.2,-97.05354496636377,-98.48852309456764,-95.5947949936289
2.25,-97.16914149337661,-98.63156035357615,-95.68252031670146
2.3,-97.28201055465466,-98.77157180037378,-95.76782874513982
2.35,-97.3921198404705,-98.90852311789622,-95.85069061993244
2.4,-97.49943842756244,-99.04238155571646,-95.9310774931095
2.45,-97.60393676882856,-99.17311591418446,-96.00896212179694
2.5,-97.70558668180533,-99.30069652719693,-96.084318461215
2.55,-97.80436133599518,-99.42509524368214,-96.15712165667065
2.6,-97.90023523911697,-99.54628540788899,-96.22734803459367
2.7,-98.08318542455737,-99.77894080714037,-96.3599814890754
2.75,-98.17021727581641,-99.89036001490503,-96.42234703100958
2.8,-98.25425947988005,-99.9984785694328,-96.48205266232378
2.85,-98.3352929960777,-100.10327696016334,-96.53908045054938
2.9,-98.41330002045191,-100.20473703332551,-96.5934135732204
2.95,-98.48826396628398,-100.30284196624994,-96.64503630359108
3,-98.56016944405582,-100.3975762411476,-96.69393399578694
3.05,-98.62900224090797,-100.4889256184333,-96.74009306943655
3.1,-98.69474929965371,-100.5768771096638,-96.78350099383076
3.15,-98.75739869740396,-100.66141895016018,-96.82414627165241
