Frequency,Nominal,Min,Max
0.78,0.00008746877546470764,-0.0032160223814712806,0.003053521239079048
0.8,0.0000893323750130091,-0.0033856578157001414,0.0032095088355666443
0.82,0.00009096841731396786,-0.0035598538508497565,0.003369177585954189
0.84,0.00009235629664969044,-0.003738630405593734,0.0035325073664501383
0.86,0.00009347489854283015,-0.003922007886192071,0.003699477552529669
0.88,0.00009430259972562603,-0.004110007186192987,0.003870067018726853
0.9,0.0000948172682103967,-0.004302649686077295,0.004044254138300342
0.92,0.00009499626323386612,-0.00449995725294858,0.004222016783003872
0.94,0.0000948164353317844,-0.0047019522401698585,0.0044033323227629815
0.96,0.00009425412632778994,-0.0049086574870161855,0.004588177625404418
0.98,0.00009328516935411244,-0.005120096318315316,0.004776529056353353
1,0.00009188488888092437,-0.005336292544076422,0.004968362478331162
1.02,0.00009002810073114811,-0.005557270459090499,0.005163653251055622
1.04,0.00008768911211538366,-0.0057830548425720114,0.005362376230922312
1.06,0.0000848417216444747,-0.006013670957724051,0.005564505770697974
1.08,0.00008145921937752055,-0.006249144551351552,0.005770015719196905
1.1,0.00007751438684549165,-0.006489501853449267,0.00597887942094996
1.12,0.00007297949708318144,-0.006734769576729787,0.0061910697158930935
1.15,0.00006500890112890614,-0.007111937822281215,0.006515531865173359
1.18,0.00005554958818750823,-0.00750030963288773,0.006847320983039512
1.2,0.00004836703138737782,-0.007765495807563656,0.00707253594618887
1.22,0.00004044815656893156,-0.008035733192567915,0.007300934121305271
1.25,0.000027121784361430552,-0.008450625169767646,0.007649433716590682
1.28,0.000011963312997003174,-0.008877051002773369,0.008004923434682702
1.3,7.863145170054387e-7,-0.009167794017588986,0.00824574743736276
1.32,-0.000011285968131722305,-0.009463741030423991,0.008489598604060792
1.35,-0.00003114607018354737,-0.009917489158330123,0.008860979542882133
1.38,-0.00005321023226546214,-0.01038312835808252,0.009238985208171327
1.4,-0.00006920190157479402,-0.01070021604576943,0.009494612605107875
1.42,-0.00008626051856009958,-0.011022672452592475,0.009753098406083138
1.45,-0.00011392754359848092,-0.01151649872523465,0.010146109297074523
1.48,-0.00014419914746042047,-0.012022600056855428,0.010545350863563577
1.5,-0.00016588918353185463,-0.012366879776032545,0.010814912355722177
1.55,-0.00022567282207910767,-0.013251920250998398,0.011500444544168927
1.6,-0.0002938842621616303,-0.014172199613183771,0.012202108613529418
1.65,-0.00037114909639082363,-0.015128315669565288,0.012919287264348878
1.7,-0.00045811269309684456,-0.016120884501699448,0.013651343107747023
1.75,-0.0005554401808006514,-0.01715054039327985,0.014397618626377912
1.8,-0.0006638164310490185,-0.018217935754420503,0.015157436135319542
1.85,-0.0007839460395037155,-0.019323741042739383,0.015930097742933844
1.9,-0.0009165533051668336,-0.02046864468095174,0.01671488531193991
1.95,-0.001062382207600534,-0.021653352971099226,0.017511060420646752
2,-0.0012221963821339265,-0.022878590005144177,0.01831786432456516
2.05,-0.0013967790928119262,-0.024145097571966704,0.019134517918529822
2.1,-0.001586933203021575,-0.02545363506058197,0.019960221699354613
2.15,-0.0017934811437026886,-0.02680497935956632,0.020794155729284867
2.2,-0.0020172648789929925,-0.028199924752517196,0.02163547960022512
2.25,-0.0022591458691089313,-0.029639282809513043,0.022483332399025002
2.3,-0.002520005030504596,-0.031123882274454964,0.02333683267386125
2.35,-0.0028007426929481517,-0.03265456894818026,0.0241950784018653
2.4,-0.003102278553613339,-0.034232205567252004,0.02505714695821705
2.45,-0.0034255516278514863,-0.03585767167837794,0.02592209508673253
2.5,-0.0037715201966142093,-0.03753186350825329,0.026788958872235057
2.55,-0.004141161750389759,-0.039255693828831636,0.027656753714748815
2.6,-0.004535472929408693,-0.041030091817881,0.028524474305742453
2.7,-0.005402186087524763,-0.04473438867100257,0.030255567829245086
2.75,-0.005876676503763726,-0.04666622659656966,0.031116826419825997
2.8,-0.006380013271997585,-0.04865251000010443,0.031973782044405256
2.85,-0.0069132877461470675,-0.050694247824627676,0.032825325578069414
2.9,-0.007477609985986785,-0.05279246447762822,0.03367032709691075
2.95,-0.0080741086674924,-0.054948199655854776,0.03450763587326259
3,-0.008703930988283077,-0.0571625081645177,0.03533608037442051
3.05,-0.009368242568056743,-0.059436459730948375,0.03615446826499502
3.1,-0.010068227343732184,-0.06177113881252304,0.036961586413109385
3.15,-0.010805087459271324,-0.06416764439879373,0.037756200900586304
3.2,-0.011580043149950855,-0.06662708980776283,0.03853705703745847
3.3,-0.013249211919726719,-0.07173932374355685,0.040052371758545174
3.4,-0.01508585259796446,-0.07711702561072828,0.041497078457174506
3.5,-0.01710036519221207,-0.08276959559434117,0.042860394378840136
3.6,-0.019303425995535452,-0.08870664146614851,0.04413120746841422
3.7,-0.02170598238071678,-0.09493797056291314,0.04529807807302699
3.9,-0.027154692383549558,-0.10832365450259866,0.047272608255496666
4,-0.030224042874991,-0.11549854367547427,0.048055771606421174
4.1,-0.033539268953292956,-0.1230087656584642,0.0486860064753757
4.2,-0.037112578852968495,-0.13086499020951928,0.049150275720270115
4.32,-0.0417587496412609,-0.1407644157981556,0.0494695128717737
4.45,-0.047257135651194895,-0.15209058692046037,0.049496527925538346
4.58,-0.053266871435416904,-0.16406639245976654,0.049161878946486534
4.75,-0.06194562075522749,-0.18074836577584397,0.04812574615450288
4.88,-0.06924690752759566,-0.19431790920322312,0.04683425761510135
5,-0.0765265398556331,-0.20749286194111838,0.045226234265579666
5.15,-0.08639259076506352,-0.2248690752850065,0.04261276479103031
5.3,-0.09715465676417875,-0.2432900037942119,0.03927878359908272
5.5,-0.1129809285621211,-0.2695436905325043,0.033618079254322204
5.65,-0.12602112802833176,-0.290553628933244,0.02838865426557241
5.8,-0.14011881464979903,-0.31273756183617224,0.022252818915086833
6,-0.16064527087673047,-0.34420820985688655,0.0125621357885077
6.15,-0.17740063211522894,-0.36927888384631846,0.004086425958243966
6.3,-0.19537622471120641,-0.3956484440577049,-0.005489702180053361
6.45,-0.21462031969577164,-0.4233527804963204,-0.016225256938013525
6.6,-0.23518065413326047,-0.4524268177759658,-0.02817933043848328
6.75,-0.2571042668889354,-0.4829043814978374,-0.041410921244575793
6.88,-0.2772431865330005,-0.5104787945168201,-0.05395706649853422
7,-0.2967980731840135,-0.5369071829042485,-0.0664617741971925
7.15,-0.322579937759227,-0.5712830744663212,-0.08338576759311514
7.32,-0.3536476652213165,-0.6120766031444903,-0.10437049733544143
7.5,-0.38874769016965466,-0.6574355493149947,-0.12876590546654143
7.65,-0.41977833194152187,-0.6969666730906379,-0.15087190040969037
7.8,-0.4524677039119604,-0.7380965427683253,-0.17464921938075484
8,-0.49869454620640935,-0.7954584824176467,-0.20903998051645115
8.2,-0.5480104128733625,-0.8557415618275059,-0.2466076601535785
8.4,-0.6004853116150285,-0.9189813124433077,-0.2874603728367397
8.6,-0.6561810854076624,-0.9852058259279419,-0.33169818716024285
8.8,-0.7151508972109698,-1.0544355163172492,-0.379412280501355
9,-0.7774387813469625,-1.1266829436166432,-0.430684149317461
9.2,-0.8430792690808981,-1.20195270140028,-0.4855848887941108
9.4,-0.9120970947943106,-1.2802413699540582,-0.5441745548962564
9.6,-0.9845069878039587,-1.3615375354391148,-0.6065016207414655
9.8,-1.0603135533864672,-1.4458218744731122,-0.6726025376994897
10,-1.1395112449618519,-1.5330673024623822,-0.7425014097648853
10.2,-1.222084427719655,-1.6232391830001691,-0.816209787600971
10.4,-1.3080075322909959,-1.7162955947020164,-0.8937265862835237
10.6,-1.3972452954329107,-1.812187651003453,-0.9750381282605997
10.8,-1.4897530831480157,-1.9108598677195916,-1.060118310478094
11,-1.5854772902600698,-2.0122505725750224,-1.148928892089776
11.2,-1.6843558092444655,-2.116292350468529,-1.241419896764042
11.5,-1.8384325848083318,-2.2771654655831473,-1.3869203925094995
11.8,-1.9991801092473604,-2.4435739439288935,-1.5403109989314576
12,-2.109904325544408,-2.5600944075063348,-1.6468089668999033
12.2,-2.2233649471643693,-2.6840786533366017,-1.7565823654540753
12.5,-2.398465652717752,-2.8744256776621264,-1.9270446058934596
12.8,-2.579140657249488,-3.0696685086524234,-2.091335461555814
13,-2.702504884784828,-3.207462599304039,-2.2041446142898753
13.2,-2.8280694556316437,-3.3486111423994434,-2.319461718148636
13.5,-3.0202925139641685,-3.5637268986244046,-2.4969103317538583
13.8,-3.216822695840895,-3.7825147178812313,-2.6794026532051065
14,-3.3500445181512415,-3.9301963016117765,-2.803682813326582
14.2,-3.484894884283495,-4.079188637113154,-2.927230161182974
14.5,-3.6899783766278293,-4.304867114338772,-3.110132750986674
14.8,-3.898101273309541,-4.532820493857893,-3.2966899217973973
15,-4.038359577860607,-4.685865462438927,-3.422932954966017
15.5,-4.393537721850688,-5.071472828107647,-3.744406725973212
16,-4.7539723875154,-5.460139797803531,-4.07312001487569
16.5,-5.118249688405285,-5.850490300473568,-4.407708626771581
17,-5.4850908812774755,-6.241318647108539,-4.746896334841274
17.5,-5.853354570821654,-6.631581484645476,-5.089506609701532
18,-6.222034038993987,-7.020386458666507,-5.434468874448876
18.5,-6.59025108830953,-7.406979020458722,-5.780820297836925
19,-6.957247583842535,-7.7907284671867405,-6.127704128904666
19.5,-7.322375652397416,-8.171113998214093,-6.474365493925958
20,-7.6850872783012525,-8.547711318071226,-6.820145453427591
20.5,-8.0449238400946,-8.920180118387847,-7.164473978190263
21,-8.40150596845605,-9.288252622359781,-7.506862365786667
21.5,-8.754523974291999,-9.651723268331624,-7.846895493792464
22,-9.103728994768987,-10.010439535537813,-8.184224197635737
22.5,-9.448924930094195,-10.364293867194208,-8.518557971817668
23,-9.789961190410445,-10.713216617301462,-8.84965812234209
23.5,-10.126726235745377,-11.057169932295622,-9.177331443757096
24,-10.459141868519398,-11.39614247284403,-9.501424453794815
24.5,-10.78715822430068,-11.730144881461374,-9.8218181896466
25,-11.110749399583028,-12.059205905892727,-10.13842355003942
25.5,-11.429909653242728,-12.38336909472929,-10.451177154388612
26,-11.744650119405915,-12.7026899893509,-10.760037682636117
27,-12.360983989935674,-13.327073115774633,-11.36600561385293
27.5,-12.662660461274061,-13.632286766245398,-11.663113656016327
28,-12.960079400614973,-13.932957838208758,-11.956325294770702
28.5,-13.253301020285452,-14.229172758512032,-12.245668596976858
29,-13.542390431446806,-14.521020238353383,-12.531179572810762
29.5,-13.827416540133115,-14.808590439792962,-12.812900784108033
30,-14.108451111581203,-15.091974283567849,-13.090880144542608
30.5,-14.385567979197482,-15.371262876694168,-13.365169887283933
31,-14.658842377650451,-15.646547041498396,-13.63582567853424
31.5,-14.928350382350944,-15.917916930436633,-13.902905857887362
32,-15.194168440012348,-16.185461713389774,-14.166470788759698
33,-15.715040074849354,-16.709426270232676,-14.683303235408744
34,-16.222062990195575,-17.21912608501793,-15.18682732045866
35,-16.715829893503397,-17.715219400128923,-15.677551923231833
36,-17.196915248202416,-18.198334792911876,-16.15598199690767
37,-17.665871974326944,-18.66907003705509,-16.622612637019223
39,-18.569493086335378,-19.575636754277873,-17.522383951025677
40,-19.005143161251993,-20.01251121545412,-17.95643592846412
41,-19.430636065594445,-20.439093590230442,-18.380508643013307
42,-19.84640443686972,-20.85583508045127,-18.79501050547495
43.2,-20.333065564293943,-21.343532344734292,-19.28032595095564
44.5,-20.84591639086826,-21.857368325493027,-19.791900995296857
45.8,-21.344597185635656,-22.356914531189823,-20.289465069766706
47.5,-21.97655611421119,-22.9898563943792,-20.920161759417773
48.8,-22.445263626445563,-23.459221602758966,-21.38802948083019
50,-22.86732178020204,-23.881826745896745,-21.809392934170184
51.5,-23.381307133529134,-24.396427443629932,-22.322601757230196
53,-23.880971574358263,-24.896643554068692,-22.82157547300955
55,-24.526239086715485,-25.542566116112596,-23.46603101626213
56.5,-24.99538990110161,-26.01215907396501,-23.93463974890997
58,-25.452576626592926,-26.46975364380204,-24.391331379102326
60,-26.044577086645468,-27.062254330568756,-24.982731832877256
61.5,-26.47610426725825,-27.49413003572883,-25.41384609894918
63,-26.89750600154199,-27.91586171425429,-25.834861047731117
64.5,-27.30925435595701,-28.32792460072983,-26.24624452252351
66,-27.711790174026902,-28.7307622053152,-26.648433801490693
67.5,-28.10552568389339,-29.124789004902226,-27.041838094526828
68.8,-28.43994361531513,-29.45945237202746,-27.375979375685855
70,-28.74323260901159,-29.762963108225343,-27.679020261374095
71.5,-29.115322889685725,-30.135325187899152,-28.050808680903838
73.2,-29.527977669269944,-30.548282187384416,-28.463130524733103
75,-29.954901685889944,-30.975521009607725,-28.889710481973484
76.5,-30.30315936979287,-31.32403795221226,-29.237686672643008
78,-30.644872884966073,-31.666008637542507,-29.579122403817912
80,-31.090743949639087,-32.112220261986685,-30.02462747212943
82,-31.525985054764448,-32.54780014442345,-30.459506172184415
84,-31.95111470680971,-32.97326748468633,-30.88427579404986
86,-32.366615135755396,-33.38910495086105,-31.299417654734736
88,-32.772935518849934,-33.79576193156253,-31.705380281821874
90,-33.17049485250878,-34.19365742976189,-32.10258225389505
92,-33.55968451624012,-34.58318264339604,-32.49141473985666
94,-33.94087056636481,-34.96470327157199,-32.872243773520886
