Frequency,Nominal,Min,Max
0.78,3.3688301335091173e-7,3.365443309595354e-7,3.372406691378531e-7
0.8,3.3699217018779783e-7,3.366409962985273e-7,3.3736328691992056e-7
0.82,3.371040530165673e-7,3.3674007950535013e-7,3.3748896161657686e-7
0.84,3.3721865904367583e-7,3.3684157839005465e-7,3.3761768970171545e-7
0.86,3.3733598540864863e-7,3.369454907100458e-7,3.3774946756505175e-7
0.88,3.374560291842233e-7,3.370518141701816e-7,3.3788429151232444e-7
0.9,3.3757878737649596e-7,3.3716054642287734e-7,3.380221577654988e-7
0.92,3.3770425692506945e-7,3.3727168506820847e-7,3.381630624629767e-7
0.94,3.3783243470320484e-7,3.3738522765401714e-7,3.3830700165980663e-7
0.96,3.379633175179748e-7,3.3750117167602024e-7,3.3845397132789945e-7
0.98,3.3809690211042025e-7,3.3761951457791895e-7,3.3860396735624736e-7
1,3.382331851557088e-7,3.37740253751511e-7,3.387569855511445e-7
1.02,3.3837216326329526e-7,3.3786338653680335e-7,3.38913021636413e-7
1.04,3.385138329770859e-7,3.379889102221274e-7,3.390720712536298e-7
1.06,3.386581907756033e-7,3.38116822044256e-7,3.3923412996235823e-7
1.08,3.38805233072155e-7,3.382471191885218e-7,3.3939919324038193e-7
1.1,3.3895495621500256e-7,3.3837979878893707e-7,3.3956725648394096e-7
1.12,3.391073564875344e-7,3.385148579283156e-7,3.3973831500797203e-7
1.15,3.3934096822522504e-7,3.387219017659313e-7,3.400005084968997e-7
1.18,3.3958058194769145e-7,3.38934282642985e-7,3.402694141978082e-7
1.2,3.397436522815157e-7,3.390788297467234e-7,3.404524053755445e-7
1.22,3.399093801950314e-7,3.3922574103987726e-7,3.4063836719744075e-7
1.25,3.4016294603642643e-7,3.3945053377344697e-7,3.4092286856194705e-7
1.28,3.404224680745853e-7,3.3968062758703553e-7,3.412140244534061e-7
1.3,3.4059878465040404e-7,3.39836962918058e-7,3.4141181638050293e-7
1.32,3.4077773766102166e-7,3.399956458280717e-7,3.416125523201947e-7
1.35,3.410511008100009e-7,3.4023806429528394e-7,3.419191640630904e-7
1.38,3.413303708054325e-7,3.404857450647724e-7,3.422323681948179e-7
1.4,3.4151982474646864e-7,3.406537830758737e-7,3.424448237746959e-7
1.42,3.417118924060586e-7,3.408241508114276e-7,3.4266019477283984e-7
1.45,3.420048842546961e-7,3.410840625001236e-7,3.429887046394481e-7
1.48,3.423037300911994e-7,3.41349194933574e-7,3.433237403780331e-7
1.5,3.4250620471245525e-7,3.4152884389165877e-7,3.435507127670082e-7
1.55,3.43023709099921e-7,3.4198806667144194e-7,3.4413075127926266e-7
1.6,3.4355731801942564e-7,3.424616683719914e-7,3.4472872033726274e-7
1.65,3.441069497154154e-7,3.429495846517795e-7,3.4534451716835835e-7
1.7,3.4467252009457013e-7,3.4345174930979194e-7,3.4597803609347554e-7
1.75,3.4525394274605365e-7,3.4396809430022077e-7,3.46629168554484e-7
1.8,3.4585112896185875e-7,3.444985497472724e-7,3.472978031416064e-7
1.85,3.464639877572129e-7,3.450430439600632e-7,3.4798382562082007e-7
1.9,3.4709242589101283e-7,3.4560150344758393e-7,3.486871189612031e-7
1.95,3.4773634788625343e-7,3.4617385293370663e-7,3.4940756336218203e-7
2,3.4839565605042164e-7,3.467600153722181e-7,3.5014503628063444e-7
2.05,3.4907025049582375e-7,3.4735991196185176e-7,3.5089941245780573e-7
2.1,3.4976002915981736e-7,3.479734621613036e-7,3.516705639460019e-7
2.15,3.504648878249201e-7,3.486005837042075e-7,3.5245836013501864e-7
2.2,3.5118472013876715e-7,3.49241192614054e-7,3.532626677782727e-7
2.25,3.5191941763389505e-7,3.4989520321903096e-7,3.5408335101860337e-7
2.3,3.5266886974732316e-7,3.5056252816677035e-7,3.5492027141371194e-7
2.35,3.5343296383991566e-7,3.512430784389836e-7,3.557732879612142e-7
2.4,3.542115852154984e-7,3.5193676336596776e-7,3.5664225712327726e-7
2.45,3.550046171397143e-7,3.5264349064097013e-7,3.575270328508231e-7
2.5,3.5581194085859845e-7,3.533631663343937e-7,3.5842746660727475e-7
2.55,3.56633435616856e-7,3.54095694907832e-7,3.5934340739183126e-7
2.6,3.5746897867583037e-7,3.548409792279196e-7,3.6027470176225706e-7
2.7,3.5918170893002573e-7,3.5636941868151976e-7,3.621827254178503e-7
2.75,3.6005864088824475e-7,3.5715237169537304e-7,3.6315913580947573e-7
2.8,3.6094911070675933e-7,3.579476762428038e-7,3.641502620419302e-7
2.85,3.618529859879626e-7,3.587552274162409e-7,3.65155938790038e-7
2.9,3.627701324515866e-7,3.5957491879183105e-7,3.6617599841331555e-7
2.95,3.63700413950243e-7,3.6040664244174015e-7,3.6721027097521777e-7
3,3.6464369248460286e-7,3.612502889462091e-7,3.6825858426189617e-7
3.05,3.655998282182171e-7,3.6210574740536115e-7,3.6932076380047455e-7
3.1,3.665686794919822e-7,3.629729054507583e-7,3.7039663287686486e-7
3.15,3.6755010283825634e-7,3.6385164925670733e-7,3.7148601255313537e-7
3.2,3.685439529946332e-7,3.6474186355131464e-7,3.725887216844565e-7
3.3,3.70568343794575e-7,3.665562353525254e-7,3.748333927973252e-7
3.4,3.7264065440009625e-7,3.684150701597882e-7,3.7712915353838154e-7
3.5,3.7475965943120603e-7,3.703173948057638e-7,3.7947447694258666e-7
3.6,3.769241060073277e-7,3.7226221396217994e-7,3.8186780224082426e-7
3.7,3.7913271411959087e-7,3.7424851043791466e-7,3.843075353305696e-7
3.9,3.836771614239814e-7,3.7834135897137827e-7,3.893196845816425e-7
4,3.8601030814964876e-7,3.8044576985020826e-7,3.9188875003076753e-7
4.1,3.883822321644591e-7,3.825873762143087e-7,3.9449752278679186e-7
4.2,3.9079152307644757e-7,3.8476505565134163e-7,3.971442490729572e-7
4.32,3.937299736465405e-7,3.8742427711592166e-7,4.003679049585788e-7
4.45,3.9696874987424394e-7,3.9035952583713005e-7,4.039153289655629e-7
4.58,4.002620022105501e-7,3.9334883005870256e-7,4.075161189741782e-7
4.75,4.046451834093096e-7,3.973350372223138e-7,4.1229844768372376e-7
4.88,4.080512648467457e-7,4.0043881100310965e-7,4.160064095384822e-7
5,4.112337239910919e-7,4.033438596265228e-7,4.194641562602708e-7
5.15,4.152592430033412e-7,4.0702571172715885e-7,4.2382819997214266e-7
5.3,4.1933228691643636e-7,4.10759567487251e-7,4.282323464425642e-7
5.5,4.2482714755093553e-7,4.1581109132067815e-7,4.341548621723482e-7
5.65,4.289889195219692e-7,4.1964852161352276e-7,4.3862530591933136e-7
5.8,4.331790036426783e-7,4.2352253276685646e-7,4.4311225319707494e-7
6,4.3879954082758603e-7,4.2873649032209935e-7,4.491079768679206e-7
6.15,4.4303245639969725e-7,4.326770998792066e-7,4.536051318578812e-7
6.3,4.472736240615145e-7,4.3663805743692227e-7,4.580944260007729e-7
6.45,4.515169124951561e-7,4.4061436493318914e-7,4.625684872116827e-7
6.6,4.557561584887621e-7,4.446009770554262e-7,4.670199475001115e-7
6.75,4.599851799734285e-7,4.485928090021927e-7,4.7144146362467865e-7
6.88,4.636372791538694e-7,4.5205266533814043e-7,4.752435812360081e-7
7,4.669940280697579e-7,4.5524355677282235e-7,4.787686863864608e-7
7.15,4.711655714556574e-7,4.592242424088728e-7,4.832767691341275e-7
7.32,4.7585332102914306e-7,4.6371894637859304e-7,4.883347972403296e-7
7.5,4.807610665342917e-7,4.683515810107051e-7,4.936200570016007e-7
7.65,4.847997362417981e-7,4.7185679170264384e-7,4.981060428045032e-7
7.8,4.887856625003409e-7,4.7530587052599146e-7,5.026861057902135e-7
8,4.940082474158788e-7,4.798094416211537e-7,5.087099307143391e-7
8.2,4.991135627019884e-7,4.841947370269024e-7,5.146239861944111e-7
8.4,5.04088832030835e-7,4.884519744097741e-7,5.204122129705452e-7
8.6,5.089218584413402e-7,4.925720079630959e-7,5.260589762340821e-7
8.8,5.136011000923852e-7,4.965463724047408e-7,5.315491755658826e-7
9,5.181157422123397e-7,5.00367322038084e-7,5.368683545729814e-7
9.2,5.224557639404219e-7,5.040278642182832e-7,5.420028082263772e-7
9.4,5.266119988220802e-7,5.075217866624078e-7,5.46939685851192e-7
9.6,5.305761878259783e-7,5.108436781549406e-7,5.516670877321537e-7
9.8,5.343410238914275e-7,5.139889423260273e-7,5.561741533751546e-7
10,5.379001871877024e-7,5.169538043143363e-7,5.604511396092324e-7
10.2,5.412483704646444e-7,5.197353102649541e-7,5.644894869192595e-7
10.4,5.443812940902078e-7,5.223313197507938e-7,5.682818726612393e-7
10.6,5.472957105972236e-7,5.247404913390701e-7,5.718222501198782e-7
10.8,5.499893987903969e-7,5.26962261648384e-7,5.75105872710128e-7
11,5.524611476872443e-7,5.28996818353237e-7,5.78129302987031e-7
11.2,5.547107307755937e-7,5.308450676884485e-7,5.808904064969346e-7
11.5,5.576703757985881e-7,5.332717639898269e-7,5.84538676739539e-7
11.8,5.601382009778311e-7,5.352909990177409e-7,5.875974203567026e-7
12,5.615151637790435e-7,5.364160619556451e-7,5.893129128773336e-7
12.2,5.626821134815034e-7,5.373686883828795e-7,5.907737515267799e-7
12.5,5.640492118128454e-7,5.384838522164634e-7,5.92498271366166e-7
12.8,5.649728418919568e-7,5.392369955610122e-7,5.936807277915259e-7
13,5.653524482565847e-7,5.395466933123409e-7,5.941795002009389e-7
13.2,5.65550903207069e-7,5.39708957199283e-7,5.944557333093963e-7
13.5,5.655243877547198e-7,5.396886097839337e-7,5.944713130616749e-7
13.8,5.65130952714536e-7,5.393696981561696e-7,5.94035268960414e-7
14,5.646774596452225e-7,5.39001363834045e-7,5.935092474878606e-7
14.2,5.640799996704031e-7,5.385156082731122e-7,5.928061641649139e-7
14.5,5.629308268792746e-7,5.37580224357514e-7,5.914408209109427e-7
14.8,5.615012212511139e-7,5.364149718210179e-7,5.897318261476387e-7
15,5.604050524010487e-7,5.355204023291816e-7,5.884176718247491e-7
15.5,5.572178021457277e-7,5.329142248055867e-7,5.845891007971515e-7
16,5.534806288959169e-7,5.298490415570651e-7,5.800971709812324e-7
16.5,5.492967735331262e-7,5.264058031438751e-7,5.750733273141655e-7
17,5.447598526785436e-7,5.226582165483488e-7,5.696363612222703e-7
17.5,5.399532695922294e-7,5.18672370639492e-7,5.638914793353607e-7
18,5.349501799862107e-7,5.145067238460203e-7,5.579302167477731e-7
18.5,5.298138569012232e-7,5.102123555262851e-7,5.518309511701242e-7
19,5.245983209613045e-7,5.05833396482744e-7,5.456598088305352e-7
19.5,5.193491280845567e-7,5.01407569755604e-7,5.394717946902993e-7
