Frequency,Nominal,Min,Max
0.78,-4.712134841480377,-4.996583471393094,-4.432498968152562
0.8,-4.833240113982239,-5.125035927709268,-4.5463872318309075
0.82,-4.954366689046437,-5.253513738395244,-4.66029325567668
0.84,-5.075515091440805,-5.382017526838965,-4.774217477964025
0.86,-5.1966858453512135,-5.510547915646004,-4.888160336539727
0.88,-5.317879474366822,-5.63910552661968,-5.002122268812408
0.9,-5.4390965014653165,-5.767690980741101,-5.116103711741759
0.92,-5.560337448998111,-5.896304898149169,-5.230105101827677
0.94,-5.681602838675445,-6.024947898120488,-5.3441268750994215
0.96,-5.802893191551549,-6.1536205990492405,-5.458169467104755
0.98,-5.924209028009667,-6.282323618427005,-5.572233312898988
1,-6.045550867747085,-6.411057572822458,-5.68631884703408
1.02,-6.166919229760121,-6.5398230778610955,-5.8004265035476585
1.04,-6.2883146323290395,-6.668620748204832,-5.914556715952019
1.06,-6.409737593002949,-6.7974511975315135,-6.028709917223099
1.08,-6.531188628584657,-6.926315038514426,-6.142886539789443
1.1,-6.652668255115435,-7.055212882801671,-6.25708701552109
1.12,-6.774176987859782,-7.184145340995529,-6.371311775718456
1.15,-6.956495786314818,-7.377610262423788,-6.542695391425474
1.18,-7.138882964045997,-7.571156488915899,-6.714136067330678
1.2,-7.26051325821761,-7.700233487114767,-6.828462266612091
1.22,-7.382175222736441,-7.829348135815576,-6.942814897925816
1.25,-7.564728667413383,-8.023092024239896,-7.114394340258848
1.28,-7.747356236743767,-8.216924017836718,-7.286035657282387
1.3,-7.869149976531634,-8.346195295404211,-7.400498286659529
1.32,-7.99097792906442,-8.475507230780215,-7.514989479708743
1.35,-8.173785112713672,-8.66955267437671,-7.686780754112651
1.38,-8.35667211528687,-8.86369295436485,-7.858638680263697
1.4,-8.478641966071137,-8.993173484994717,-7.973248363801534
1.42,-8.60064854829745,-9.122697648781019,-8.08788872529641
1.45,-8.783728388130761,-9.317066999047777,-8.259907708665247
1.48,-8.966893685592243,-9.511537841970576,-8.431998080163517
1.5,-9.089052190264914,-9.641242434140539,-8.546765352260243
1.55,-9.39462114210757,-9.96570895153394,-8.833827827612211
1.6,-9.700442969955251,-10.29047565396422,-9.121101636058105
1.65,-10.006525355152636,-10.615551583439302,-9.408593246077897
1.7,-10.312875932462418,-10.94094571901188,-9.696309092115888
1.75,-10.619502288419085,-11.266666974528864,-9.984255573391364
1.8,-10.926411959666318,-11.592724196356773,-10.272439052698314
1.85,-11.233612431277688,-11.919126161082524,-10.560865855193894
1.9,-11.541111135060303,-12.245881573189337,-10.84954226717567
1.95,-11.848915447841188,-12.57299906270748,-11.138474534847155
2,-12.157032689736166,-12.900487182839266,-11.427668863071649
2.05,-12.46547012240091,-13.228354407558404,-11.717131414114073
2.1,-12.774234947264095,-13.556609129183183,-12.006868306370782
2.15,-13.083334303742244,-13.885259655923281,-12.296885613086884
2.2,-13.392775267436406,-14.214314209400275,-12.587189361061384
2.25,-13.702564848310134,-14.543780922141416,-12.87778552933958
2.3,-14.012709988849046,-14.873667835046868,-13.168680047892858
2.35,-14.323217562201505,-15.20398289483012,-13.459878796285706
2.4,-14.634094370300616,-15.534733951431761,-13.751387602329755
2.45,-14.945347141967385,-15.865928755406522,-14.043212240725037
2.5,-15.256982530994916,-16.19757495528379,-14.335358431688032
2.55,-15.569007114213925,-16.52968009490177,-14.627831839566777
2.6,-15.88142738953934,-16.862251610715237,-14.920638071442934
2.7,-16.507480601738706,-17.528822963496044,-15.50727114070182
2.75,-16.821126122021383,-17.862837111864447,-15.801108893150092
2.8,-17.135192497191017,-18.197346253667167,-16.09530129683916
2.85,-17.44968580063105,-18.53235724716133,-16.38985365109019
2.9,-17.764612014699853,-18.86787682653426,-16.684771189295457
2.95,-18.079977028649342,-19.203911599037404,-16.98005907742935
3,-18.395786636526168,-19.540468042097682,-17.275722412546703
3.05,-18.712046535055958,-19.877552500406825,-17.571766221268554
3.1,-19.028762321510793,-20.215171182989256,-17.86819545825554
3.15,-19.345939491560525,-20.553330160249843,-18.165015004669023
3.2,-19.663583437108173,-20.892035361001906,-18.462229666620377
3.3,-20.300292690381372,-21.571107422315087,-19.057863176944622
3.4,-20.938931058018092,-22.252431851535064,-19.655132877453006
3.5,-21.579537715438008,-22.936050674687163,-20.254074354388745
3.6,-22.222149965072177,-23.622003361315095,-20.854721840430454
