Frequency,Nominal,Min,Max
0.78,-0.08224226778177364,-0.08720683292653739,-0.07736170108551349
0.8,-0.08435595352845608,-0.08944875122152882,-0.07934942626608008
0.82,-0.08647001107499042,-0.09169111203375306,-0.08133746142004399
0.84,-0.08858444958030312,-0.09393392624338222,-0.08332581419673206
0.86,-0.09069927819316354,-0.09617720471693351,-0.08531449223801231
0.88,-0.09281450605192644,-0.09842095830692216,-0.08730350317810538
0.9,-0.09493014228427435,-0.10066519785151307,-0.08929285464339656
0.92,-0.09704619600695932,-0.10290993417417191,-0.09128255425224625
0.94,-0.09916267632554274,-0.1051551780833144,-0.09327260961480068
0.96,-0.10127959233413653,-0.10740094037195509,-0.0952630283328023
0.98,-0.10339695311514166,-0.10964723181735514,-0.09725381799939876
1,-0.1055147677389869,-0.11189406318066802,-0.0992449861989525
1.02,-0.10763304526386679,-0.1141414452065856,-0.10123654050684919
1.04,-0.1097517947354784,-0.11638938862298205,-0.10322848848930574
1.06,-0.1118710251867577,-0.11863790414055636,-0.10522083770317789
1.08,-0.11399074563761531,-0.12088700245247459,-0.10721359569576744
1.1,-0.11611096509467043,-0.12313669423400997,-0.10920677000462854
1.12,-0.11823169255098513,-0.12538699014218274,-0.11120036815737357
1.15,-0.12141375587230546,-0.128763590008218,-0.1141915765354337
1.18,-0.12459701263713463,-0.132141608915316,-0.11718378080182401
1.2,-0.12671986174059854,-0.13439442752247704,-0.11917914940057585
1.22,-0.12884326359589665,-0.13664790325486198,-0.12117497932531951
1.25,-0.1320294222663666,-0.1400293720134829,-0.12416960552276667
1.28,-0.13521687465609603,-0.14341237849745198,-0.1271653116372868
1.3,-0.13734257642371153,-0.14566858791926424,-0.12916306139040792
1.32,-0.139468875316372,-0.14792550695370163,-0.13116130967365316
1.35,-0.14265946256734938,-0.15131223884295344,-0.13415963303819842
1.38,-0.14585144292135502,-0.15470062593949013,-0.13715911969518343
1.4,-0.1479802184057067,-0.15696048751621067,-0.13915943602758743
1.42,-0.15010963497466104,-0.15922111063517405,-0.14116028779134954
1.45,-0.1533049809737762,-0.1626134957622911,-0.1441625854270691
1.48,-0.15650181848987385,-0.16600765227042263,-0.14716612902069415
1.5,-0.15863388660572483,-0.16827142445874496,-0.14916919579231422
1.55,-0.16396707090724716,-0.17393443349973928,-0.15417938114613114
1.6,-0.1693046687276565,-0.17960268175799232,-0.15919325495825548
1.65,-0.17464681413170843,-0.1852763270463134,-0.16421093012496038
1.7,-0.17999364037114957,-0.19095552607873567,-0.16923251894848437
1.75,-0.18534527985598553,-0.19664043443123677,-0.17425813311627364
1.8,-0.1907018641254631,-0.2023312065020393,-0.17928788368003287
1.85,-0.19606352381876088,-0.20802799547148204,-0.18432188103458014
1.9,-0.20143038864538226,-0.21373095326145689,-0.18936023489650575
1.95,-0.20680258735524717,-0.2194402304944065,-0.19440305428262675
2,-0.21218024770847835,-0.2251559764518729,-0.19945044748823731
2.05,-0.21756349644487644,-0.23087833903259802,-0.20450252206514977
2.1,-0.22295245925308266,-0.23660746471016783,-0.20955938479952538
2.15,-0.22834726073942202,-0.2423434984901962,-0.21462114168948762
2.2,-0.2337480243964294,-0.24808658386704951,-0.21968789792252247
2.25,-0.2391548725710492,-0.25383686278010476,-0.22475975785265648
2.3,-0.24456792643251377,-0.2595944755695447,-0.22983682497741492
2.35,-0.24998730593989196,-0.26535956093168434,-0.23491920191455667
2.4,-0.255413129809312,-0.2711322558738331,-0.2400069903785829
2.45,-0.2608455154808553,-0.27691269566868987,-0.24510029115702242
2.5,-0.2662845790851191,-0.28270101380827545,-0.25019920408648677
2.55,-0.27173043540945385,-0.2884973419574047,-0.2553038280284992
2.6,-0.2771831978638695,-0.294301809906698,-0.2604142608450961
2.7,-0.2881098877094352,-0.3059356747121958,-0.2706529394047436
2.75,-0.29358403472249855,-0.31176532134946927,-0.27578137565162597
2.8,-0.29906552703901246,-0.3176036072519473,-0.2809160017303565
2.85,-0.3045544706595146,-0.32345065211879775,-0.28605691013153767
2.9,-0.31005096999585574,-0.32930657348376186,-0.2912041921950958
2.95,-0.31555512783487216,-0.3351714866651318,-0.2963579380842929
3,-0.321067045301755,-0.34104550471533446,-0.3015182367595181
3.05,-0.326586821823123,-0.3469287383701306,-0.30668517595185874
3.1,-0.33211455508980314,-0.3528212959974396,-0.31185884213645615
3.15,-0.3376503410193289,-0.3587232835458135,-0.3170393205056476
3.2,-0.34319427371816097,-0.36463480449256536,-0.32222669494190065
3.3,-0.3543069465656927,-0.37648684782078523,-0.3326224608322703
3.4,-0.36545328881051553,-0.38837820238494486,-0.3430467836285421
3.5,-0.3766339841926884,-0.4003096016775578,-0.35350028442782844
3.6,-0.3878496837624524,-0.41228173457211614,-0.3639835607030829
3.7,-0.3991010046156233,-0.424295243601854,-0.37449718539173604
3.9,-0.4217128011204003,-0.4484487181104614,-0.39561764354307927
4,-0.4330743296677036,-0.4605897213572992,-0.40622549186481305
4.1,-0.4444735827023945,-0.4727741728035246,-0.41686571643407144
4.2,-0.45591098826717774,-0.48500245727783126,-0.42753875352326015
4.32,-0.4696867772483441,-0.4997347161292069,-0.4403902801583683
4.45,-0.4846738487868837,-0.5157669470154933,-0.4543674891717526
4.58,-0.4997273562587227,-0.5318747523426152,-0.46840231641495894
4.75,-0.5195137539620557,-0.5530532046029693,-0.4868435298965794
4.88,-0.5347222185136568,-0.569336000079881,-0.5010135695424901
5,-0.5488207367539472,-0.5844334140450214,-0.5141462539512227
5.15,-0.5665248241770479,-0.60339533481755,-0.5306335412363515
5.3,-0.584318646385302,-0.6224565509241129,-0.5472004460615733
5.5,-0.6081824704632235,-0.6480236887826758,-0.5694136007368468
5.65,-0.6261833414281521,-0.6673109449078934,-0.5861662080767397
5.8,-0.6442712565919819,-0.6866917417087333,-0.6029978599533196
6,-0.6685213437407955,-0.7126738323264468,-0.625561876120738
6.15,-0.6868062320835884,-0.7322622604776539,-0.6425750703899643
6.3,-0.7051721752942169,-0.7519341703211573,-0.6596642740380098
6.45,-0.7236167086954881,-0.7716856904306595,-0.6768280701476692
6.6,-0.7421370554322064,-0.7915125574790655,-0.6940648018510833
6.75,-0.7607301261625853,-0.811410120545652,-0.7113725699009084
6.88,-0.7769003257832758,-0.8287079805703529,-0.7264284457345918
7,-0.7918708094299274,-0.8447159914435157,-0.7403707764153805
7.15,-0.8106403467503652,-0.8647764684326928,-0.7578568313314907
7.32,-0.8319832774401945,-0.8875723312822653,-0.7777491279297677
7.5,-0.8546565836767298,-0.9117694504913784,-0.7988933770897034
7.65,-0.8736039285566475,-0.9319728949645304,-0.8165738047603697
7.8,-0.892593887713642,-0.952204438199061,-0.8343051581009212
8,-0.9179706992228904,-0.9792108180448479,-0.8580195406311828
8.2,-0.9434000276088135,-1.006235996174629,-0.8818079586882556
8.4,-0.9688675868920359,-1.0332612038407691,-0.9056600591418666
8.6,-0.9943584335014864,-1.0602670996879506,-0.9295648500183835
8.8,-1.0198570437754124,-1.0872338930982937,-0.9535107435373844
9,-1.0453473980123638,-1.1141414731607004,-0.9774856048202983
9.2,-1.0708130701542058,-1.1409695414446819,-1.0014768059319057
9.4,-1.096237322051363,-1.1676977466537652,-1.0254712848138348
9.6,-1.1216032011507897,-1.1943058191807787,-1.0494556085725595
9.8,-1.1468936403637036,-1.2207737035890933,-1.0734160404957518
10,-1.172091558816151,-1.2470816871002914,-1.0973386100930278
10.2,-1.1971799621631651,-1.2732105222771974,-1.1212091853926944
10.4,-1.2221420411574473,-1.299141542247038,-1.145013546677257
10.6,-1.2469612672058286,-1.324856767006005,-1.168737460808842
10.8,-1.2716214837195468,-1.3503389995754704,-1.1923667552824724
11,-1.2961069921647856,-1.375571911032243,-1.2158873911507069
11.2,-1.320402631844171,-1.4005401137008602,-1.2392855339873996
11.5,-1.3564584420056973,-1.4374649066162348,-1.2741234981941876
11.8,-1.3920082704313905,-1.4737179029365026,-1.3086111352922676
12,-1.4154059624521207,-1.4974940896330386,-1.3313873619392993
12.2,-1.438548312706662,-1.5209444467694517,-1.3539772435441186
12.5,-1.472759919237118,-1.5554899106887314,-1.3874880710371842
12.8,-1.5063407553859074,-1.5892572023743925,-1.4205186163561851
13,-1.5283635866143135,-1.611326403064412,-1.4422559874859033
13.2,-1.5500864256523714,-1.6330362655252237,-1.4637566147952268
13.5,-1.5820947086798833,-1.6649197646200378,-1.4955461279947837
13.8,-1.6133965421256276,-1.6959789057022705,-1.5267604921092863
14,-1.6338652040831776,-1.7162250800439576,-1.5472400861052318
14.2,-1.654010920314983,-1.7361031525932784,-1.567449386562976
14.5,-1.6836193561751698,-1.7652318044185507,-1.5972465694981164
14.8,-1.7124919546228794,-1.7935392207749234,-1.626412438958307
15,-1.7313308951410389,-1.8119585899212214,-1.6455007325230495
15.5,-1.776999381338542,-1.8564479413371897,-1.691962549466744
16,-1.8206462566126302,-1.8987610649690996,-1.736614499676508
16.5,-1.8623108617903383,-1.9389731543173425,-1.779458827988121
17,-1.9020466407358942,-1.9771692501502753,-1.8205146128666474
17.5,-1.939917676655736,-2.0134407294897168,-1.8598148306105238
18,-1.9759956422494322,-2.0478824186919216,-1.8974035557777593
18.5,-2.0103571950460086,-2.0805902876317726,-1.93333339214032
19,-2.043081813066798,-2.111659660769583,-1.9676631888888079
19.5,-2.0742500422353594,-2.1411838720770113,-2.0004560652581436
