Freq.	V(out)
8.00000000000000e-01	(1.42421580041999e-05dB,-4.82718573298801e+00°)
8.18634393824603e-01	(1.30566580503903e-05dB,-4.93989816978211e+00°)
8.37702838440720e-01	(1.15580253443048e-05dB,-5.05525546983478e+00°)
8.57215444190085e-01	(9.70668250182789e-06dB,-5.17332062389814e+00°)
8.77182556914548e-01	(7.45879249168627e-06dB,-5.29415818805108e+00°)
8.97614763441571e-01	(4.76582682100773e-06dB,-5.41783432706504e+00°)
9.18522897197506e-01	(1.57409119158677e-06dB,-5.54441685926019e+00°)
9.39918043951623e-01	(-2.17579564182732e-06dB,-5.67397530291929e+00°)
9.61811547693930e-01	(-6.54947434351749e-06dB,-5.80658092433041e+00°)
9.84215016649905e-01	(-1.16194738747029e-05dB,-5.94230678753343e+00°)
1.00714032943533e+00	(-1.74659021331799e-05dB,-6.08122780584948e+00°)
1.03059964135451e+00	(-2.41772044565802e-05dB,-6.22342079527674e+00°)
1.05460539084513e+00	(-3.18509966020326e-05dB,-6.36896452984080e+00°)
1.07917030607332e+00	(-4.05949793405482e-05dB,-6.51793979899240e+00°)
1.10430741168231e+00	(-5.05279427699241e-05dB,-6.67042946715083e+00°)
1.13003003569820e+00	(-6.17808688409389e-05dB,-6.82651853549621e+00°)
1.15635181659674e+00	(-7.44981418430735e-05dB,-6.98629420612026e+00°)
1.18328671053457e+00	(-8.88388771534899e-05dB,-7.14984594865029e+00°)
1.21084899874897e+00	(-1.04978379873729e-04dB,-7.31726556946834e+00°)
1.23905329512998e+00	(-1.23109745797417e-04dB,-7.48864728365338e+00°)
1.26791455396889e+00	(-1.43445618600499e-04dB,-7.66408778978167e+00°)
1.29744807788714e+00	(-1.66220118384268e-04dB,-7.84368634772787e+00°)
1.32766952595005e+00	(-1.91690958092570e-04dB,-8.02754485961665e+00°)
1.35859492196939e+00	(-2.20141766057194e-04dB,-8.21576795408306e+00°)
1.39024066299950e+00	(-2.51884634570730e-04dB,-8.40846307400792e+00°)
1.42262352803114e+00	(-2.87262916335902e-04dB,-8.60574056790313e+00°)
1.45576068688799e+00	(-3.26654292798471e-04dB,-8.80771378513113e+00°)
1.48966970933029e+00	(-3.70474140526413e-04dB,-9.01449917515186e+00°)
1.52436857437060e+00	(-4.19179224491862e-04dB,-9.22621639100008e+00°)
1.55987567980644e+00	(-4.73271749780587e-04dB,-9.44298839720653e+00°)
1.59620985197510e+00	(-5.33303806230037e-04dB,-9.66494158238567e+00°)
1.63339035573562e+00	(-5.99882243938336e-04dB,-9.89220587672442e+00°)
1.67143690468323e+00	(-6.73674021048510e-04dB,-1.01249148746158e+01°)
1.71036967160178e+00	(-7.55412069408623e-04dB,-1.03632059626933e+01°)
1.75020929915964e+00	(-8.45901727627344e-04dB,-1.06072204535319e+01°)
1.79097691085467e+00	(-9.46027796372356e-04dB,-1.08571037252935e+01°)
1.83269412221422e+00	(-1.05676227541215e-03dB,-1.11130053676035e+01°)
1.87538305225594e+00	(-1.17917284786458e-03dB,-1.13750793339592e+01°)
1.91906633521559e+00	(-1.31443218320223e-03dB,-1.16434841009764e+01°)
1.96376713254802e+00	(-1.46382813749830e-03dB,-1.19183828347954e+01°)
2.00950914520766e+00	(-1.62877493650283e-03dB,-1.21999435649712e+01°)
2.05631662621509e+00	(-1.81082543553019e-03dB,-1.24883393661864e+01°)
2.10421439351630e+00	(-2.01168455876576e-03dB,-1.27837485481258e+01°)
2.15322784314153e+00	(-2.23322403025637e-03dB,-1.30863548538637e+01°)
2.20338296267053e+00	(-2.47749851938850e-03dB,-1.33963476671113e+01°)
2.25470634501156e+00	(-2.74676333501988e-03dB,-1.37139222286786e+01°)
2.30722520250128e+00	(-3.04349381489013e-03dB,-1.40392798624985e+01°)
2.36096738133311e+00	(-3.37040657050705e-03dB,-1.43726282115574e+01°)
2.41596137632161e+00	(-3.73048276241148e-03dB,-1.47141814840678e+01°)
2.47223634601087e+00	(-4.12699359661334e-03dB,-1.50641607102002e+01°)
2.52982212813470e+00	(-4.56352825056726e-03dB,-1.54227940096759e+01°)
2.58874925543702e+00	(-5.04402445556626e-03dB,-1.57903168704897e+01°)
2.64904897186072e+00	(-5.57280198311429e-03dB,-1.61669724389998e+01°)
2.71075324911362e+00	(-6.15459930455418e-03dB,-1.65530118215755e+01°)
2.77389480362025e+00	(-6.79461371724356e-03dB,-1.69486943979361e+01°)
