Frequency,Nominal,Min,Max
118,47047.8454243528,32683.95444587239,47047.8454243528
120,47049.50572186285,32684.434564969026,47049.50572186285
122,47051.1956125542,32684.92296284328,47051.1956125542
125,47053.78612462067,32685.671105526748,47053.78612462067
128,47056.44371273705,32686.437935707643,47056.44371273705
130,47058.25285301734,32686.959556179983,47058.25285301734
132,47060.0920327785,32687.489510086787,47060.0920327785
135,47062.90733252203,32688.300091300494,47062.90733252203
138,47065.7907570109,32689.129488139213,47065.7907570109
140,47067.75105078651,32689.69289243047,47067.75105078651
142,47069.741870143065,32690.264689402287,47069.741870143065
145,47072.785558391275,32691.13814832137,47072.785558391275
148,47075.898510707004,32692.0305613748,47075.898510707004
150,47078.01246962439,32692.636054974366,47078.01246962439
155,47083.43346329262,32694.186815682297,47083.43346329262
160,47089.05028356592,32695.790641073196,47089.05028356592
165,47094.864740855744,32697.4477491555,47094.864740855744
170,47100.87871272714,32699.158365364816,47100.87871272714
175,47107.09414484602,32700.922722612195,47107.09414484602
180,47113.51305196141,32702.74106133421,47113.51305196141
185,47120.13751892349,32704.61362954462,47120.13751892349
190,47126.96970173832,32706.54068288761,47126.96970173832
195,47134.011828659255,32708.522484692847,47134.011828659255
200,47141.26620131614,32710.559306032002,47141.26620131614
205,47148.73519588266,32712.651425777236,47148.73519588266
210,47156.421264282704,32714.799130661206,47156.421264282704
215,47164.32693543621,32717.002715338855,47164.32693543621
220,47172.45481654513,32719.262482450995,47172.45481654513
225,47180.80759442057,32721.578742689548,47180.80759442057
230,47189.38803685137,32723.951814864697,47189.38803685137
235,47198.198994015154,32726.382025973657,47198.198994015154
240,47207.2433999324,32728.869711271487,47207.2433999324
245,47216.52427396447,32731.415214343488,47216.52427396447
250,47226.044722356215,32734.01888717966,47226.044722356215
255,47235.80793982403,32736.681090250848,47235.80793982403
260,47245.81721119001,32739.4021925869,47245.81721119001
270,47266.587515569125,32745.022614450114,47266.587515569125
275,47277.35558412648,32747.922715561806,47277.35558412648
280,47288.38378127541,32750.88327927718,47288.38378127541
285,47299.67586855452,32753.9047186602,47299.67586855452
290,47311.23570842972,32756.987455843213,47311.23570842972
295,47323.067266274964,32760.13192211882,47323.067266274964
300,47335.17461240587,32763.338558033913,47335.17461240587
305,47347.56192416713,32766.607813485567,47347.56192416713
310,47360.233488074504,32769.94014781917,47360.233488074504
315,47373.19370201212,32773.33602992869,47373.19370201212
320,47386.44707748643,32776.79593835908,47386.44707748643
330,47413.85194110486,32783.90979724619,47413.85194110486
340,47442.48653269396,32791.28574988636,47442.48653269396
350,47472.39127797,32798.92798302191,47472.39127797
360,47503.608657115845,32806.840848399894,47503.608657115845
370,47536.18329125445,32815.028866589295,47536.18329125445
390,47605.59406094532,32832.249311759304,47605.59406094532
400,47642.530978804236,32841.29166049305,47642.530978804236
410,47681.02691816366,32850.62901427617,47681.02691816366
420,47721.13864596382,32860.26680049518,47721.13864596382
432,47771.48955576163,32872.23664518234,47771.48955576163
445,47828.88467394895,32885.71304862936,47828.88467394895
458,47889.384418771726,32899.7319581704,47889.384418771726
475,47973.44309274027,32918.9063454346,47973.44309274027
488,48041.714982711215,32934.23172457984,48041.714982711215
500,48107.97475247334,32948.90268457133,48107.97475247334
515,48195.40455870725,32967.969286634434,48195.40455870725
530,48288.23852239977,32987.868941496396,48288.23852239977
550,48420.99343096864,33015.74495438685,48420.99343096864
565,48527.750351467934,33037.69668914524,48527.750351467934
580,48641.091847639604,33060.57764455216,48641.091847639604
600,48803.16084205152,33092.586528316955,48803.16084205152
615,48933.48684743413,33117.76270488168,48933.48684743413
630,49071.84868824145,33143.980830946115,49071.84868824145
645,49218.738949843486,33171.27830840624,49218.738949843486
660,49374.67727465632,33199.694316820736,49374.67727465632
675,49540.210199389396,33229.26988730188,49540.210199389396
688,49691.87510709627,33255.87315880723,49691.87510709627
700,49838.986824664695,33281.256894741244,49838.986824664695
715,50032.97263181243,33314.14014167128,50032.97263181243
732,50267.13636636762,33353.014853795066,50267.13636636762
750,50532.66680578217,33396.116719557,50532.66680578217
765,50768.578436392905,33433.62495563596,50768.578436392905
780,51018.51041508122,33472.63854852471,51018.51041508122
800,51374.70778113039,33527.1003355297,51374.70778113039
820,51758.5269091364,33584.489790242515,51758.5269091364
840,52171.366309995916,33644.96222801567,52171.366309995916
