Frequency,Nominal,Min,Max
118,0.972163266059085,0.6289507926655589,0.972163266059085
120,0.9888170968865746,0.6396602992080318,0.9888170968865746
122,1.0054798147167054,0.6503722916618593,1.0054798147167054
125,1.0304908762059084,0.6664450318627176,1.0304908762059084
128,1.0555227601992105,0.6825235978953217,1.0555227601992105
130,1.0722224956643143,0.6932459473722453,1.0722224956643143
132,1.0889318525839449,0.7039709894227003,1.0889318525839449
135,1.114014248999304,0.7200636914506701,1.114014248999304
138,1.1391191183174947,0.7361626841447717,1.1391191183174947
140,1.1558684268872195,0.7468989095889622,1.1558684268872195
142,1.1726280894022332,0.757638034125986,1.1726280894022332
145,1.197787316681087,0.7737522470396517,1.197787316681087
148,1.2229706624709444,0.7898732151102387,1.2229706624709444
150,1.2397732021308296,0.8006243488006246,1.2397732021308296
155,1.2818283630846488,0.8275158595981079,1.2818283630846488
160,1.3239550751710154,0.8544274238687838,1.3239550751710154
165,1.3661556094598237,0.8813596857410084,1.3661556094598237
170,1.4084322321020675,0.9083132890150434,1.4084322321020675
175,1.4507872039467422,0.9352888771423674,1.4507872039467422
180,1.4932227801338922,0.9622870932039248,1.4932227801338922
185,1.5357412096628953,0.9893085798873231,1.5357412096628953
190,1.5783447349343966,1.0163539794629537,1.5783447349343966
195,1.621035591265056,1.0434239337589375,1.621035591265056
200,1.663816006373629,1.070519084134928,1.663816006373629
205,1.7066881998370476,1.0976400714546566,1.7066881998370476
210,1.7496543825152637,1.124787536057242,1.7496543825152637
215,1.7927167559432442,1.1519621177271522,1.7927167559432442
220,1.83587751168893,1.1791644556628538,1.83587751168893
225,1.8791388306752097,1.206395188444027,1.8791388306752097
230,1.922502882464703,1.2336549539973083,1.922502882464703
235,1.9659718245054978,1.2609443895606574,1.9659718245054978
240,2.0095478013361485,1.2882641316459522,2.0095478013361485
245,2.053232943748131,1.315614816000255,2.053232943748131
250,2.0970293679039465,1.3429970775651625,2.0970293679039465
255,2.1409391744089628,1.370411550434708,2.1409391744089628
260,2.18496444733477,1.3978588678112893,2.18496444733477
270,2.273369639852525,1.4528545641605166,2.273369639852525
275,2.3177536354115196,1.4804042046583865,2.3177536354115196
280,2.3622612469995175,1.5079892126125798,2.3622612469995175
285,2.4068944595295116,1.5356102160423184,2.4068944595295116
290,2.451655234383909,1.5632678417711783,2.451655234383909
295,2.4965455080365233,1.5909627153692827,2.4965455080365233
300,2.5415671906068997,1.6186954610930504,2.5415671906068997
305,2.586722164344373,1.646466701822812,2.586722164344373
310,2.6320122820387146,1.6742770589979132,2.6320122820387146
315,2.6774393653545023,1.7021271525494663,2.6774393653545023
320,2.7230052030856604,1.7300176008305321,2.7230052030856604
330,2.814560121561726,1.78592202666608,2.814560121561726
340,2.9066906187480104,1.8419952489493665,2.9066906187480104
350,2.999409623689004,1.8982421499581728,2.999409623689004
360,3.0927293412404806,1.9546675790800676,3.0927293412404806
370,3.186661173344477,2.011276349891969,3.186661173344477
390,3.3764022500890136,2.1250629728450217,3.3764022500890136
400,3.4722294690990365,2.1822502438078892,3.4722294690990365
410,3.5687045368779713,2.2396396866903046,3.5687045368779713
420,3.665833380825172,2.2972358844677783,3.665833380825172
432,3.783257168305595,2.3666306048316867,3.783257168305595
445,3.911541160727114,2.442160469851683,3.911541160727114
458,4.04094391422528,2.5180660245583626,4.04094391422528
475,4.211842230345349,2.6179095807919306,4.211842230345349
488,4.343797661368735,2.694717516827385,4.343797661368735
500,4.466559097225271,2.765977106247177,4.466559097225271
515,4.621265839971067,2.855547978496442,4.621265839971067
530,4.777310190815816,2.945682081530996,4.777310190815816
550,4.9873103659215055,3.0667575281774595,4.9873103659215055
565,5.14613052740324,3.1582509741506346,5.14613052740324
580,5.305935395012545,3.250344527986557,5.305935395012545
600,5.520253424748233,3.3740853294180693,5.520253424748233
615,5.6816635648738245,3.467613504892425,5.6816635648738245
630,5.843379130556193,3.5617687278969683,5.843379130556193
645,6.0051103490927975,3.65655660581744,6.0051103490927975
660,6.166518893426736,3.751981397530454,6.166518893426736
