Frequency,Nominal,Min,Max
118,1.6404327825909392e-7,1.5315609389152557e-7,1.6404327825909392e-7
120,1.6412782747162253e-7,1.5320175110461748e-7,1.6412782747162253e-7
122,1.6421377164283827e-7,1.5324816158860065e-7,1.6421377164283827e-7
125,1.643453007237152e-7,1.5331918817159516e-7,1.643453007237152e-7
128,1.6447996139917173e-7,1.5339190564956355e-7,1.6447996139917173e-7
130,1.6457147281727257e-7,1.5344132214647106e-7,1.6457147281727257e-7
132,1.646643728224509e-7,1.5349148832474717e-7,1.646643728224509e-7
135,1.6480632353905993e-7,1.5356814160046343e-7,1.6480632353905993e-7
138,1.6495139108504382e-7,1.5364647739093382e-7,1.6495139108504382e-7
140,1.650498320901314e-7,1.5369963468428515e-7,1.650498320901314e-7
142,1.6514965493588237e-7,1.53753537800369e-7,1.6514965493588237e-7
145,1.6530197710739346e-7,1.5383578913118174e-7,1.6530197710739346e-7
148,1.654574005308151e-7,1.539197139954006e-7,1.654574005308151e-7
150,1.6556273668556838e-7,1.5397659226005622e-7,1.6556273668556838e-7
155,1.6583208839952096e-7,1.5412203097867514e-7,1.6583208839952096e-7
160,1.661100093269046e-7,1.5427209178695801e-7,1.661100093269046e-7
165,1.6639647607109093e-7,1.5442676078034386e-7,1.6645505402198543e-7
170,1.6669146478433685e-7,1.5458602365323285e-7,1.66831986616412e-7
175,1.669949511911524e-7,1.547498657024998e-7,1.6722000127401703e-7
180,1.6730691061182288e-7,1.5491827183107761e-7,1.676190847394482e-7
185,1.6762731798604975e-7,1.5509122655160664e-7,1.6802922359764185e-7
190,1.6795614789666204e-7,1.552687139901475e-7,1.6845040428854314e-7
195,1.682933745933613e-7,1.5545071788995408e-7,1.688826131216678e-7
200,1.686389720164562e-7,1.5563722161530418e-7,1.693258362904646e-7
205,1.6899291382054484e-7,1.558282081553845e-7,1.697800598864435e-7
210,1.6935517339810362e-7,1.5602366012822684e-7,1.7024526991303132e-7
215,1.697257239029416e-7,1.562235597846929e-7,1.7072368647056443e-7
220,1.7010453827347718e-7,1.5642036686564123e-7,1.7122225015817557e-7
225,1.7049158925579774e-7,1.5661813122666615e-7,1.7173211942201495e-7
230,1.708868494264603e-7,1.5681999816473413e-7,1.7225328668404597e-7
235,1.7129029121499225e-7,1.5702594582130816e-7,1.727857444802223e-7
240,1.717018869260525e-7,1.572359519526126e-7,1.7332948547129857e-7
245,1.7212160876121138e-7,1.5744999393511736e-7,1.7388450245309896e-7
250,1.7254942884031074e-7,1.5766804877107285e-7,1.7445078836621007e-7
255,1.7298531922236367e-7,1.5789009309409267e-7,1.750283363050586e-7
260,1.7342925192595434e-7,1.5811610317477978e-7,1.756171395263379e-7
270,1.743411322885339e-7,1.585799239105589e-7,1.7682848570001443e-7
275,1.748090239583734e-7,1.5881768534300118e-7,1.7745101604313414e-7
280,1.7528484600813238e-7,1.5905931409932745e-7,1.780847764618423e-7
285,1.757685705400412e-7,1.5930478472082654e-7,1.787297611252301e-7
290,1.7626016972563597e-7,1.5955407142030142e-7,1.793859643994968e-7
295,1.7675961582157898e-7,1.5980714808792494e-7,1.8005338085079418e-7
300,1.7726688118467278e-7,1.600639882971176e-7,1.807320052471238e-7
305,1.7778193828603126e-7,1.6032456531044457e-7,1.8142183255925194e-7
310,1.7830475972436776e-7,1.605888520855301e-7,1.8212285796060377e-7
315,1.7883531823836642e-7,1.6085682128098553e-7,1.8283507682609905e-7
320,1.7937358671809615e-7,1.6112844526235068e-7,1.835584847298891e-7
330,1.8047314595344175e-7,1.6168254561531895e-7,1.8503885092355304e-7
340,1.8160322394855371e-7,1.6225092643360155e-7,1.8656392496057567e-7
350,1.8276361020007908e-7,1.6283335669863313e-7,1.881336781042612e-7
360,1.8395409735778996e-7,1.6342960127502822e-7,1.8974808417300328e-7
370,1.8517448132094508e-7,1.640394211013029e-7,1.9140711916240993e-7
390,1.877041394976687e-7,1.6529881176812074e-7,1.9485898783782397e-7
400,1.8901302142631073e-7,1.6594788656421667e-7,1.9665177964254278e-7
410,1.9035101515212122e-7,1.666095448976355e-7,1.984891151331177e-7
420,1.9171793116422898e-7,1.6728353091400363e-7,2.0037097200212504e-7
432,1.9339614372256472e-7,1.6810822230531353e-7,2.0268793359431018e-7
445,1.9526052791052563e-7,1.690207257640924e-7,2.0527022488417638e-7
458,1.9717268764803618e-7,1.6995251419210527e-7,2.0792758045896588e-7
475,1.997446077362868e-7,1.7119912761819557e-7,2.1151568159132922e-7
488,2.0176544039568195e-7,1.7217316925386673e-7,2.1434584604858552e-7
500,2.0367200462697242e-7,1.728602911230494e-7,2.1702454822950448e-7
515,2.0611024855297152e-7,1.7365847098463818e-7,2.2046208864881398e-7
530,2.0860896034896188e-7,1.7446877274148755e-7,2.2399830548506825e-7
550,2.1203325639696666e-7,1.7556690305023495e-7,2.288658135615506e-7
565,2.1466983988884337e-7,1.764029739199766e-7,2.3262994369357923e-7
580,2.1736391014441592e-7,1.7724905178768797e-7,2.3649035985229173e-7
600,2.210434396774067e-7,1.7839169416815896e-7,2.4178537140072826e-7
615,2.238669454960956e-7,1.7925883500747437e-7,2.458656197085205e-7
630,2.2674347975559333e-7,1.80134067734686e-7,2.500373359451611e-7
645,2.2967125412410577e-7,1.8101685840950912e-7,2.542983826086109e-7
660,2.326482069341458e-7,1.8190669169942272e-7,2.586462157713763e-7
675,2.3567196068545435e-7,1.8280307053732815e-7,2.6307782853245836e-7
688,2.3832829680539562e-7,1.8357643290912836e-7,2.6698361321845435e-7
700,2.408079265367532e-7,1.8428149154668996e-7,2.7064016966454173e-7
715,2.43941945776654e-7,1.8516725832292916e-7,2.7527629209462894e-7
732,2.475354184570504e-7,1.8617661897895947e-7,2.806121440130187e-7
750,2.513812851054626e-7,1.8725111418287503e-7,2.8634676181451416e-7
765,2.546119452065971e-7,1.8815060364441548e-7,2.911836039898274e-7
780,2.5785959052279504e-7,1.8905342467079898e-7,2.9606443644126e-7
800,2.622042482444222e-7,1.9026178790167304e-7,3.026243803535932e-7
820,2.6654825426596277e-7,1.9147470999067127e-7,3.0922050918292603e-7
840,2.7087014417895036e-7,1.9269145489775825e-7,3.1582347223181267e-7
860,2.7514534902344464e-7,1.939113085359473e-7,3.2239959307878813e-7
880,2.793460357384389e-7,1.9513356951567517e-7,3.289106333257765e-7
900,2.8344102853200215e-7,1.963575389719863e-7,3.353136589526467e-7
920,2.8739584017424393e-7,1.9758250946804163e-7,3.41561048188357e-7
940,2.9117284431067996e-7,1.9880775296980073e-7,3.4760068317152375e-7
960,2.947316196878207e-7,2.000325078894058e-7,3.5337636812102027e-7
980,2.9802949366103377e-7,2.0125596519920141e-7,3.588285128872568e-7
1000,3.010223045539907e-7,2.0247725362485884e-7,3.638951112596348e-7
1020,3.0366538967970134e-7,2.0369542393520995e-7,3.685130272536924e-7
1040,3.05914788011231e-7,2.049094323586437e-7,3.7261957950708773e-7
1060,3.077286243790751e-7,2.0611812317184251e-7,3.761543847319901e-7
1080,3.0906861754550236e-7,2.0732021052680624e-7,3.790613882222538e-7
1100,3.099016305682167e-7,2.085142596071734e-7,3.8129097656142904e-7
1120,3.1020116238385177e-7,2.0969866723538033e-7,3.8280204002310627e-7
1150,3.0961205587377036e-7,2.1145322607533903e-7,3.8365736617023463e-7
1180,3.0775906875290144e-7,2.131750676752725e-7,3.827770698240009e-7
1200,3.0583205686710294e-7,2.1430081589163047e-7,3.812299484224555e-7
1220,3.033731696121955e-7,2.1540568795839006e-7,3.789367012003084e-7
1250,2.9875210671661477e-7,2.1701715359707727e-7,3.7417294905202135e-7
1280,2.9312789479157713e-7,2.185632801429039e-7,3.679628212474643e-7
1300,2.888972135360078e-7,2.1955132955764785e-7,3.631152607557816e-7
1320,2.8434002916993923e-7,2.2050025641381577e-7,3.577770795429339e-7
1350,2.770055104733129e-7,2.2184007910459454e-7,3.489985499293938e-7
1380,2.692260840718684e-7,2.2306438655207147e-7,3.3949860690915933e-7
1400,2.6387377632973376e-7,2.2367760940364014e-7,3.328737919780021e-7
1420,2.5844090282128655e-7,2.242058556558251e-7,3.26087046559218e-7
1450,2.50227809731198e-7,2.2458118872891316e-7,3.2005171661394233e-7
1480,2.4204174436472184e-7,2.2451531290862274e-7,3.212072405316963e-7
1500,2.366478089918846e-7,2.2431012763062118e-7,3.216569455211155e-7
1550,2.2354746327345214e-7,2.2319788668615547e-7,3.215718060928417e-7
1600,2.111887194073363e-7,2.111887194073363e-7,3.1964545730483505e-7
1650,1.9971268789694228e-7,1.9971268789694228e-7,3.158882484714031e-7
1700,1.891730703575831e-7,1.891730703575831e-7,3.1060503712122523e-7
1750,1.7956518683364106e-7,1.7956518683364106e-7,3.0353230725520867e-7
1800,1.7084836671320378e-7,1.7084836671320378e-7,2.948908315328436e-7
1850,1.6296193645420014e-7,1.6296193645420014e-7,2.8497799273171944e-7
1900,1.5583599197033216e-7,1.5583599197033216e-7,2.741820302856407e-7
1950,1.4939829590331269e-7,1.4939829590331269e-7,2.6309401593845995e-7
2000,1.4357845894296574e-7,1.4357845894296574e-7,2.5169043165383e-7
2050,1.3831029573365982e-7,1.3831029573365982e-7,2.402537205534956e-7
2100,1.335329953814051e-7,1.335329953814051e-7,2.290130866792398e-7
2150,1.29191547430777e-7,1.29191547430777e-7,2.1814205452795715e-7
2200,1.2523671810660667e-7,1.2523671810660667e-7,2.0776226500920093e-7
2250,1.2162476939110827e-7,1.2162476939110827e-7,1.979507720790937e-7
2300,1.1831704408385336e-7,1.1831704408385336e-7,1.8950614310328078e-7
2350,1.1527949380723731e-7,1.1527949380723731e-7,1.8151575834745383e-7
2400,1.1248219667036333e-7,1.1248219667036333e-7,1.7395394607172684e-7
2450,1.0989889175716096e-7,1.0989889175716096e-7,1.6684136465586772e-7
2500,1.0750654514681479e-7,1.0750654514681479e-7,1.6018321328633772e-7
2550,1.0528495436618648e-7,1.0528495436618648e-7,1.539731689906034e-7
2600,1.0321639338986625e-7,1.0321639338986625e-7,1.481967211509531e-7
2700,9.947798550184103e-8,9.947798550184103e-8,1.378612620004512e-7
2750,9.778241680359539e-8,9.778241680359539e-8,1.3325374689164402e-7
2800,9.618797894030249e-8,9.618797894030249e-8,1.2898559736263694e-7
2850,9.468530313127522e-8,9.468530313127522e-8,1.2503132297344918e-7
2900,9.326610399546709e-8,9.326610399546709e-8,1.2136624579629185e-7
2950,9.192304060353254e-8,9.190223618022221e-8,1.179668706746166e-7
3000,9.0649596098584e-8,9.041786039157291e-8,1.1481110604876981e-7
3050,8.94399734407058e-8,8.90134265787619e-8,1.118783760582537e-7
3100,8.828900511586829e-8,8.768251301635884e-8,1.0914965537848892e-7
3150,8.719207491689871e-8,8.641936396730326e-8,1.0660745067253934e-7
3200,8.614505014771794e-8,8.521880927965612e-8,1.0423574650219665e-7
3300,8.418625860822321e-8,8.298732064080378e-8,9.994669564664058e-8
3400,8.238719014577253e-8,8.095596377685463e-8,9.618076036345413e-8
3500,8.072709576240367e-8,7.909840428091884e-8,9.285412561542178e-8
3600,7.91889009038376e-8,7.739284209954897e-8,8.989795093518112e-8
3700,7.775843022119078e-8,7.582108181923721e-8,8.725572025867144e-8
3900,7.517502568858537e-8,7.30200710832211e-8,8.273541381682448e-8
4000,7.400353405903945e-8,7.176676992301391e-8,8.078736633645111e-8
4100,7.290201718634771e-8,7.059839341374602e-8,7.90105178848623e-8
4200,7.186414784700382e-8,6.950670807645533e-8,7.738290964289842e-8
4320,7.069501581363333e-8,6.828789636451751e-8,7.560105603442295e-8
4450,6.951344988847819e-8,6.706817725227841e-8,7.385293981788276e-8
4580,6.841157185486985e-8,6.594186867572156e-8,7.226776850177953e-8
4750,6.707823917151314e-8,6.459363505515443e-8,7.040412726587689e-8
4880,6.61326143382861e-8,6.364732099016436e-8,6.911634431771171e-8
5000,6.53112481175333e-8,6.283208845571829e-8,6.801929427445502e-8
5150,6.434807167218299e-8,6.188414883460075e-8,6.67569466228213e-8
5300,6.344931226623243e-8,6.100749733909659e-8,6.560122784816352e-8
