Frequency,Nominal,Min,Max
118,-0.00818615085635617,-0.00818615085635617,-0.008260069986830008
120,-0.008044892705679919,-0.008044892705679919,-0.008118815958055001
122,-0.007908265206169222,-0.007908265206169222,-0.007982192660245906
125,-0.007711520180646817,-0.007711520180646817,-0.0077854540880637774
128,-0.007523995868100227,-0.007523995868100227,-0.007597936411430869
130,-0.0074037870187392,-0.0074037870187392,-0.0074777320883653645
132,-0.007287220093302024,-0.007287220093302024,-0.007361169771765849
135,-0.007118844209486987,-0.007118844209486987,-0.007192800957235741
138,-0.006957787294109115,-0.006957787294109115,-0.0070317513001419436
140,-0.006854249742512953,-0.006854249742512953,-0.006928218693401067
142,-0.006753627968115355,-0.006753627968115355,-0.006827601949371371
145,-0.006607898435047036,-0.006607898435047036,-0.006681880123553607
148,-0.006468075121431495,-0.006468075121431495,-0.0065420647131303935
150,-0.006377965793937375,-0.006377965793937375,-0.00645196076436443
155,-0.006162862743078172,-0.006162862743078172,-0.006236871549912986
160,-0.005961198839444412,-0.005961198839444412,-0.006035222047723605
165,-0.005771752177119889,-0.005771752177119889,-0.005845790362795324
170,-0.005593444602378693,-0.005593444602378693,-0.005667498352685246
175,-0.005425321177609482,-0.005425321177609482,-0.0054993910914347246
180,-0.00526653306791864,-0.00526653306791864,-0.005340619756174478
185,-0.005116323202878484,-0.005116323202878484,-0.005190427288874791
190,-0.004974014202209559,-0.004974014202209559,-0.005048136322029864
195,-0.0048389981590498945,-0.0048389981590498945,-0.004913138961929145
200,-0.004710727955733478,-0.004710727955733478,-0.004784888104437931
205,-0.004588709850430038,-0.004588709850430038,-0.0046628900216393095
210,-0.004472497122835894,-0.004472497122835894,-0.0045466980075272185
215,-0.004361684606512236,-0.004361684606512236,-0.00443590691034694
220,-0.004255903966813242,-0.004255903966813242,-0.004330148410525496
225,-0.004154819608423434,-0.004154819608423434,-0.0042290869282112925
230,-0.004058125116694115,-0.004058125116694115,-0.0041324160646128835
235,-0.003965540153276952,-0.003965540153276952,-0.004039855497634899
240,-0.003876807739802977,-0.003876807739802977,-0.003951148265559415
245,-0.0037916918741719833,-0.0037916918741719833,-0.003866058383337754
250,-0.003709975432886849,-0.003709975432886849,-0.0037843687449272065
255,-0.003631458320171708,-0.003631458320171708,-0.0037058792724116354
260,-0.003555955830653079,-0.003555955830653079,-0.003630405278685046
270,-0.0034133243012780755,-0.0034133243012780755,-0.0034878333827949555
275,-0.0033458905211368874,-0.0033458905211368874,-0.003420430778942463
280,-0.0032808597071442304,-0.0032808597071442304,-0.0033554320740275378
285,-0.003218105262224815,-0.003218105262224815,-0.003292710691317977
290,-0.003157509318508616,-0.003157509318508616,-0.0032321487837093307
295,-0.0030989619975321935,-0.0030989619975321935,-0.003173636493928652
300,-0.0030423607444195967,-0.0030423607444195967,-0.0031170712887178265
305,-0.0029876097275534047,-0.0029876097275534047,-0.003062357358507017
310,-0.002934619296341862,-0.002934619296341862,-0.0030094050751841715
315,-0.002883305490626982,-0.002883305490626982,-0.002958130501505481
320,-0.0028335895960854137,-0.0028335895960854137,-0.0029084549464985536
330,-0.0027386605277322862,-0.0027386605277322862,-0.0028136099753114365
340,-0.0026492928450917073,-0.0026492928450917073,-0.0027243311110607183
350,-0.0025650089035790568,-0.0025650089035790568,-0.002640140911919434
360,-0.002485384103437409,-0.002485384103437409,-0.0025606149880820156
370,-0.0024100397205355905,-0.0024100397205355905,-0.002485374832622179
390,-0.0022708713934748853,-0.0022708713934748853,-0.002346431919262988
400,-0.002206469525571579,-0.002206469525571579,-0.0022821517087471
410,-0.0021451841785201566,-0.0021451841785201566,-0.00222099431254563
420,-0.002086791769283536,-0.002086791769283536,-0.0021627364017489255
