Frequency,Nominal,Min,Max
118,347.7476883780101,347.7476883780101,350.8877730405388
120,347.5393648853725,347.5393648853725,350.73284938797605
122,347.3310078549522,347.3310078549522,350.5779016380002
125,347.0184081291068,347.0184081291068,350.34543396286995
128,346.70572960205845,346.70572960205845,350.1129098387344
130,346.4972324769945,346.4972324769945,349.957861735499
132,346.28869883371215,346.28869883371215,349.80278755431317
135,345.97582858106756,345.97582858106756,349.570126521657
138,345.6628727713408,345.6628727713408,349.3374045910518
140,345.45418702265283,345.45418702265283,349.18222214741377
142,345.245461730057,345.245461730057,349.02701165186454
145,344.93229830945523,344.93229830945523,348.7941424494982
148,344.61904246987007,344.61904246987007,348.5612079155874
150,344.41015287261826,344.41015287261826,348.40588127567923
155,343.88774106376195,343.88774106376195,348.01743248514464
160,343.3650531519981,343.3650531519981,347.62878994887967
165,342.84207932092136,342.84207932092136,347.23994755004225
170,342.31880966557605,342.31880966557605,346.85089918433704
175,341.7952341893973,341.7952341893973,346.4616387603876
180,341.27134280112784,341.27134280112784,346.07216020010617
185,340.747125311707,340.747125311707,345.68245743906107
190,340.2225714311338,340.2225714311338,345.2925244268427
195,339.6976707653026,339.6976707653026,344.90235512742595
200,339.1724128128104,339.1724128128104,344.51194351953103
205,338.6467869617368,338.6467869617368,344.121283596981
210,338.1207824863936,338.1207824863936,343.7303693690577
215,337.59438854404704,337.59438854404704,343.3391948608531
220,337.06759417160885,337.06759417160885,342.94775411361934
225,336.5403882822981,336.5403882822981,342.5560411851147
230,336.01275966227274,336.01275966227274,342.1640501499468
235,335.48469696723015,335.48469696723015,341.7717750999125
240,334.95618871897716,334.95618871897716,341.3792101443335
245,334.4272233019689,334.4272233019689,340.9863494103899
250,333.8977889598164,333.8977889598164,340.59318704344855
255,333.3678737917628,333.3678737917628,340.1997172073881
260,332.8374657491281,332.8374657491281,339.8059340849203
270,331.77512208422894,331.77512208422894,339.01740480766966
275,331.24316159255187,331.24316159255187,338.62264711530383
280,330.7106584801384,330.7106584801384,338.22755306197575
285,330.177599904266,330.177599904266,337.83211692922447
290,329.6439728522995,329.6439728522995,337.4363330192541
295,329.10976413791894,329.10976413791894,337.0401956552229
300,328.57496039731643,328.57496039731643,336.6436991815253
305,328.03954808536383,328.03954808536383,336.2468379640705
310,327.5035134717518,327.5035134717518,335.84960639055356
315,326.9668426370998,326.9668426370998,335.4519988707216
320,326.4295214690397,326.4295214690397,335.0540098366334
330,325.35287069459554,325.35287069459554,334.2568650669986
340,324.27344423922494,324.27344423922494,333.4581279938319
350,323.19112185096117,323.19112185096117,332.65775490184865
360,322.1057798054882,322.1057798054882,331.85570245542925
370,321.0172907753406,321.0172907753406,331.0519277052742
390,318.83034364387385,318.83034364387385,329.43904146452354
400,317.73161168230735,317.73161168230735,328.62984605958246
410,316.6291847495751,316.6291847495751,327.81876053173494
420,315.52291551567066,315.52291551567066,327.0057439444376
432,314.1901066469424,314.1901066469424,326.027518015723
445,312.73942547136465,312.73942547136465,324.96448919323154
458,311.2813189064249,311.2813189064249,323.89796032484116
475,309.3627410912816,309.3627410912816,322.49784522926956
488,307.88605911659084,307.88605911659084,321.42291437426013
500,306.51524864983264,306.51524864983264,320.42731837883895
515,304.7907984086874,304.7907984086874,319.17819757412894
530,303.053570237227,303.053570237227,317.9238215735069
550,300.7161805722757,300.7161805722757,316.24293539347553
565,298.9463776335124,298.9463776335124,314.9758273220356
580,297.16136232483973,297.16136232483973,313.7030659101472
600,294.75630408227573,294.75630408227573,311.9970574362687
615,292.93266152063734,292.93266152063734,310.71065916442205
630,291.09105475673744,291.09105475673744,309.4182294871716
645,289.230599324633,289.230599324633,308.1196583598709
660,287.35038600667485,287.35038600667485,306.81483707357614
675,285.449483020341,285.449483020341,305.50365811028394
688,283.7845630902311,283.7845630902311,304.3620780254702
700,282.23274247151085,282.23274247151085,303.30394284750844
715,280.2719730356155,280.2719730356155,301.975291756508
732,278.02040437514836,278.02040437514836,300.4613283687176
750,275.6008502633465,275.6008502633465,298.8486975835368
765,273.55543240016084,273.55543240016084,297.49716010199563
780,271.48251072956594,271.48251072956594,296.13853101846405
800,268.6742162019431,268.6742162019431,294.31581335298296
820,265.8132506133255,265.8132506133255,292.4800527429552
840,262.89767556234324,262.89767556234324,290.63099664277735
860,259.92579193528,259.92579193528,288.76838862435045
880,256.89621337264805,256.89621337264805,286.89196739188816
900,253.80794791738737,253.80794791738737,285.0014658288719
920,250.660486561541,250.660486561541,283.09661009982875
940,247.45389655098342,247.45389655098342,281.1771188324127
960,244.18891631462512,244.18891631462512,279.2427024081704
980,240.86704781341194,240.86704781341194,277.2930623933292
1000,237.49064105220995,237.49064105220995,275.32789114394393
1020,234.06296460167354,233.95553551103887,273.3468716227194
1040,230.58825540849736,230.28640099302555,271.3496774677512
1060,227.07174111732522,226.57259567449051,269.3359733562166
1080,223.51962875634374,222.82076850632285,267.3054157086324
1100,219.93905506422215,219.03849142468582,265.2576537815568
1120,216.33799597013575,215.2341670208546,263.1923311984392
1150,210.91714691468403,209.50639922233682,260.06063324632726
