Freq.	V(out)
1.20000000000000e+02	(5.64067832072274e-03dB,-9.90806100711189e+00°)
1.22795159073690e+02	(6.41155996652016e-03dB,-1.01397049776478e+01°)
1.25655425766108e+02	(7.21813433067422e-03dB,-1.03768056433344e+01°)
1.28582316628513e+02	(8.06202223985547e-03dB,-1.06194944491024e+01°)
1.31577383537182e+02	(8.94491502405486e-03dB,-1.08679062095647e+01°)
1.34642214516236e+02	(9.86857727648497e-03dB,-1.11221792092125e+01°)
1.37778434579626e+02	(1.08348496898531e-02dB,-1.13824553064600e+01°)
1.40987706592744e+02	(1.18456519677432e-02dB,-1.16488800417295e+01°)
1.44271732154090e+02	(1.29029858089516e-02dB,-1.19216027497838e+01°)
1.47632252497486e+02	(1.40089379622494e-02dB,-1.22007766765198e+01°)
1.51071049415300e+02	(1.51656833482904e-02dB,-1.24865591004557e+01°)
1.54589946203176e+02	(1.63754882445034e-02dB,-1.27791114591524e+01°)
1.58190808626769e+02	(1.76407135281615e-02dB,-1.30785994808281e+01°)
1.61875545910998e+02	(1.89638179716487e-02dB,-1.33851933214380e+01°)
1.65646111752346e+02	(2.03473615830402e-02dB,-1.36990677075091e+01°)
1.69504505354730e+02	(2.17940089837687e-02dB,-1.40204020850334e+01°)
1.73452772489511e+02	(2.33065328139535e-02dB,-1.43493807747466e+01°)
1.77493006580185e+02	(2.48878171544016e-02dB,-1.46861931341334e+01°)
1.81627349812345e+02	(2.65408609527157e-02dB,-1.50310337265229e+01°)
1.85857994269498e+02	(2.82687814391188e-02dB,-1.53841024976597e+01°)
1.90187183095333e+02	(3.00748175155390e-02dB,-1.57456049601571e+01°)
1.94617211683071e+02	(3.19623330994511e-02dB,-1.61157523862641e+01°)
1.99150428892507e+02	(3.39348204013021e-02dB,-1.64947620094021e+01°)
2.03789238295409e+02	(3.59959031120036e-02dB,-1.68828572349556e+01°)
2.08536099449925e+02	(3.81493394734968e-02dB,-1.72802678608256e+01°)
2.13393529204671e+02	(4.03990252027826e-02dB,-1.76872303082885e+01°)
2.18364103033198e+02	(4.27489962357549e-02dB,-1.81039878637311e+01°)
2.23450456399544e+02	(4.52034312534464e-02dB,-1.85307909318658e+01°)
2.28655286155589e+02	(4.77666539489868e-02dB,-1.89678973010659e+01°)
2.33981351970965e+02	(5.04431349889912e-02dB,-1.94155724214948e+01°)
2.39431477796265e+02	(5.32374936176457e-02dB,-1.98740896967427e+01°)
2.45008553360343e+02	(5.61544988465973e-02dB,-2.03437307897240e+01°)
2.50715535702484e+02	(5.91990701672293e-02dB,-2.08247859436295e+01°)
2.56555450740268e+02	(6.23762777154633e-02dB,-2.13175543187717e+01°)
2.62531394873946e+02	(6.56913418119407e-02dB,-2.18223443462091e+01°)
2.68646536628200e+02	(6.91496317924179e-02dB,-2.23394740990802e+01°)
2.74904118332132e+02	(7.27566640347772e-02dB,-2.28692716826312e+01°)
2.81307457838390e+02	(7.65180990796698e-02dB,-2.34120756439722e+01°)
2.87859950282339e+02	(8.04397377317224e-02dB,-2.39682354026530e+01°)
2.94565069882203e+02	(8.45275160173006e-02dB,-2.45381117032055e+01°)
3.01426371781149e+02	(8.87874988631535e-02dB,-2.51220770908610e+01°)
3.08447493932263e+02	(9.32258723471601e-02dB,-2.57205164117139e+01°)
3.15632159027445e+02	(9.78489343592674e-02dB,-2.63338273386675e+01°)
3.22984176471229e+02	(1.02663083495217e-01dB,-2.69624209245676e+01°)
3.30507444400580e+02	(1.07674805990278e-01dB,-2.76067221840034e+01°)
3.38205951751734e+02	(1.12890660482942e-01dB,-2.82671707053273e+01°)
3.46083780375192e+02	(1.18317260380095e-01dB,-2.89442212945303e+01°)
3.54145107199966e+02	(1.23961253575830e-01dB,-2.96383446526916e+01°)
3.62394206448241e+02	(1.29829299254941e-01dB,-3.03500280888118e+01°)
3.70835451901630e+02	(1.35928041489645e-01dB,-3.10797762699375e+01°)
3.79473319220205e+02	(1.42264079314463e-01dB,-3.18281120105869e+01°)
3.88312388315553e+02	(1.48843932938378e-01dB,-3.25955771036002e+01°)
3.97357345779109e+02	(1.55674005726469e-01dB,-3.33827331946607e+01°)
4.06612987367042e+02	(1.62760541554144e-01dB,-3.41901627028688e+01°)
4.16084220543037e+02	(1.70109577106269e-01dB,-3.50184697899012e+01°)
4.25776067080290e+02	(1.77726888660610e-01dB,-3.58682813804559e+01°)
4.35693665724121e+02	(1.85617932859763e-01dB,-3.67402482368765e+01°)
4.45842274916606e+02	(1.93787780938073e-01dB,-3.76350460910655e+01°)
4.56227275584673e+02	(2.02241045829314e-01dB,-3.85533768370503e+01°)
4.66854173993136e+02	(2.10981801537028e-01dB,-3.94959697878539e+01°)
4.77728604664196e+02	(2.20013494101375e-01dB,-4.04635830006689e+01°)
4.88856333364934e+02	(2.29338843443576e-01dB,-4.14570046747287e+01°)
5.00243260164401e+02	(2.38959735310391e-01dB,-4.24770546267467e+01°)
5.11895422561910e+02	(2.48877102474805e-01dB,-4.35245858493550e+01°)
5.23818998688198e+02	(2.59090794273827e-01dB,-4.46004861586391e+01°)
5.36020310581155e+02	(2.69599433476907e-01dB,-4.57056799376602e+01°)
5.48505827537849e+02	(2.80400259375866e-01dB,-4.68411299837963e+01°)
5.61282169544637e+02	(2.91488955865039e-01dB,-4.80078394688619e+01°)
5.74356110787165e+02	(3.02859463132869e-01dB,-4.92068540222932e+01°)
5.87734583242134e+02	(3.14503771405948e-01dB,-5.04392639492718e+01°)
6.01424680352725e+02	(3.26411694964337e-01dB,-5.17062065975256e+01°)
6.15433660789636e+02	(3.38570624370607e-01dB,-5.30088688887469e+01°)
6.29768952299726e+02	(3.50965254509195e-01dB,-5.43484900331449e+01°)
6.44438155644302e+02	(3.63577285597715e-01dB,-5.57263644486504e+01°)
