Freq.	V(out)
2.30000000000000e-01	(-1.93194648930917e-02dB,-1.63456265189901e+01°)
2.35357388224573e-01	(-2.02238354352016e-02dB,-1.67271312791934e+01°)
2.40839566051707e-01	(-2.11707463247907e-02dB,-1.71175781985707e+01°)
2.46449440204649e-01	(-2.21621963903376e-02dB,-1.75171796748335e+01°)
2.52189985112933e-01	(-2.32002783550242e-02dB,-1.79261533615313e+01°)
2.58064244489452e-01	(-2.42871832743234e-02dB,-1.83447223143402e+01°)
2.64075332944283e-01	(-2.54252051906237e-02dB,-1.87731151426881e+01°)
2.70226437636092e-01	(-2.66167460166103e-02dB,-1.92115661670068e+01°)
2.76520819962005e-01	(-2.78643206604732e-02dB,-1.96603155819219e+01°)
2.82961817286848e-01	(-2.91705624067805e-02dB,-2.01196096257176e+01°)
2.89552844712658e-01	(-3.05382285680319e-02dB,-2.05897007564371e+01°)
2.96297396889421e-01	(-3.19702064230536e-02dB,-2.10708478350099e+01°)
3.03199049867974e-01	(-3.34695194601653e-02dB,-2.15633163158287e+01°)
3.10261462996080e-01	(-3.50393339439517e-02dB,-2.20673784452318e+01°)
3.17488380858663e-01	(-3.66829658271055e-02dB,-2.25833134683854e+01°)
3.24883635263233e-01	(-3.84038880299785e-02dB,-2.31114078451013e+01°)
3.32451147271563e-01	(-4.02057381134682e-02dB,-2.36519554751720e+01°)
3.40194929278688e-01	(-4.20923263729228e-02dB,-2.42052579338522e+01°)
3.48119087140328e-01	(-4.40676443841967e-02dB,-2.47716247181751e+01°)
3.56227822349870e-01	(-4.61358740358964e-02dB,-2.53513735048462e+01°)
3.64525434266056e-01	(-4.83013970861174e-02dB,-2.59448304205296e+01°)
3.73016322392554e-01	(-5.05688052863026e-02dB,-2.65523303254099e+01°)
3.81704988710639e-01	(-5.29429111197490e-02dB,-2.71742171109963e+01°)
3.90596040066201e-01	(-5.54287592086214e-02dB,-2.78108440132216e+01°)
3.99694190612356e-01	(-5.80316384496167e-02dB,-2.84625739419879e+01°)
4.09004264308952e-01	(-6.07570949466176e-02dB,-2.91297798284170e+01°)
4.18531197480296e-01	(-6.36109458175440e-02dB,-2.98128449911827e+01°)
4.28280041432459e-01	(-6.65992939630708e-02dB,-3.05121635234309e+01°)
4.38255965131546e-01	(-6.97285438971970e-02dB,-3.12281407019398e+01°)
4.48464257944350e-01	(-7.30054187533321e-02dB,-3.19611934203280e+01°)
4.58910332442842e-01	(-7.64369785964230e-02dB,-3.27117506482945e+01°)
4.69599727273991e-01	(-8.00306401900645e-02dB,-3.34802539190665e+01°)
4.80538110096429e-01	(-8.37941983900914e-02dB,-3.42671578474419e+01°)
4.91731280585513e-01	(-8.77358493614375e-02dB,-3.50729306810477e+01°)
5.03185173508397e-01	(-9.18642158451327e-02dB,-3.58980548876887e+01°)
5.14905861870718e-01	(-9.61883747372024e-02dB,-3.67430277819459e+01°)
5.26899560136587e-01	(-1.00717887281551e-01dB,-3.76083621944883e+01°)
5.39172627523581e-01	(-1.05462832226711e-01dB,-3.84945871879042e+01°)
5.51731571374482e-01	(-1.10433842351058e-01dB,-3.94022488232212e+01°)
5.64583050607556e-01	(-1.15642144826124e-01dB,-4.03319109816945e+01°)
5.77733879247203e-01	(-1.21099605962384e-01dB,-4.12841562468749e+01°)
5.91191030036838e-01	(-1.26818780970352e-01dB,-4.22595868524468e+01°)
6.04961638135937e-01	(-1.32812969472027e-01dB,-4.32588257018396e+01°)
6.19053004903190e-01	(-1.39096277617890e-01dB,-4.42825174661677e+01°)
6.33472601767777e-01	(-1.45683687804769e-01dB,-4.53313297676452e+01°)
6.48228074190824e-01	(-1.52591137153211e-01dB,-4.64059544562487e+01°)
