Frequency,Nominal,Min,Max
0.225,330566.0999208055,327190.154768908,333937.540805232
0.23,330592.1921871154,327212.4760191381,333966.6776207254
0.235,330618.9168848753,327235.3142134016,333996.4984710591
0.24,330646.27798950754,327258.67109661526,334027.00625698036
0.245,330674.2795760627,327282.5484539496,334058.20394733327
0.25,330702.9258201587,327306.9481110029,334090.0945794229
0.255,330732.22099894035,327331.8719339816,334122.68125939136
0.26,330762.16949206777,327357.3218298807,334155.96716259955
0.27,330824.04445864906,327409.807673491,334224.6496886191
0.275,330855.98021320126,327436.84764083516,334260.0530117949
0.28,330888.58784643677,327464.42172075674,334296.1689597588
0.285,330921.8722662209,327492.53202706657,334333.00105997274
0.29,330955.8384893606,327521.1807155384,334370.55291157507
0.295,330990.49164276465,327550.3699841173,334408.8281858179
0.3,331025.83696462907,327580.1020731323,334447.8306265128
0.305,331061.87980564835,327610.379265513,334487.56405048195
0.31,331098.62563025404,327641.2038870086,334528.0323480197
0.315,331136.0800178792,327672.57830641285,334569.23948336067
0.32,331174.24866425124,327704.50493579014,334611.1894951561
0.33,331252.7521055578,327770.0246904708,334697.3346777073
0.34,331334.1838966998,327837.78332187457,334786.50171178806
0.35,331418.5939282541,327907.80170835333,334878.7256359436
0.36,331506.03408514004,327980.1014437239,334974.04272774054
0.37,331596.5582947873,328054.7048454432,335072.49052084394
0.39,331787.08509707364,328210.91558667016,335278.9347319669
0.4,331887.2062176791,328292.57125618705,335387.0126582381
0.41,331990.6485571016,328376.6272700735,335498.3843398044
0.42,332097.4770463329,328463.10969488404,335613.093863693
0.432,332230.23588625086,328570.1293190158,335755.2153431415
0.445,332379.8103687548,328690.1094099873,335914.7724583315
0.458,332535.5240509154,328814.35485710896,336080.2498819897
0.475,332748.69358364027,328983.3746698414,336305.7620270275
0.488,332919.2291018176,329117.71678779396,336485.33321160707
0.5,333082.61114197946,329245.7091258844,336656.6840064888
0.515,333295.13014712516,329411.1684230589,336878.5769038557
0.53,333517.1540728869,329582.8132325833,337109.2168921966
0.55,333828.5410778194,329821.50478746335,337430.70360745594
0.565,334074.04835478624,330008.0612182163,337682.57547368517
0.58,334330.2203895487,330201.2247588333,337943.91924952494
0.6,334689.0431846817,330469.2909731571,338307.5209250592
0.615,334971.6350905949,330678.411507629,338591.8991256775
0.63,335266.2549967611,330894.6143590243,338886.5709519918
0.645,335573.3558999969,331118.053083408,339191.8028445683
0.66,335893.4126269951,331348.8864885464,339507.87076666584
0.675,336226.9227272116,331587.27873469173,339835.0603824327
0.688,336527.249318018,331800.1305688675,340127.8491053905
0.7,336814.0959546184,332001.859759478,340405.8985191808
0.715,337186.0969514685,332261.2532672241,340764.2181773584
0.732,337626.4531453079,332565.16551991896,341185.14630377066
0.75,338115.3960416934,332898.7555356611,341648.5323232386
0.765,338541.4655648271,333186.26057184086,342049.0150727342
0.78,338985.1870131095,333482.63182319753,342462.90422050824
0.8,339605.5123575615,333891.9501541524,343036.24960047734
0.82,340260.2707339124,334317.92187968286,343634.98916038376
0.84,340951.3446593396,334761.08319393714,344260.061160853
0.86,341680.7235378135,335221.9905356095,344912.4381481607
0.88,342450.50691545993,335701.22083770816,345593.1266678386
0.9,343262.9071980065,336199.3717251863,346303.166727832
0.92,344120.2516491395,336717.06165064394,347043.63096995663
0.94,345024.98345181346,337254.9299571428,347815.62350355275
0.96,345979.6615718844,337813.6368559019,348620.27834999113
0.98,346986.9591142615,338393.86330524716,349458.757441072
1,348049.65980554407,338996.31077567814,350332.2481083823
1.02,349170.6521733758,339621.70088427694,351241.9599943908
1.04,350352.9209212746,340270.774879919,352189.1213095115
1.06,351599.53491852334,340944.2929588484,353174.97435264935
1.08,352913.63113839395,341643.0333881576,354200.7702059657
1.1,354298.3937856335,342367.79141256167,355267.76250793313
1.12,355757.0277579307,343119.37791758863,356377.2002023744
1.15,358090.45762163517,344298.8689539469,358123.6393939848
1.18,360607.76593870285,345543.41581537324,360607.76593870285
1.2,362393.01869690843,346410.67493936414,362393.01869690843
1.22,364267.0249339113,347308.98385051446,364267.0249339113
1.25,367249.421060238,348716.5438836846,367249.421060238
1.28,370442.62937295926,350198.7783839506,370442.62937295926
1.3,372690.18990355666,351229.8201863571,372690.18990355666
1.32,375032.8082749874,352296.1252605493,375032.8082749874
1.35,378722.4773896574,353963.4226775916,378722.4773896574
1.38,382615.2303021326,355714.3574359564,382615.2303021326
1.4,385315.99137136084,356929.25746066077,385315.99137136084
1.42,388093.80913861754,358182.9651469421,388093.80913861754
1.45,392386.04517246736,360137.4489770999,392386.04517246736
1.48,396795.14131510386,362181.90788302646,396795.14131510386
1.5,399776.1077524522,363595.3610449101,399776.1077524522
1.55,407244.77348348475,367306.3866657764,407244.77348348475
1.6,414464.68618667754,371268.50032524834,414464.68618667754
1.65,421041.80881787615,375472.5923660298,421041.80881787615
1.7,426559.9448350223,379900.64466841705,426559.9448350223
1.75,430646.2149637613,384523.8619087736,430646.2149637613
1.8,433041.0759627009,389300.9416112545,433041.0759627009
1.85,433649.0577324526,394176.7421736596,433649.0577324526
1.9,432551.0508635918,399081.67638459237,432551.0508635918
1.95,429974.9865060173,403932.19516955287,432240.9335940622
2,426239.05153499264,408632.70229808806,435008.4720293586
2.05,421689.38256821723,413079.12638033315,436884.2944273278
2.1,416650.09252585645,416650.09252585645,437839.1779210141
2.15,411393.3714544568,411393.3714544568,437890.1493395453
2.2,406128.4388201357,406128.4388201357,437637.8793804437
2.25,401003.6492269452,401003.6492269452,437307.00499918754
2.3,396115.5595966591,396115.5595966591,437091.4511793919
2.35,391520.2853862084,391520.2853862084,436216.2993624254
2.4,387244.3808328565,387244.3808328565,435434.0389683244
2.45,383293.9863459646,383293.9863459646,434338.884126903
2.5,379661.9246870826,379661.9246870826,432708.3188383258
2.55,376332.90428257664,376332.90428257664,430624.7060479768
2.6,373287.17048219574,373287.17048219574,428173.39819315984
2.7,367958.1549266013,367958.1549266013,422495.5259873173
2.75,365631.1681268796,365631.1681268796,419416.2570576869
2.8,363501.62632232736,363501.62632232736,416260.2062999259
2.85,361550.6159164291,361550.6159164291,413077.9151841989
