Frequency,Nominal,Min,Max
0.225,1.2320867021832875,1.1529363155996049,1.3003402219814892
0.23,1.2599531340047991,1.1787279055359585,1.3294793904973186
0.235,1.2878515354458138,1.2045305618243636,1.3586342034659689
0.24,1.3157825862352792,1.2303445034191407,1.3878049607373633
0.245,1.3437469648127742,1.256169947800011,1.4169919593781417
0.25,1.3717453482670203,1.2820071109320637,1.446195493592165
0.255,1.3997784122721504,1.3078562072252014,1.475415854639557
0.26,1.4278468310213674,1.3337174494929396,1.5046533307544987
0.27,1.4840924217044271,1.3854772149731298,1.563180765490193
0.275,1.5122709339872173,1.4113761554516815,1.5924712846888114
0.28,1.5404874815608118,1.4372880763503575,1.6217800399358668
0.285,1.568742730127329,1.4632131818616871,1.6511073030504584
0.29,1.5970373434538385,1.48915167432171,1.6804533423009143
0.295,1.6253719832864768,1.5151037541642738,1.7098184223117752
0.3,1.6537473092613764,1.5410696198746796,1.7392028039690763
0.305,1.6821639788124045,1.567049467942579,1.768606744323932
0.31,1.7106226470755153,1.5930434928141275,1.7980304964943747
0.315,1.7391239667897092,1.6190518868434274,1.8274743095653359
0.32,1.7676685881942964,1.6450748402431523,1.8569384284867874
0.33,1.824890323892254,1.6971651749959387,1.9159285423820416
0.34,1.8822930019569197,1.7493159740203932,1.97500271109049
0.35,1.939881722976587,1.8015286767083742,2.0341627345193793
0.36,1.9976615363649322,1.8538046831714172,2.093410335963078
0.37,2.0556374361064362,1.9061453524596483,2.1527471583552185
0.39,2.1721971658283703,2.0110258993018357,2.271694612415079
0.4,2.2307906640992896,2.0635682727765947,2.331308092364177
0.41,2.2895995745657913,2.116180296920266,2.39101648126523
0.42,2.348628539278552,2.1688630966049423,2.450820958775287
0.432,2.4197601743438173,2.232177385162015,2.5227146725758858
0.445,2.497193341263188,2.3008866357612043,2.6007593111286673
0.458,2.5750246016466107,2.3697214130819093,2.678971838079063
0.475,2.677419821820543,2.459928639386836,2.7815053828162557
0.488,2.756204151802774,2.5290599815561348,2.860110108125464
0.5,2.829306964366577,2.592989808737685,2.9328201677632397
0.515,2.9212065382949577,2.673060591384323,3.0239128470843655
0.53,3.0136956035786113,2.753308924190576,3.115232855603261
0.55,3.137949173731495,2.86058482150933,3.237343913477612
0.565,3.2318523677098288,2.9412511681993774,3.3291872746638735
0.58,3.3263755232102468,3.022097174915577,3.4212496158475005
0.6,3.4533818596054693,3.130170559363075,3.544331800083124
0.615,3.549374482783815,3.211433313435747,3.6368849730195385
0.63,3.6460030138261175,3.2928723042626924,3.7296370737806908
0.645,3.743268633423318,3.3744852598628547,3.822579419010655
0.66,3.8411705626781267,3.456269274323808,3.9157019550210106
0.675,3.939705873004465,3.538220771749059,4.008993172720368
0.688,4.025611457170556,3.6093775859153623,4.089971957752433
0.7,4.105323389189869,3.6751668131397306,4.164817188826401
0.715,4.20551476140661,3.7575419397804097,4.258489906245177
0.732,4.319790367323861,3.8510789621996073,4.364787326049407
0.75,4.441602614293724,3.9503135168388663,4.477463085019442
0.765,4.543727974018524,4.033152285016602,4.571431284767033
0.78,4.646386282574799,4.116111317988205,4.665438694764341
0.8,4.784041880777235,4.226892194509877,4.790796223194404
0.82,4.92250982933218,4.337840304691239,4.92250982933218
0.84,5.0616906481982635,4.448924135218096,5.0616906481982635
0.86,5.201466027743724,4.560108237530218,5.201466027743724
0.88,5.341696659069495,4.6713529528684825,5.341696659069495
