Frequency,Nominal,Min,Max
0.225,-4.2466237791055805,-4.234989124304002,-4.258694963328893
0.23,-4.149982524460445,-4.138360843498462,-4.1620697031839216
0.235,-4.0574521543336814,-4.045843751958878,-4.0695557041724895
0.24,-3.968775702910035,-3.9571808851722925,-3.98089600214266
0.245,-3.8837171809558644,-3.872136255237899,-3.895854609562767
0.25,-3.8020594781559485,-3.790492753204015,-3.8142144178584094
0.255,-3.723602512234174,-3.7120502981889345,-3.7357753465333197
0.26,-3.6481615916371943,-3.636624200064757,-3.660352705853209
0.27,-3.5056575233881175,-3.494150717317625,-3.5178863608718496
0.275,-3.438289664716406,-3.4267986246827116,-3.450537949386885
0.28,-3.3733262528570687,-3.361851296441957,-3.3855943777066684
0.285,-3.3106407061953464,-3.2991821525638994,-3.322929066234466
0.29,-3.250115172657573,-3.2386733425902987,-3.262424164955032
0.295,-3.1916397899150826,-3.1802150058402368,-3.2039698136387265
0.3,-3.1351120195676967,-3.123704605593798,-3.1474634760252096
0.305,-3.0804360468173324,-3.0690463287658782,-3.092809339497266
0.31,-3.027522238237692,-3.016150543676081,-3.039917772850709
0.315,-2.976286651184909,-2.964933309459568,-2.988704835705245
0.32,-2.9266505892009214,-2.9153159314706385,-2.939091833908066
0.33,-2.8318861008813068,-2.820589812034931,-2.8443747062313314
0.34,-2.7426896771274003,-2.7314331043913316,-2.755227312953327
0.35,-2.658583829167736,-2.647368335489554,-2.6711721852683454
0.36,-2.5791441189055337,-2.5679710835086307,-2.5917849057343325
0.37,-2.503991989785855,-2.492862808731532,-2.51668693914765
0.39,-2.365230362261755,-2.3541931482847622,-2.3780389210384634
0.4,-2.301043305392179,-2.29005424070607,-2.31391135730627
0.41,-2.239980663929756,-2.229041217724296,-2.2529100333128618
0.42,-2.181819052820048,-2.1709307140517953,-2.1948115889556195
0.432,-2.1155705267215352,-2.104745511035476,-2.128641340246991
0.445,-2.047822221547688,-2.037068300810201,-2.0609809356624056
0.458,-1.9839082821338994,-1.9732280978871461,-1.9971581797852482
0.475,-1.9055895992142284,-1.895009908505202,-1.9189637948195764
0.488,-1.8493669484666189,-1.838867283402108,-1.8628401461801811
0.5,-1.8000532896965125,-1.7896299904165633,-1.8136209775704184
0.515,-1.7416283334568432,-1.731303929930923,-1.7553184100127803
0.53,-1.686494038391457,-1.676272434676919,-1.7003113587311214
0.55,-1.6176339177815378,-1.6075556144319367,-1.6316286489653784
0.565,-1.5691683573859705,-1.5592023306207552,-1.583302117063497
0.58,-1.5231923955720448,-1.5133428731436926,-1.5374704400746348
0.6,-1.4654398936522743,-1.455752469239161,-1.479918719199065
0.615,-1.4245698043597896,-1.4150091648454615,-1.4392056913492524
0.63,-1.3856277543489444,-1.3761984932475135,-1.4004264083762454
0.645,-1.348478515484515,-1.3391853445605328,-1.363445786446764
0.66,-1.3129991318594654,-1.3038468851447158,-1.3281410183687314
0.675,-1.2790775556655603,-1.270071193511842,-1.2944002094547136
0.688,-1.2508596284673028,-1.2419838126588674,-1.2663440449310568
0.7,-1.2257294280358488,-1.2169775858480663,-1.2413674609080878
0.715,-1.1954849266151888,-1.1868928452334158,-1.2113209132123208
0.732,-1.1626818237106848,-1.1542774110851592,-1.1787503275719313
0.75,-1.1295411795605859,-1.1213433528733996,-1.1458656095051938
0.765,-1.103092190515816,-1.0950728921479354,-1.1196377558083173
0.78,-1.0776390427278275,-1.0698042315036915,-1.0944130864813781
0.8,-1.0451524491246946,-1.037573164746546,-1.0622428756598254
0.82,-1.0142111622721028,-1.0068053580468315,-1.0316318080932725
0.84,-0.9847029493746627,-0.977330532834805,-1.0024681118030236
0.86,-0.9565259563291818,-0.9491875800604501,-0.9746504022780994
0.88,-0.9295875289466153,-0.9222838315630663,-0.9480865021801462
0.9,-0.9038031918882168,-0.8965347975599075,-0.9226924184722726
0.92,-0.8790957614002384,-0.8718632793968175,-0.8983914530204952
0.94,-0.8553945720112995,-0.8481985962631654,-0.8751134267935421
0.96,-0.8326348006717412,-0.8254759093503079,-0.8527940010993524
0.98,-0.8107568745207836,-0.8036356296392985,-0.8313740820007645
1,-0.7897059506866447,-0.7826228977228876,-0.8107992962702898
1.02,-0.7694314583522283,-0.7623871258943143,-0.7910195290699487
1.04,-0.749886694829548,-0.7428815942459338,-0.7719885150521624
1.06,-0.7310284686391196,-0.7240630937737941,-0.7536634758312744
1.08,-0.7128167836332555,-0.7058916105269692,-0.7360047978199012
