Frequency,Nominal,Min,Max
0.225,343.97652610755205,343.0341190686242,344.9542920296404
0.23,343.6185530253249,342.65627784167265,344.6193714236287
0.235,343.26045225662943,342.27838141572107,344.2844125729926
0.24,342.902220731427,341.90042847888606,343.9494145851258
0.245,342.54385536030725,341.52241771198265,343.61437656343605
0.25,342.18535303403536,341.14434778836136,343.27929760725686
0.255,341.82671062309714,340.7662173737442,342.9441768117587
0.26,341.4679249772414,340.3880251260613,342.60901326786035
0.27,340.74991127332504,339.6314497232732,341.9385542767438
0.275,340.39067680692426,339.2530638435885,341.60325698930166
0.28,340.0312862879926,338.87461068134934,341.26791327283223
0.285,339.67173645564253,338.49608885305605,340.9325221956562
0.29,339.3120240254506,338.11749696642715,340.5970828213053
0.295,338.9521456889818,337.73883362023315,340.2615942084327
0.3,338.59209811331124,337.36009740413016,339.92605541072265
0.305,338.2318779405431,336.9812868984934,339.5904654767998
0.31,337.87148178732645,336.6024006742507,339.25482345013916
0.315,337.5109062443687,336.22343729271495,338.9191283689747
0.32,337.1501478759462,335.8443953054176,338.58337926620925
0.33,336.4280687846993,335.0860696697498,337.9117151002822
0.34,335.70521648039386,334.327411977499,337.2398231054873
0.35,334.9815624751347,333.56841027168383,336.5676953438115
0.36,334.25707781015717,332.80905242271854,335.89532378316954
0.37,333.5317330394759,332.04932612304015,335.222700294467
0.39,332.07834286155037,330.5287180191806,333.8766645138003
0.4,331.3502359764738,329.7678106616741,333.2032354521029
0.41,330.62114599603194,329.0064837361061,332.52952091697836
0.42,329.8910407863912,328.2447239646314,331.85551225008965
0.432,329.01352831573314,327.3300218762372,331.04630123521207
0.445,328.0611198919396,326.3383417897942,330.1691458931174
0.458,327.1067975582373,325.34584877963266,329.2914406829917
0.475,325.8558214656331,324.0466943543895,328.14280891414757
0.488,324.8967855066156,323.05220434808234,327.2637568809342
0.5,324.0095921453722,322.1333982749814,326.4517759626753
0.515,322.8978930228987,320.9837486091931,325.4360332163694
0.53,321.78306252509003,319.83278053635615,324.419407245898
0.55,320.29151572074454,318.29601165752354,323.06247249514496
0.565,319.16884389230637,317.1417540482616,322.04365061071525
0.58,318.042572195443,315.985991912403,321.0238278875837
0.6,316.5350170288913,314.4425333556588,319.66244334699803
0.615,315.3997546852574,313.2830290967851,318.64014006472445
0.63,314.2603746863405,312.12181826853606,317.61670941973244
0.645,313.1167112955044,310.9588370069558,316.5921116129386
0.66,311.968593729809,309.7940199103845,315.5663059644106
0.675,310.81584602673115,308.62730002337764,314.5392508974954
0.688,309.81291277878154,307.61455071934824,313.6480930485241
0.7,308.8838158650339,306.6783516337127,312.8246001488381
0.715,307.7178201107496,305.5062183630812,311.79400306085137
0.732,306.3899141842397,304.1751833691612,310.62428632175533
0.75,304.9761184813581,302.7627052758179,309.3837145664023
0.765,303.79158926805576,301.5830744975414,308.3482379496106
0.78,302.6010431979739,300.40102820623656,307.31119468397094
0.8,301.00390534791205,298.82107144700524,305.92594819002977
0.82,299.39513510272474,297.20894169542464,304.53770974913397
0.84,297.774171890898,295.544753129245,303.14635700923435
0.86,296.1404360795147,293.86847478671535,301.7517645452995
0.88,294.4933291702877,292.17951783917937,300.3538038906703
0.9,292.83223417178226,290.47727440941003,298.9523435850163
0.92,291.15651617575895,288.76111813622595,297.547249240388
0.94,289.46552316862375,287.03040497545516,296.1383836269346
0.96,287.75858711215375,285.2844742714664,294.7256067799362
0.98,286.03502533093246,283.52265013674446,293.3087761298697
1,284.2941422471921,281.74424318023955,291.8877466573043
1.02,282.5352315069382,279.94855262839224,290.4623710744852
1.04,280.75757854418276,278.13486888567763,289.0325000355296
1.06,278.96046363268806,276.30247658407984,287.59798237721435
1.08,277.14316547660974,274.45065817288565,286.15866539237766
1.1,275.3049653925909,272.5786981013428,284.71439513799476
1.12,273.4451521358927,270.68588764675286,283.26501678000795
1.15,270.61338512348533,267.8060590918137,281.0810317042907
1.18,267.7291536529229,264.875490449352,278.8846797237791
1.2,265.7761331680655,262.89253707914924,277.4133170917647
1.22,263.79827494424126,260.8855123745777,275.93607372272754
1.25,260.78378882745585,257.828711148603,273.7088535270837
1.28,257.7107652566448,254.71508862800835,271.4675672932543
1.3,255.62900701173243,252.6072137229898,269.96532557502616
1.32,253.52053763838595,250.4733834866156,268.4564845855256
1.35,250.30758562281443,247.22379906872285,266.1805682586518
1.38,247.0345936820309,243.9158522861532,263.8891070576439
1.4,244.81968856000697,241.6785676568086,262.35264800524186
1.42,242.5790005095819,239.41623264313577,260.8090207425903
1.45,239.17112933191697,235.97725132023456,258.4799565466545
1.48,235.70982337171736,232.48644794159824,256.1343405750741
1.5,233.37455417218288,230.13239806091852,254.5613171273817
1.55,227.4503015361117,224.1642333389238,250.59610133009812
1.6,221.42668322799037,218.10094305082507,246.58435351282762
1.65,215.3394619884586,211.9781529865788,242.52691830089722
