Frequency,Nominal,Min,Max
0.225,6.003522930149018,5.987074824425756,6.020588164803257
0.23,5.997275121230642,5.980480250965677,6.0147426974955795
0.235,5.991025083762983,5.9738847141013025,6.008896562693283
0.24,5.984772764163759,5.96728819093595,6.003049744817451
0.245,5.9785181085125885,5.960690658445497,5.997202228219597
0.25,5.972261062543085,5.954092093475541,5.991353997180124
0.255,5.966001571634923,5.94749247273854,5.98550503590678
0.26,5.959739580805846,5.940891772810955,5.9796553285331004
0.27,5.947207877598066,5.927687040992701,5.967953611638517
0.275,5.940938053372727,5.921082961549148,5.962101569999645
0.28,5.934665505516918,5.91447770780349,5.95624871802138
0.285,5.928390177117416,5.907871255609104,5.9503950394428475
0.29,5.922112010850217,5.901263580666093,5.944540517919595
0.295,5.915830948972236,5.894654658518388,5.93868513702202
0.3,5.909546933312962,5.8880444645508465,5.932828880233796
0.305,5.903259905266054,5.881432973986341,5.926971730950292
0.31,5.896969805780902,5.874820161882855,5.921113672476997
0.315,5.890676575354123,5.868206003130566,5.915254688027928
0.32,5.884380154021027,5.861590472448924,5.909394760724053
0.33,5.871777496418961,5.848355193304243,5.897672009560965
0.34,5.859161343703203,5.835114118678884,5.885945282034001
0.35,5.846531198666186,5.821867039884156,5.874214439598699
0.36,5.8338865558821205,5.8086137452188495,5.862479342068724
0.37,5.821226901421609,5.795354019875468,5.850739847564614
0.39,5.7958604575006625,5.768814401830611,5.827247091342327
0.4,5.783152595049636,5.755534063139473,5.815493536937092
0.41,5.770427574347624,5.742246401604225,5.803735000080626
0.42,5.75768483455343,5.728951185482753,5.79197132965644
0.432,5.742369352713137,5.712986622365406,5.777847933103422
0.445,5.72574668989421,5.695678539730514,5.762538684332412
0.458,5.709090623045789,5.678356268900165,5.747219838553811
0.475,5.687256971366112,5.655681746687818,5.7271724322944735
0.488,5.670518636236235,5.638324621699578,5.71183008001855
0.5,5.655034190980703,5.622288430536647,5.697658339531565
0.515,5.635631381002009,5.602223258624189,5.679930284255279
0.53,5.616173918213599,5.582135076167851,5.662186813809269
0.55,5.590141515530171,5.555313399390039,5.6385038346739
0.565,5.57054719570454,5.53516780369222,5.6207220382992285
0.58,5.55089004632225,5.514995949051606,5.602922773993929
0.6,5.5245782450104715,5.4880575153683395,5.579162131374958
0.615,5.504764179240153,5.467820348360098,5.561319573145339
0.63,5.484878246827685,5.447553396097341,5.543457338724419
0.645,5.464917555123071,5.427255543943767,5.525574733487154
0.66,5.444879123401704,5.4069256504250784,5.507671047434785
0.675,5.424759880538193,5.386562546948312,5.489745554917824
0.688,5.407255393183752,5.368886737095718,5.474191916298285
0.7,5.391039592968738,5.352546980597217,5.459819253831968
0.715,5.370689127992202,5.3320893957525275,5.441831941385134
0.732,5.347512797417858,5.3088584526493605,5.421416532972216
0.75,5.322837407452028,5.284206059308229,5.399764471234061
0.765,5.302163472593843,5.263617618269441,5.381691994943634
0.78,5.2813845237742365,5.2429870185751835,5.363592175472588
0.8,5.253509209682433,5.215411571087458,5.339415063201606
0.82,5.225430871995798,5.187274598953017,5.315185731605222
0.84,5.197139726895719,5.1582290290991395,5.290902045237329
0.86,5.168625657879339,5.128972452842124,5.266561815018167
0.88,5.139878219180981,5.099494593183188,5.242162798781552
0.9,5.1108866422686505,5.069784840663272,5.217702702111883
0.92,5.081639845903123,5.039832263217455,5.193179179496967
0.94,5.052126450300413,5.009625620154406,5.168589835824076
0.96,5.022334795994004,4.97915338085814,5.143932228248009
0.98,4.992252968050154,4.948403748866142,5.119203868461177
1,4.961868826346613,4.917364692034759,5.094402225397033
1.02,4.931170042680492,4.88602397955807,5.069524728399306
1.04,4.900144145522577,4.8543692266578065,5.044568770890619
1.06,4.868778573280308,4.822387947806728,5.0195317145750185
1.08,4.83706073696632,4.79006761938234,4.994410894209741
1.1,4.804978093189754,4.757395752668049,4.9692036229821435
1.12,4.772518228388133,4.724359978119283,4.943907198528125
1.15,4.723094570372261,4.674097487942644,4.905789468142441
1.18,4.672755234821308,4.622949416175987,4.867455894549815
1.2,4.638668597001651,4.58834035095243,4.8417757721303545
