Freq.	V(out)
4.00000000000000e+00	(1.49777868530864e-03dB,-9.56240691222685e+00°)
4.09317196912302e+00	(1.56998722912605e-03dB,-9.78542171244723e+00°)
4.18851419220360e+00	(1.64559353667471e-03dB,-1.00136511223577e+01°)
4.28607722095043e+00	(1.72475722808810e-03dB,-1.02472180389964e+01°)
4.38591278457274e+00	(1.80764539685325e-03dB,-1.04862483255255e+01°)
4.48807381720785e+00	(1.89443295721410e-03dB,-1.07308708878448e+01°)
4.59261448598753e+00	(1.98530300756233e-03dB,-1.09812177535432e+01°)
4.69959021975812e+00	(2.08044721026042e-03dB,-1.12374241532846e+01°)
4.80905773846965e+00	(2.18006618891775e-03dB,-1.14996286047280e+01°)
4.92107508324952e+00	(2.28436994370315e-03dB,-1.17679729990913e+01°)
5.03570164717667e+00	(2.39357828554472e-03dB,-1.20426026904714e+01°)
5.15299820677253e+00	(2.50792128994467e-03dB,-1.23236665880402e+01°)
5.27302695422563e+00	(2.62763977136504e-03dB,-1.26113172512447e+01°)
5.39585153036661e+00	(2.75298577895560e-03dB,-1.29057109881467e+01°)
5.52153705841154e+00	(2.88422311462673e-03dB,-1.32070079570448e+01°)
5.65015017849101e+00	(3.02162787423517e-03dB,-1.35153722715325e+01°)
5.78175908298371e+00	(3.16548901302419e-03dB,-1.38309721091528e+01°)
5.91643355267283e+00	(3.31610893612257e-03dB,-1.41539798238238e+01°)
6.05424499374483e+00	(3.47380411522980e-03dB,-1.44845720622189e+01°)
6.19526647564992e+00	(3.63890573248349e-03dB,-1.48229298842950e+01°)
6.33957276984445e+00	(3.81176035249815e-03dB,-1.51692388881826e+01°)
6.48724038943572e+00	(3.99273062367917e-03dB,-1.55236893396562e+01°)
6.63834762975024e+00	(4.18219600987962e-03dB,-1.58864763064268e+01°)
6.79297460984697e+00	(4.38055355347355e-03dB,-1.62577997975100e+01°)
6.95120331499750e+00	(4.58821867090785e-03dB,-1.66378649079441e+01°)
7.11311764015569e+00	(4.80562598171909e-03dB,-1.70268819691495e+01°)
7.27880343443993e+00	(5.03323017215710e-03dB,-1.74250667052448e+01°)
7.44834854665146e+00	(5.27150689429357e-03dB,-1.78326403956551e+01°)
7.62184287185298e+00	(5.52095370159290e-03dB,-1.82498300443756e+01°)
7.79937839903217e+00	(5.78209102173881e-03dB,-1.86768685562800e+01°)
7.98104925987551e+00	(6.05546316740964e-03dB,-1.91139949208904e+01°)
8.16695177867811e+00	(6.34163938573275e-03dB,-1.95614544040650e+01°)
8.35718452341615e+00	(6.64121494657581e-03dB,-2.00194987480849e+01°)
