Frequency,Nominal,Min,Max
3.9,15830831.24630781,14959000.052832948,16787815.79950334
4,15381633.635924356,14529409.506863605,16316969.001337275
4.1,14953555.809226394,14120004.65079034,15868283.440474305
4.2,14545118.781417655,13729376.47907329,15440202.517172657
4.32,14079040.021898288,13283616.49384599,14951724.830497563
4.45,13601447.050462874,12826847.83168676,14451192.271249972
4.58,13149971.65890561,12395069.600665942,13978036.167436888
4.75,12595513.703919146,11864831.293949328,13396945.19747807
4.88,12196640.972246578,11483412.807273725,12978898.313926546
5,11846202.653421806,11148338.546216357,12611596.594217919
5.15,11430318.157010825,10750732.92219411,12175668.585297164
5.3,11037174.480501406,10374925.327736562,11763535.782212775
5.5,10545257.029954733,9904797.00727691,11247782.009735417
5.65,10198464.296990586,9573444.727186883,10884119.907067422
5.8,9869083.200680414,9258801.55743835,10538654.6771482
6,9454832.235378178,8863203.782855568,10104072.410806699
6.15,9161385.01783985,8583061.866396671,9796140.96260346
6.3,8881597.648285149,8316041.313533224,9502469.96870163
6.45,8614563.329046981,8061274.038710324,9222108.924749434
6.6,8359455.9966927385,7817968.843239559,8954192.353263712
6.75,8115521.345599738,7585402.883995861,8697930.337150106
6.88,7912613.667787072,7392019.522666611,8484703.730025288
7,7731942.818012567,7219885.009505839,8294790.848272903
7.15,7514579.4938381715,7012866.466703926,8066235.5669630915
7.32,7278971.864085974,6788571.260297492,7818398.816446559
7.5,7041157.032889611,6562288.309106546,7568127.578644357
7.65,6851568.501868435,6381981.14996291,7368520.44754335
7.8,6669336.189859811,6208748.876274076,7176578.6740361275
8,6437128.152411411,5988128.686418982,6931876.639728681
8.2,6216448.037594212,5778594.269842918,6699186.122365234
8.4,6006518.6893925695,5579396.929180285,6477697.609018014
8.6,5806631.8107583765,5389853.9178786455,6266673.779459613
8.8,5616140.273549121,5209341.1241681585,6065441.395776962
9,5434451.457662216,5037286.731233344,5873384.279430202
9.2,5261021.4612834165,4873165.703545034,5689937.208933668
9.4,5095350.051243923,4716494.975068638,5514580.599856316
9.6,4936976.244475675,4566829.235972638,5346835.852006547
9.8,4785474.42949423,4423757.231514251,5186261.267575365
10,4640450.951543772,4286898.500743946,5032448.459511903
10.2,4501541.097135074,4155900.494155822,4885019.1821646085
10.4,4368406.423700539,4030436.0188933485,4743622.526766379
10.6,4240732.388378221,3910200.967977925,4607932.433089878
10.8,4118226.2368308413,3794912.296562725,4477645.475882856
11,4000615.118765702,3684306.213670238,4352478.890779389
11.2,3887644.4016457144,3578136.56243819,4232168.809484624
11.5,3726372.842041115,3426701.419309876,4060274.677948188
11.8,3574270.884080326,3284019.600847014,3897990.244308801
12,3477629.9433128242,3193438.823420445,3794793.316311691
12.2,3384581.5481177876,3106282.0482330634,3695366.89227174
12.5,3251370.8359123548,2981605.731938429,3552909.000685691
12.8,3125318.9747994924,2863741.3401006544,3417976.0969674108
13,3045016.565452305,2788713.2417329615,3331947.1874984116
