Frequency,Nominal,Min,Max
3.9,-108.2897335118901,-109.40161348012974,-107.1786360666396
4,-108.70976289232348,-109.84197286304658,-107.57755225590128
4.1,-109.12648675074118,-110.27852530247206,-107.97362562899083
4.2,-109.53986746359145,-110.7112328902036,-108.36681994424033
4.32,-110.03146190512804,-111.22535769817016,-108.83480456435682
4.45,-110.55846744301932,-111.77595787588689,-109.33698922858247
4.58,-111.0796320208509,-112.31987429340997,-109.83411934752262
4.75,-111.75224429564561,-113.02097465757714,-110.4764860020481
4.88,-112.25971500009223,-113.54927082705244,-110.9617296767456
5,-112.72281400493907,-114.03086184099607,-111.40500156264895
5.15,-113.2944371739313,-114.62462241245082,-111.95276643839058
5.3,-113.85795721283931,-115.20920664389456,-112.49344812635987
5.5,-114.596642988238,-115.97433545710385,-113.20325085732357
5.65,-115.14111274923363,-116.53742770817513,-113.72721856374264
5.8,-115.6773789397446,-117.09129988629573,-114.24396206611077
6,-116.37962158037541,-117.81546995606219,-114.92167208972108
6.15,-116.89671729309791,-118.34787763155866,-115.42147076636438
6.3,-117.40560362379264,-118.8711281884785,-115.91398608589056
6.45,-117.90629504724699,-119.3852583517348,-116.39921464788253
6.6,-118.39881280906403,-119.89031215327829,-116.87715914235814
6.75,-118.88318453035637,-120.38634042806889,-117.34782805113433
6.88,-119.29640994382383,-120.80897496926471,-117.7498666323884
7,-119.67246224882487,-121.19315536282966,-118.11614858859352
7.15,-120.13529055407426,-121.66541059124602,-118.56749825978089
7.32,-120.65016528120692,-122.19001266558286,-119.07032590166419
7.5,-121.18421721423235,-122.73329370759427,-119.59270395412031
7.65,-121.62060179058055,-123.17655734282036,-120.02018482430347
7.8,-122.04918059057262,-123.61130245485039,-120.44058717631513
8,-122.60859013505478,-124.17786564324913,-120.99018996152653
8.2,-123.15440306834948,-124.72966190998763,-121.52740255593376
8.4,-123.68679207497563,-125.26691795653868,-122.05234873677935
8.6,-124.20593763511661,-125.78986711935947,-122.56516067989219
8.8,-124.71202693811905,-126.29874814729044,-123.06597803003642
9,-125.20525286629285,-126.79380407325787,-123.55494702026954
9.2,-125.68581304784377,-127.27528117702037,-124.03221964057691
9.4,-126.15390897732524,-127.74342803526991,-124.49795285563653
9.6,-126.6097452015991,-128.19849465509702,-124.95230787116775
9.8,-127.05352856900474,-128.64361275475838,-125.39544944800268
10,-127.48546753919791,-129.0838837042795,-125.81801769413596
10.2,-127.90577155095052,-129.51205647107,-126.22936676044765
10.4,-128.31465044508516,-129.92836953534547,-126.62977485843774
10.6,-128.71231393965064,-130.3330600859214,-127.01942396549269
10.8,-129.09897115440555,-130.72636355534277,-127.39849650438163
11,-129.47483018169277,-131.10851320649004,-127.7671749113436
11.2,-129.8400977008085,-131.47973976698398,-128.1256412426545
11.5,-130.36858760993783,-132.01659642967493,-128.64458945187462
11.8,-130.87438982453858,-132.53014368626665,-129.1415753841256
12,-131.19931854612335,-132.85992404327862,-129.46099458123626
12.2,-131.51465715717094,-133.1798870343669,-129.7710949391904
12.5,-131.97010318554865,-133.6418824254048,-130.2191513630508
12.8,-132.40503850052124,-134.08295241345917,-130.64720567052058
13,-132.683906726313,-134.36570599899272,-130.9217415798201
13.2,-132.95411336459784,-134.63965143571858,-131.18780183126063
13.5,-133.34356570001876,-135.03446687574265,-131.57135140754843
13.8,-133.71450045378413,-135.41050861971507,-131.9367227425092
14,-133.95177935951767,-135.65106956469654,-132.17045999536782
14.2,-134.18123780257628,-135.883724759831,-132.39649673305104
14.5,-134.51110506945653,-136.2182495757299,-132.7214320319406
14.8,-134.82424444847607,-136.53590987300117,-133.0298490450388
15,-135.0239568132198,-136.73857495771227,-133.2265135065405
15.5,-135.49260608174876,-137.21444999388308,-133.68782999226357
16,-135.91918454333447,-137.64812043294216,-134.10738688807137
16.5,-136.30568800858478,-138.04167976504027,-134.48707115352641
17,-136.65398130222613,-138.39707615981737,-134.82865415472153
17.5,-136.96580373479262,-138.71611977171088,-135.13379531243265
18,-137.24277493443546,-139.00049018886568,-135.4040463048293
18.5,-137.48640085397147,-139.2517438588131,-135.64085562832923
19,-137.69807981271737,-139.47132136913908,-135.84557336258854
19.5,-137.8791084683418,-139.66055449672032,-136.0194560204176
20,-138.03068764236056,-139.82067296665474,-136.16367139174002
20.5,-138.1539279453573,-139.9528108832422,-136.27930331359622
21,-138.2498551655922,-140.05801281157414,-136.3673563165506
21.5,-138.31941539832133,-140.13723950051462,-136.42876011248532
22,-138.36347990365715,-140.1913732469319,-136.46437390031673
22.5,-138.3828496887876,-140.22122290766902,-136.4749904752376
23,-138.37825981636541,-140.22752857046953,-136.46134013412808
23.5,-138.35038344530088,-140.21096589832706,-136.424094375201
24,-138.29983561338284,-140.17215016387075,-136.36386939406225
24.5,-138.22717677338568,-140.11163999169048,-136.28122938145796
25,-138.132916095824,-140.0299408271693,-136.1766896302417
25.5,-138.01751455245395,-139.92750815059435,-136.0507194607277
26,-137.8813877951385,-139.80475045518904,-135.90374497472078
27,-137.54841060598298,-139.49967540688874,-135.54828678152205
27.5,-137.35218821949385,-139.31796396439597,-135.34046179668894
28,-137.13650127106015,-139.11714391236953,-135.1129544303767
28.5,-136.90157586639728,-138.8974264658807,-134.86601079749502
29,-136.64760658844267,-138.658989748078,-134.59984735899232
29.5,-136.37475834923723,-138.4019805951277,-134.31465279787216
