Frequency,Nominal,Min,Max
3.9,4.815194482758176e-7,4.808866578282439e-7,4.821606562069752e-7
4,4.816877188676434e-7,4.810284133330899e-7,4.823526050327849e-7
4.1,4.818601579287945e-7,4.811736607170394e-7,4.825516479241707e-7
4.2,4.820367587137502e-7,4.813223928536998e-7,4.827564319946112e-7
4.32,4.822541634088577e-7,4.815054610221236e-7,4.830085695180982e-7
4.45,4.824964225820633e-7,4.817094207888323e-7,4.832895813855917e-7
4.58,4.827456731436712e-7,4.819192255153821e-7,4.835787570277123e-7
4.75,4.830821380639086e-7,4.822023760906763e-7,4.839692039933903e-7
4.88,4.833474594913672e-7,4.824256025858754e-7,4.842771637375282e-7
5,4.835985279311412e-7,4.826367939223034e-7,4.845686372035609e-7
5.15,4.839206527760023e-7,4.829076938738199e-7,4.849426838755664e-7
5.3,4.842519619231035e-7,4.831862450365692e-7,4.853274908534639e-7
5.5,4.847079446832776e-7,4.835694963521753e-7,4.858572616460683e-7
5.65,4.850605715982286e-7,4.838657820554866e-7,4.862670774152737e-7
5.8,4.854222849122262e-7,4.841696158508873e-7,4.866875675073916e-7
6,4.859186503007671e-7,4.84586412829433e-7,4.872647785242885e-7
6.15,4.863014440615392e-7,4.84907731366958e-7,4.877100689212211e-7
6.3,4.866932187850276e-7,4.852364870931381e-7,4.881659409871128e-7
6.45,4.870939414265459e-7,4.855726452824851e-7,4.886323656711026e-7
6.6,4.87503578307204e-7,4.859161705592883e-7,4.89109313358547e-7
6.75,4.879220951244367e-7,4.862670269097232e-7,4.895967538797973e-7
6.88,4.882919656093932e-7,4.865770041331068e-7,4.900276661407253e-7
7,4.886392612401669e-7,4.868679789752743e-7,4.904323884880383e-7
7.15,4.890812855591326e-7,4.872382040675968e-7,4.909476582786606e-7
7.32,4.89592821035589e-7,4.876664868864705e-7,4.915441743351721e-7
7.5,4.90146635365829e-7,4.881299711712035e-7,4.921902553323657e-7
7.65,4.906176778814733e-7,4.88524023501074e-7,4.927399893445629e-7
7.8,4.910973436634346e-7,4.889251379876834e-7,4.932999902205039e-7
8,4.917502447017536e-7,4.894708725173874e-7,4.940625694100624e-7
8.2,4.924183131315972e-7,4.900289918017304e-7,4.948432572372007e-7
8.4,4.931014536998148e-7,4.90599396408207e-7,4.956419696865943e-7
8.6,4.937995695958583e-7,4.911819853630803e-7,4.964586213314942e-7
8.8,4.945125625011919e-7,4.917766562081327e-7,4.972931253743151e-7
9,4.952403326389613e-7,4.923833050577067e-7,4.981453936873557e-7
9.2,4.959827788238757e-7,4.930018266559776e-7,4.990153368536044e-7
9.4,4.96739798512247e-7,4.936321144344042e-7,4.999028642075879e-7
9.6,4.975112878521459e-7,4.942740605693e-7,5.008078838762141e-7
9.8,4.982971417336236e-7,4.94927556039474e-7,5.017303028195709e-7
10,4.990972538389527e-7,4.955924906838859e-7,5.026700268716344e-7
10.2,4.999115166928416e-7,4.962687532592619e-7,5.036269607808436e-7
10.4,5.007398217125778e-7,4.969562314976233e-7,5.04601008250502e-7
10.6,5.015820592580537e-7,4.976548121636737e-7,5.055920719789623e-7
10.8,5.024381186816331e-7,4.983643811119973e-7,5.066000536995529e-7
11,5.033078883778134e-7,4.990848233440196e-7,5.076248542202077e-7
11.2,5.041912558326434e-7,4.998160230646821e-7,5.086663734627586e-7
11.5,5.055415545853767e-7,5.009327378275313e-7,5.102597789337511e-7
11.8,5.069218070121938e-7,5.020729984412179e-7,5.118902302628153e-7
12,5.078584239055467e-7,5.028460562000125e-7,5.129976072422255e-7
12.2,5.088080640683425e-7,5.036292824828517e-7,5.141211906078203e-7
12.5,5.102566869660823e-7,5.048229265763771e-7,5.158367236606402e-7
12.8,5.117339518983224e-7,5.060387764169159e-7,5.175881300038738e-7
13,5.127345101835816e-7,5.068614788905328e-7,5.18775486917941e-7
13.2,5.137475017394444e-7,5.07693749271394e-7,5.199785213625613e-7
13.5,5.152900402696598e-7,5.089598300663975e-7,5.218122334094966e-7
13.8,5.168598807780653e-7,5.1024675772367e-7,5.2368061397147e-7
14,5.179214085904529e-7,5.111160890246687e-7,5.249452804823585e-7
14.2,5.189947698343377e-7,5.119943824727732e-7,5.262250834556446e-7
14.5,5.206267353598654e-7,5.133283615049853e-7,5.28172929533049e-7
14.8,5.222846466957921e-7,5.146818238764799e-7,5.301542163227294e-7
15,5.23404133648303e-7,5.155947546850571e-7,5.314934688983652e-7
15.5,5.262517131898944e-7,5.179133815802436e-7,5.349051765203133e-7
16,5.291675839723902e-7,5.202823652088901e-7,5.384063223667948e-7
16.5,5.321498595949976e-7,5.226998425104848e-7,5.419951705900095e-7
17,5.351966603803818e-7,5.251639680053476e-7,5.45669981404751e-7
17.5,5.383061162279013e-7,5.276729171861094e-7,5.494290126688042e-7
18,5.414763691958666e-7,5.302248896326433e-7,5.532705211475165e-7
18.5,5.447055758011829e-7,5.328181118434104e-7,5.571927634443292e-7
19,5.479919090251936e-7,5.354508397773228e-7,5.611939965785681e-7
19.5,5.51333560014845e-7,5.381213611012528e-7,5.652724781911833e-7
20,5.547287394684791e-7,5.408279971391862e-7,5.69426466358323e-7
20.5,5.581756786956178e-7,5.435691045197692e-7,5.736542189917144e-7
21,5.616726303400377e-7,5.46343076519608e-7,5.779539928037595e-7
21.5,5.652178687552584e-7,5.491483441001611e-7,5.823240418140948e-7
22,5.688096900213058e-7,5.519833766364382e-7,5.867626153731064e-7
22.5,5.724464115912422e-7,5.5484668233596e-7,5.912679556765868e-7
23,5.761263715555294e-7,5.577368083465911e-7,5.958382947443723e-7
23.5,5.798479275118008e-7,5.606523405518923e-7,6.004718508344705e-7
24,5.836094550270857e-7,5.635919030526248e-7,6.051668242628987e-7
24.5,5.87409345678991e-7,5.665541573328996e-7,6.099213925982712e-7
25,5.91246004661779e-7,5.695378011093159e-7,6.147337051991315e-7
25.5,5.951178479427818e-7,5.725415668611841e-7,6.196018770612162e-7
26,5.990232989541107e-7,5.755642200396748e-7,6.245239819413042e-7
27,6.06928731993748e-7,5.816614023279061e-7,6.345220329992686e-7
27.5,6.10925561619539e-7,5.847336065353133e-7,6.395938478154025e-7
28,6.149496840516357e-7,5.878200424919475e-7,6.447113135816815e-7
28.5,6.189994930673879e-7,5.909196022192241e-7,6.498721670873912e-7
29,6.230733594282391e-7,5.940311930647522e-7,6.55074045615225e-7
29.5,6.271696238853643e-7,5.971537335795971e-7,6.603144741276114e-7
30,6.312865896018595e-7,6.002861490479381e-7,6.655908515114698e-7
30.5,6.354225139810931e-7,6.034273666654635e-7,6.709004358741066e-7
31,6.39575599893314e-7,6.065763103631822e-7,6.762403288920077e-7
31.5,6.437439862957817e-7,6.097318952738352e-7,6.816074592252951e-7
32,6.479257382455736e-7,6.128930218388368e-7,6.86998565023804e-7
33,6.563211653774372e-7,6.192273903591715e-7,6.978385920926996e-7
34,6.647445065972667e-7,6.25570079004093e-7,7.087297878772849e-7
35,6.731764670575273e-7,6.319110783568766e-7,7.196372311130823e-7
36,6.81595414304621e-7,6.382394557009897e-7,7.305210270789284e-7
37,6.899769347446848e-7,6.445430836148247e-7,7.413356268570623e-7
39,7.065133772182304e-7,6.570198574916943e-7,7.625429183765497e-7
40,7.146014448921025e-7,6.631601063827437e-7,7.728107672193901e-7
41,7.22517537452675e-7,6.692091887888969e-7,7.827590197095305e-7
42,7.302167540049935e-7,6.75144485362964e-7,7.923063873852986e-7
43.2,7.390988253279613e-7,6.820803665246986e-7,8.031089956010491e-7
44.5,7.481755336533208e-7,6.89308909283102e-7,8.138248112495857e-7
45.8,7.565527607842057e-7,6.961689653260708e-7,8.232976572061294e-7
47.5,7.662062375107558e-7,7.04443984220799e-7,8.348114506765243e-7
48.8,7.723947266809074e-7,7.101202351556678e-7,8.422136034500185e-7
50,7.770382761995895e-7,7.147608128803365e-7,8.474939002467295e-7
51.5,7.812144682686335e-7,7.186317993564498e-7,8.517552333672553e-7
53,7.833901229926664e-7,7.204791745795493e-7,8.553824242794859e-7
55,7.829112386884905e-7,7.182553237949675e-7,8.577866705066579e-7
56.5,7.799104743973239e-7,7.145542791496577e-7,8.562429356943068e-7
58,7.746515751058865e-7,7.091566508637839e-7,8.517530593277112e-7
60,7.643111822260063e-7,6.995126955706284e-7,8.413057360657993e-7
61.5,7.543110355421153e-7,6.906620536756228e-7,8.303853971808974e-7
