Frequency,Nominal,Min,Max
3.9,0.006680605369021918,0.007075832160711751,0.006291985308144724
4,0.006680818449827705,0.007076083125667576,0.006292165062763959
4.1,0.006681036969221693,0.007076340503685934,0.006292349400434293
4.2,0.00668126093056945,0.007076604299313048,0.006292538323614807
4.32,0.006681536872437402,0.007076929331891146,0.006292771087863695
4.45,0.0066818446653856755,0.007077291896359715,0.006293030709900223
4.58,0.006682161676353963,0.007077665335126656,0.0062932980968723904
4.75,0.006682590151883813,0.007078170104859861,0.006293659483213103
4.88,0.006682928467406403,0.007078568681704866,0.0062939448127710285
5,0.0066832489654531585,0.007078946284513159,0.006294215104188421
5.15,0.006683660678494182,0.0070794313790518105,0.00629456230559586
5.3,0.006684084727898282,0.007079931037595432,0.006294919891518008
5.5,0.0066846693430610196,0.007080619939397384,0.006295412845430936
5.65,0.0066851222366324774,0.007081153660966521,0.0062957947051189185
5.8,0.00668558751859688,0.007081702017032081,0.0062961869872304715
6,0.006686227194291865,0.007082455962423471,0.006296726263751495
6.15,0.006686721448261733,0.007083038554818897,0.006297142912717138
6.3,0.006687228148210049,0.007083635859824845,0.006297570026013892
6.45,0.00668774731252403,0.007084247902403698,0.006298007617012486
6.6,0.006688278960113397,0.0070848747082371474,0.006298455699458499
6.75,0.006688823110415949,0.0070855163037344075,0.00629891428747601
6.88,0.006689304836073438,0.00708608433732239,0.006299320239467177
7,0.006689757865881437,0.007086618569546636,0.006299701986127625
7.15,0.006690335455858546,0.00708729973888185,0.006300188660972857
7.32,0.006691005265130841,0.007088089736203902,0.006300752993313435
7.5,0.006691732120631935,0.007088947102486629,0.006301365332454266
7.65,0.006692351725702031,0.007089678032368281,0.006301887272185583
7.8,0.006692983984822551,0.007090423957866873,0.00630241982727993
8,0.00669384672240962,0.007091441908074879,0.006303146443475632
8.2,0.006694732056801738,0.007092486654477527,0.006303892004361
8.4,0.006695640048073389,0.007093558279043967,0.006304656553407396
8.6,0.0066965707581967,0.007094656866379207,0.006305440135435128
8.8,0.00669752425107034,0.007095782503766416,0.006306242796632773
9,0.006698500592548898,0.007096935281209987,0.00630706458457688
9.2,0.006699499850472796,0.007098115291479218,0.006307905548252032
9.4,0.006700522094698661,0.007099322630152696,0.006308765738071262
9.6,0.006701567397130178,0.007100557395663342,0.0063096452058967805
9.8,0.006702635831749429,0.007101819689344024,0.006310544005061066
10,0.00670372747464864,0.007103109615473786,0.006311462190388253
10.2,0.006704842404062365,0.007104427281324634,0.00631239981821587
10.4,0.006705980700400112,0.007105772797208858,0.0063133569464168355
10.6,0.006707142446279318,0.00710714627652682,0.0063143336344217765
10.8,0.006708327726558749,0.007108547835815282,0.0063153299432416226
11,0.0067095366283722,0.007109977594796122,0.006316345935490494
11.2,0.006710769241162587,0.00711143567642546,0.006317381675408819
11.5,0.0067126628198621325,0.007113676180895338,0.006318972456758127
11.8,0.006714610275185961,0.0071159811363217095,0.006320608048472527
12,0.006715938673705949,0.0071175538045313725,0.00632172345482307
12.2,0.006717291266268441,0.007119155460428267,0.00632285895526694
12.5,0.006719365747205017,0.007121612610880783,0.00632460004581143
12.8,0.0067214952613235,0.007124135806349721,0.00632638677513364
13,0.006722945696090748,0.007125854883241534,0.00632760341499921
13.2,0.006724420870966785,0.007127603701261397,0.006328840539643061
13.5,0.0067266802780410005,0.007130283048020376,0.006330734819232944
13.8,0.006728996021667064,0.007133030239935975,0.006332675669085132
14,0.0067305713562297925,0.007134899679732937,0.00633399558938699
14.2,0.006732172044487228,0.007136799708886793,0.006335336432533108
14.5,0.006734620902894987,0.007139707505989356,0.006337387132848809
14.8,0.006737127558276922,0.007142685168832542,0.006339485445095639
15,0.006738831002907479,0.007144709412436424,0.006340910936023171
15.5,0.006743203857324117,0.007149908447624818,0.0063445685668453745
16,0.006747741786905531,0.007155307827767883,0.00634836167729319
16.5,0.006752447235578549,0.007160910941355747,0.006352292005886251
17,0.006757322773821539,0.007166721353585989,0.006356361380161116
17.5,0.0067623711019494555,0.007172742810569023,0.006360571719109253
18,0.006767595053273695,0.007178979243263358,0.00636492503556448
18.5,0.006772997597110136,0.0071854347710923385,0.006369423438525366
19,0.00677858184160683,0.007192113705190499,0.006374069135397258
19.5,0.006784351036360692,0.007199020551223457,0.0063788644341374375
20,0.006790308574790486,0.007206160011721293,0.006383811745285896
20.5,0.006796457996230859,0.00721353698786047,0.006388913583862978
21,0.006802802987709802,0.007221156580624632,0.00639417257111388
21.5,0.006809347385369077,0.00722902409126913,0.0063995914360786416
22,0.00681609517548425,0.007237145021008482,0.0064051730169647795
22.5,0.006823050495037898,0.007245525069839845,0.006410920262298215
23,0.006830217631796122,0.0072541701344089665,0.006416836231826404
23.5,0.006837601023834942,0.0072630863048182,0.006422924097145829
24,0.006845205258459362,0.00727227986026869,0.0064291871420241765
24.5,0.006853035070453796,0.007281757263421012,0.0064356287623853654
25,0.006861095339598291,0.00729152515335034,0.006442252465923603
25.5,0.006869391087380319,0.007301590336963565,0.006449061871310199
26,0.0068779274728273014,0.007311959778736753,0.006456060706954597
27,0.006895743448720292,0.007333640007964622,0.006470642120458716
27.5,0.0069050339934666515,0.007344965393256736,0.006478232685593666
28,0.006914587068634473,0.007356624197554494,0.006486028649241186
28.5,0.006924408421765846,0.007368623949363161,0.006494034251277683
29,0.006934503889617129,0.007380972228796161,0.006502253822021037
