Frequency,Nominal,Min,Max
3.9,-9.379569938106773,-9.934468353639298,-8.833947372635192
4,-9.620378567751896,-10.18955970096131,-9.0607176903801
4.1,-9.861210566571216,-10.444678583440437,-9.287507715041016
4.2,-10.102066527021009,-10.699825700561329,-9.514317945305589
4.32,-10.391126144014649,-11.00604049695711,-9.786517595845618
4.45,-10.704315153947853,-11.337821617968265,-10.081435197260157
4.58,-11.017548171972415,-11.66965460455683,-10.376389902123197
4.75,-11.42722915972132,-12.103670879310362,-10.762157716294405
4.88,-11.74056873153957,-12.43562946001911,-11.057202247076143
5,-12.029848137815685,-12.742103312123685,-11.329587187539156
5.15,-12.391506897928215,-13.12526577676206,-11.670118514574726
5.3,-12.75323366082992,-13.508508419732083,-12.010707153016359
5.5,-13.235645299260817,-14.01962748000682,-12.464917433953252
5.65,-13.59753862931046,-14.403066546405904,-12.80564643021188
5.8,-13.959506738830283,-14.786593811562986,-13.146438429337225
6,-14.44225073967043,-15.2981048788347,-13.60092872970323
6.15,-14.804401286451478,-15.68184736036904,-13.941874408755748
6.3,-15.16663344014039,-16.065686130082746,-14.282888818999506
6.45,-15.528949259680797,-16.44962362938139,-14.623973686702993
6.6,-15.891350809229433,-16.833662306771462,-14.965130741913391
6.75,-16.253840158310755,-17.21780461807461,-15.306361718566704
6.88,-16.56807021798669,-17.550813686680094,-15.602156369112302
7,-16.85818982202122,-17.858278795257522,-15.875249005041615
7.15,-17.2209234633799,-18.242709527881882,-16.216685613344136
7.32,-17.63213707467279,-18.678534072844524,-16.603744287979563
7.5,-18.06767672570622,-19.1401571767139,-17.01368639762652
7.65,-18.430736652583395,-19.524973301142246,-17.355397547599097
7.8,-18.793899029381723,-19.90991047369018,-17.697194875002044
8,-19.278278560539704,-20.423352695255648,-18.15306175720982
8.2,-19.762849031678726,-20.937020604017658,-18.60908919687367
8.4,-20.24761550537393,-21.450920235828956,-19.065281417503964
8.6,-20.732583067376982,-21.965057658310023,-19.521642659307155
8.8,-21.217756827390836,-22.47943897193201,-19.978177179732626
9,-21.70314191985843,-22.994070311120357,-20.43488925402909
9.2,-22.188743504765895,-23.508957845379165,-20.89178317581073
9.4,-22.674566768460267,-24.024107780436722,-21.348863257633152
9.6,-23.160616924481896,-24.53952635941251,-21.806133831579274
9.8,-23.646899214411988,-25.05521986400572,-22.263599249855442
10,-24.133418908735106,-25.57119461570563,-22.72126388539771
10.2,-24.620181307717,-26.087456977024054,-23.17913213248867
10.4,-25.10719174229802,-26.604013352749963,-23.63720840738463
10.6,-25.594455575001877,-27.12087019122634,-24.0954971489535
10.8,-26.081978200860416,-27.63803398564982,-24.554002819323426
11,-26.56976504835391,-28.15551127539264,-25.012729904542354
11.2,-27.057821580367552,-28.673308647347454,-25.47168291524836
11.5,-27.79042407422923,-29.4506193889067,-26.160545970978646
11.8,-28.523664448989965,-30.228687867094624,-26.8499429899113
12,-29.0128550704097,-30.747832435575532,-27.309845324835663
12.2,-29.502343241450987,-31.267330782200947,-27.769996531532396
12.5,-30.237145862422576,-32.04725674896353,-28.460700206151436
12.8,-30.972650164178688,-32.82801779565951,-29.151990259815815
13,-31.4633858577047,-33.34900085357038,-29.6131839821963
13.2,-31.95444797883416,-33.87037278839416,-30.074650244383825
13.5,-32.69166615127926,-34.65317561337903,-30.767371221472104
13.8,-33.429652235641974,-35.436894232001926,-31.46073272401494
14,-33.922079635398156,-35.959894385854,-31.92333777051043
14.2,-34.41486349141871,-36.48332011182928,-32.386239843109244
14.5,-35.15472111311183,-37.26927318126444,-33.08116083347078
14.8,-35.895415630499436,-38.05622657953978,-33.77677845146957
15,-36.38968741570039,-38.58143082715669,-34.24091905452512
15.5,-37.62707752386857,-39.896489137746485,-35.40269260299719
16,-38.866992692575856,-41.21457308794301,-36.56656326120877
16.5,-40.109536579336584,-42.535810991653136,-37.73261451496433
17,-41.35481537578782,-43.860334683946256,-38.90093164658603
17.5,-42.60293794228157,-45.188279706584844,-40.07160183038829
18,-43.85401594521354,-46.51978549634656,-41.244714230457824
18.5,-45.108163996753504,-47.85499557547498,-42.42036010057894
19,-46.36549979659071,-49.19405774350301,-43.598632886117244
19.5,-47.62614427525205,-50.537124269588666,-44.77962832764481
20,-48.8902217384915,-51.884352084393306,-45.96344456605845
20.5,-50.15786001218373,-53.235902970410265,-47.15018224890878
21,-51.429190587086104,-54.59194374952222,-48.33994463762094
21.5,-52.70434876275666,-55.95264646642306,-49.53283771524868
22,-53.98347378983525,-57.31818856638717,-50.72897029436105
22.5,-55.26670900980697,-58.68875306570275,-51.92845412461554
23,-56.55420199127189,-60.06452871290624,-53.13140399952262
23.5,-57.84610466164362,-61.44571013876198,-54.33793786185371
24,-59.142573433088884,-62.83249799272148,-55.54817690708889
24.5,-60.44376932140248,-64.22509906337332,-56.76224568423892
25,-61.74985805638462,-65.62372638015306,-57.98027219331244
25.5,-63.06101018215133,-67.02859929332553,-59.20238797862763
26,-64.37740114566354,-68.439943528976,-60.428728217095035
27,-67.02662632156124,-71.28298087741612,-62.894641410858725
27.5,-68.35983653531986,-72.7151573932417,-64.1345035873773
28,-69.69903765183548,-74.1547719113493,-65.37916878435115
28.5,-71.04443040731758,-75.60208172046603,-66.62879141810902
29,-72.39622060760283,-77.05735006863192,-67.88352990189962
29.5,-73.75461907180102,-78.52084592529786,-69.1435466670533
30,-75.11984154396556,-79.99284368051057,-70.40900816875677
30.5,-76.49210856930962,-81.47362277479783,-71.68008487463693
31,-77.87164533124876,-82.96346725299782,-72.95695123421568
31.5,-79.25868144531188,-84.46266523492201,-74.23978562715865
32,-80.65345070571779,-85.97150829541293,-75.52877028809905
33,-83.46714284824738,-89.01930881066639,-78.12593799321733
34,-86.31466263832647,-92.10924048097695,-80.74998475991228
35,-89.19799197270389,-95.24367252599438,-83.40249303071948
36,-92.11913448830461,-98.42493119475621,-86.08508920491643
37,-95.08009099532195,-101.65524990068077,-88.79943279641107
39,-101.12924507719879,-108.2711656537113,-94.33007791596144
40,-104.22112121566607,-111.6601705067799,-97.14971883594023
41,-107.36007186343392,-115.1048767757792,-100.00773768661594
42,-110.54748434447488,-118.60593784716865,-102.90566867307918
43.2,-114.43786201290155,-122.88161346404334,-106.43785745875026
44.5,-118.73427641237912,-127.6036382956157,-110.33402600197951
45.8,-123.11596661053537,-132.4153419113174,-114.30467034177835
47.5,-128.97188198558595,-138.83115933631697,-119.61147256427277
48.8,-133.54154356557692,-143.81870091639058,-123.75721339328992
50,-137.82430043048657,-148.47203354206962,-127.65018082160366
51.5,-143.25411069863495,-154.33450047967074,-132.60195399519313
53,-148.7522542551299,-160.21943628949364,-137.64176756593056
55,-156.1511769836111,-168.04240291135275,-144.47929899554882
56.5,-161.71761563302425,-173.845838165967,-149.67641855995055
58,-167.2667579254768,-179.55575938139296,-154.9119707112283
60,-174.5866453408777,-186.9684887272588,-161.9144969904706
61.5,-179.9791365757842,-192.34252288500602,-167.1513831803462
63,-185.25792683388636,-197.53389426079394,-172.34735281324686
64.5,-190.39947948293346,-202.5275508657826,-177.4773730377861
66,-195.38446074894873,-207.31402658698008,-182.5177723132485
67.5,-200.198111540763,-211.8888994121979,-187.4471909845558
68.8,-204.22337061146067,-215.6824282775516,-191.61533143784825
70,-207.8144192990889,-219.04467830048358,-195.36806764890983
71.5,-212.1327965142143,-223.06359759815055,-199.92150621786382
73.2,-216.7983917002742,-227.38009996484556,-204.88738032499313
75,-221.47847373645428,-231.68822151480987,-209.91213019400476
76.5,-225.18067889366444,-235.08399709807705,-213.91401602698832
78,-228.71022429615525,-238.31376355009044,-217.74836240614306
80,-233.1611297298795,-242.37911571693965,-222.6056803576155
82,-237.3384544653234,-246.19005479072794,-227.18190606143415
84,-241.26222894174117,-249.76830093855693,-231.4913296378183
86,-244.9521101303819,-253.1340038039768,-235.54998263814562
88,-248.42686423612,-256.30562386562445,-239.37460769664585
90,-251.70407222527052,-259.29993301802705,-242.9819247872548
92,-254.79999110705128,-262.1320863875028,-246.38813967235336
94,-257.72951903330846,-264.81573286520506,-249.60863835055784
96,-260.50622608687036,-267.3631431554273,-252.65781755980817
98,-263.1424238937447,-269.7853420653675,-255.54901062162605
100,-265.6492557897786,-272.09223713428236,-258.29447730012726
102,-268.03679553851845,-274.2927392358776,-260.90543458051536
104,-270.3141470122727,-276.39487305011846,-263.3921119185251
106,-272.4895402741584,-278.4058767024427,-265.7638196018709
108,-274.57042152084347,-280.33229070145956,-268.0290226175575
110,-276.5635356624836,-282.1800367712334,-270.1954151067328
112,-278.4750011487432,-283.9544874062603,-272.2699923675948
115,-281.2011308144865,-286.4892990923468,-275.22346949244184
118,-283.7726541081108,-288.8847870679672,-278.0036907639408
120,-285.40838383701487,-290.41078790042366,-279.7692468885076
122,-286.9857706394173,-291.88401654975877,-281.46967106581536
125,-289.25011734609717,-294.0016915783655,-283.90693449426374
128,-291.4018428753588,-296.017157092065,-286.2189363944597
130,-292.77850219764065,-297.3082356197173,-287.6960785618943
132,-294.11190541890727,-298.55993937324956,-289.1252770059514
135,-296.03601565182345,-300.3682339023007,-291.18496978032783
138,-297.8753125039865,-302.0991293273535,-293.15094772823244
140,-299.05762504478577,-303.2129624403016,-294.41318156421585
142,-300.2068978288768,-304.29657882864836,-295.639007828311
145,-301.87241194232683,-305.8685518057538,-297.4134723081818
148,-303.4723309584693,-307.380429441606,-299.1158224849084
150,-304.50479218380787,-308.35703486108827,-300.2132181151891
155,-306.9754424616393,-310.6971450380982,-302.83550042239244
160,-309.3020119718139,-312.9049319608568,-305.299939371379
165,-311.4996750711012,-314.99424170124394,-307.6233387118857
170,-313.5815650594304,-316.9770955075325,-309.8201898697254
175,-315.55911811913074,-318.8639915009112,-311.90306980830303
180,-317.4423486284021,-320.6641472761128,-313.88295803068434
185,-319.2400715156135,-322.3856966899515,-315.7694914265613
190,-320.96008334235546,-324.0358507848644,-317.5711708895558
195,-322.60931092370333,-325.6210303749567,-319.295530167781
200,-324.19393418954473,-327.1469760484318,-320.949274881518
205,-325.71948843734776,-328.61884002651726,-322.5383977786809
210,-327.1909499689543,-330.04126333602613,-324.06827491403243
215,-328.61280823296784,-331.4184410101319,-325.5437463999164
220,-329.98912693308904,-332.75417746584884,-326.9691845911474
225,-331.3235960564545,-334.05193377140085,-328.3485519679248
230,-332.61957638513223,-335.3148681791616,-329.68545052027133
235,-333.8801377497541,-336.54587103614847,-330.9831640807578
240,-335.1080920457972,-337.7475949764925,-332.24469477376084
245,-336.30602184474196,-338.9224811357985,-333.4727945305015
250,-337.4763052826766,-340.07278199606935,-334.66999244571963
255,-338.6211377891911,-341.2005813645131,-335.83861861367245
260,-339.7425511230539,-342.3078119044742,-336.98082497035864
270,-341.9225273598372,-344.46763222040937,-339.193802727397
275,-342.984476379419,-345.523461710579,-340.2681411324713
280,-344.0298030728002,-346.5652245833064,-341.32322052727403
285,-345.05993606280566,-347.59429662254274,-342.3605368303437
290,-346.07621585644364,-348.61197236880236,-343.3814900927001
295,-347.07990304348743,-349.6194727417224,-344.3873933761296
300,-348.07218564250394,-350.6179518775959,-345.37948069759017
305,-349.05418569830647,-351.6085032765566,-346.35891415488277
310,-350.02696522036274,-352.5921653410001,-347.3267903326037
