Frequency,Nominal,Min,Max
3.9,-0.16370437784104394,-0.17338918220618615,-0.15418146760038653
4,-0.16790728129556695,-0.17784136611030366,-0.1581393562908289
4.1,-0.1721105926191232,-0.1822940305935729,-0.162097588931841
4.2,-0.1763143221520253,-0.18674718786430405,-0.1660561742271643
4.32,-0.18135936420311807,-0.19209164427973452,-0.17080695435186577
4.45,-0.18682554360751372,-0.1978823172373369,-0.17595423751863376
4.58,-0.19229249109800106,-0.20367389542003356,-0.18110216826274195
4.75,-0.199442773217042,-0.21124890842172303,-0.18783508676825117
4.88,-0.2049115804220597,-0.217042678635338,-0.19298458527039425
5,-0.20996045851979228,-0.222391656425833,-0.19773859931432256
5.15,-0.21627259465243626,-0.22907910300382897,-0.20368199217727884
5.3,-0.2225859176576519,-0.23576794895770098,-0.20962638531296984
5.5,-0.23100558909821145,-0.2446886594291945,-0.21755385021172707
5.65,-0.23732181924858425,-0.2513809336186317,-0.22350069305345557
5.8,-0.24363935454692462,-0.2580747471667921,-0.22944863550264646
6,-0.2520648268058354,-0.2670022994510737,-0.23738098766241125
6.15,-0.2583855462350625,-0.2736998692336215,-0.24333161233232553
6.3,-0.2647076899735241,-0.2803991195619299,-0.2492834365878258
6.45,-0.27103129395656583,-0.28710009304656464,-0.2552364905579809
6.6,-0.2773563942105189,-0.29380283242202576,-0.26119080443781045
6.75,-0.28368302685539903,-0.3005073805504867,-0.26714640849020665
6.88,-0.28916737600548237,-0.3063194852366521,-0.2723089990520134
7,-0.29423091832046716,-0.31168576371633006,-0.27707536471193006
7.15,-0.3005618146699244,-0.31839534574647915,-0.28303455771365127
7.32,-0.3077388461160015,-0.3260019190170833,-0.28979000598444493
7.5,-0.31534044704952197,-0.33405876208287966,-0.2969448455403559
7.65,-0.32167703815557847,-0.34077507046891853,-0.3029088301981535
7.8,-0.3280154173500776,-0.3474934915431975,-0.308874318935852
8,-0.3364694349980508,-0.35645474882826916,-0.3168306969811788
8.2,-0.3449267851773669,-0.365419945098,-0.32478987728275277
8.4,-0.35338755624663065,-0.3743891856978938,-0.33275193355473587
8.6,-0.3618518369689537,-0.3833625765279055,-0.3407169398026915
8.8,-0.3703197165254763,-0.3923402240613427,-0.3486849703331293
9,-0.3787912845291329,-0.40132223536412714,-0.35665609976321555
9.2,-0.387266631038671,-0.41030871811441844,-0.3646304030306546
9.4,-0.3957458465729224,-0.41929978062260775,-0.3726079554037409
9.6,-0.40422902212533196,-0.4282955318516857,-0.380588832491585
9.8,-0.4127162491787497,-0.4372960814379857,-0.38857311025451713
10,-0.4212076197204845,-0.44630153971230935,-0.3965608650146696
10.2,-0.42970322625762486,-0.4553120177214364,-0.4045521734667418
10.4,-0.4382031618326321,-0.46432762725002247,-0.41254711268894695
10.6,-0.4467075200392012,-0.4733484808428838,-0.4205457601541451
10.8,-0.45521639503840117,-0.48237469182768056,-0.42854819374116415
11,-0.4637298815750861,-0.4914063743379895,-0.43655449174631106
11.2,-0.47224807499458926,-0.5004436433367747,-0.4445647328950716
11.5,-0.48503440062079706,-0.5140102750881023,-0.4565876613129143
11.8,-0.49783185936892904,-0.5275901318384633,-0.4686199091467228
12,-0.5063698463825805,-0.5366509138523002,-0.47664671912876266
12.2,-0.5149130266168161,-0.5457178704595805,-0.4846778727426456
12.5,-0.5277377517050543,-0.5593301465013873,-0.49673292602037145
12.8,-0.5405747234332804,-0.5729569974375496,-0.5087982135431032
13,-0.5491396770423671,-0.5820498671452025,-0.5168475624881713
13.2,-0.5577103278879034,-0.5911495240353707,-0.524901668150215
13.5,-0.5705772123026057,-0.6048120107252696,-0.5369919299980377
13.8,-0.5834574993086358,-0.618490481029421,-0.5490933711239852
14,-0.5920519787614154,-0.6276185557025765,-0.5571673523216729
14.2,-0.6006526795496477,-0.6367540580104868,-0.5652465176028281
14.5,-0.6135656310441674,-0.6504715268382859,-0.5773751769258567
14.8,-0.6264931891240515,-0.6642064546979489,-0.5895159946948156
15,-0.6351198591755182,-0.6733729980643235,-0.5976167764103272
15.5,-0.6567163906946618,-0.6963250954398297,-0.6178935499937427
16,-0.678356992834025,-0.719330000188452,-0.6382069250468884
16.5,-0.7000434747585271,-0.7423899518103415,-0.6585583586719308
17,-0.7217776898618735,-0.7655072512615286,-0.6789493393261854
17.5,-0.7435615381156313,-0.7886842641920426,-0.699381388488462
18,-0.7653969684660695,-0.811923424232752,-0.7198560623656484
18.5,-0.7872859812729134,-0.8352272363193569,-0.7403749536367354
19,-0.8092306307832691,-0.8585982800403396,-0.7609396932310238
19.5,-0.8312330276329969,-0.8820392129938567,-0.781551952136724
20,-0.8532953413667828,-0.905552774136646,-0.8022134432356163
20.5,-0.8754198029670093,-0.9291417871058886,-0.8229259231588427
21,-0.897608707380328,-0.9528091634927013,-0.8436911941582625
21.5,-0.9198644160295034,-0.9765579060434533,-0.864511105987115
22,-0.9421893592966866,-1.0003911117624245,-0.8853875577829973
22.5,-0.9645860389627468,-1.0243119748864289,-0.906322499945371
23,-0.9870570305856279,-1.0483237896988857,-0.9273179359989534
23.5,-1.0096049857989216,-1.0724299531474584,-0.948375924433435
24,-1.0322326345099273,-1.096633967225718,-0.9694985805089813
24.5,-1.054942786974412,-1.1209394410753908,-0.9906880780159107
25,-1.0777383357230579,-1.145350092761531,-1.0119466509758162
25.5,-1.1006222573122098,-1.1698697506684748,-1.0332765952701624
26,-1.1235976138689985,-1.1945023544596185,-1.054680270181111
27,-1.169835315815139,-1.2441227169470677,-1.0977185744806564
27.5,-1.1931042236664444,-1.2691189126179647,-1.1193582517318486
28,-1.2164776924960263,-1.2942449259184539,-1.1410817575040262
28.5,-1.2399592258116678,-1.3195052473839515,-1.1628917868705442
29,-1.263552415602839,-1.3449044715595055,-1.1847911046641717
29.5,-1.2872609413571319,-1.3704472928476212,-1.2067825458464316
30,-1.3110885685186198,-1.3961385002580484,-1.2288690156083888
30.5,-1.335039146327422,-1.4219829709480607,-1.2510534891714014
31,-1.3591166049755612,-1.4479856624353074,-1.2733390112540042
31.5,-1.3833249520100301,-1.4741516033591389,-1.295728695168682
32,-1.4076682679097197,-1.5004858826605734,-1.3182257215097946
33,-1.4567764599343545,-1.553680036595726,-1.3635548491905738
34,-1.5064750557869324,-1.6076095179042933,-1.409353104995712
35,-1.556798646091155,-1.6623156772698664,-1.4556481077576793
36,-1.6077822009083773,-1.717839115397372,-1.5024682434988192
37,-1.6594606409641806,-1.7742188127045182,-1.5498424762008085
39,-1.765038296653386,-1.8896883256294608,-1.646370443296318
40,-1.819001715333488,-1.9488376186815748,-1.6955824610739099
41,-1.873786739194646,-2.008959084839702,-1.7454643001022652
42,-1.929417581607972,-2.070064127848848,-1.796042737311616
43.2,-1.9973174810680776,-2.144688745110551,-1.8576910614235966
44.5,-2.072304058369056,-2.2271036257824193,-1.925692030715578
45.8,-2.1487789791292453,-2.31108369650653,-1.9949928478707442
47.5,-2.250983983142037,-2.423060834779597,-2.0876140194054247
48.8,-2.3307396234147655,-2.5101098569320017,-2.159970846806133
50,-2.405487831769829,-2.5913258324405737,-2.227915946103104
51.5,-2.500255898707614,-2.6936451827910224,-2.314340691794169
53,-2.596216606515762,-2.796356688940951,-2.4023020322902298
55,-2.725352169228401,-2.93289321376601,-2.521639468445663
56.5,-2.822504851270927,-3.0341822668853444,-2.612346316464287
58,-2.9193556549358903,-3.133839192124004,-2.7037239396639556
60,-3.0471117912099337,-3.2632157257685686,-2.8259410791941617
61.5,-3.141228518143987,-3.3570103159358977,-2.9173419857597116
63,-3.233360788670071,-3.4476168391371846,-3.008028763687469
64.5,-3.3230978110605793,-3.5347725886081984,-3.0975645072995777
66,-3.4101021473027813,-3.618312349509865,-3.185536070271534
67.5,-3.4941162026611723,-3.698158943169931,-3.27157065629513
68.8,-3.5643702266906137,-3.7643685121397974,-3.3443184308906524
70,-3.6270458498891482,-3.8230508453152154,-3.4098160337324934
71.5,-3.70241575063619,-3.893194219431442,-3.4892885290480398
73.2,-3.7838457481981322,-3.9685313979003976,-3.5759593824569795
75,-3.865528588992915,-4.0437223035233965,-3.663657811760386
76.5,-3.9301442585705466,-4.102989768110239,-3.7335038958348656
78,-3.99174644694264,-4.159359826768329,-3.8004258648130382
80,-4.069429401456034,-4.230313607332933,-3.885202055882459
82,-4.142337472014531,-4.296827041763442,-3.965072261728489
84,-4.210820255733738,-4.359279218489862,-4.040285891999462
86,-4.275220831482921,-4.418021815135246,-4.11112275005112
88,-4.3358667313252415,-4.473377027833303,-4.17787504997623
90,-4.393064801008581,-4.525637581365329,-4.240834610370818
92,-4.447098778870316,-4.575067982584132,-4.300284275146229
94,-4.4982286867126255,-4.621906449579585,-4.356492580637022
96,-4.546691367160632,-4.6663671465431475,-4.4097107973217975
98,-4.592701698624443,-4.708642492659822,-4.460171635561336
100,-4.636454169004246,-4.748905407110407,-4.508089068604974
102,-4.678124598641994,-4.7873114139803,-4.553658869776664
104,-4.717871880084152,-4.82400057035631,-4.597059576759661
106,-4.755839655029757,-4.859099205358999,-4.638453684728893
108,-4.792157884127414,-4.892721472398353,-4.677988935578728
110,-4.826944288267096,-4.924970725056692,-4.715799617405313
112,-4.860305654540561,-4.955940731052015,-4.75200782119436
115,-4.907885593044073,-5.000181540892254,-4.803555721405277
118,-4.952767141309547,-5.0419906932587635,-4.8520797365269175
120,-4.9813160107516765,-5.068624432173303,-4.882894504029359
122,-5.008846604031104,-5.09433712273891,-4.912572504603895
125,-5.048366909469358,-5.131297524475363,-4.955110776168764
128,-5.085921604554191,-5.166474033649818,-4.995462821639549
130,-5.109948842406283,-5.189007604859151,-5.021243815981328
132,-5.133221118874085,-5.210853956617861,-5.046188034494504
135,-5.166803177609786,-5.242414649995602,-5.082136454986911
138,-5.198904963601599,-5.272624474170481,-5.1164492431994475
140,-5.2195402102261665,-5.2920645293091635,-5.1384793795674355
142,-5.239598804312116,-5.310977203114383,-5.1598740839333175
145,-5.268667509330254,-5.338413307317251,-5.190844331566751
148,-5.296591363927208,-5.364800549950139,-5.220555947172538
150,-5.314611211708542,-5.381845530012926,-5.239709114117934
155,-5.357732193722013,-5.4226881574611765,-5.285476574295426
160,-5.398338491951071,-5.461221308445788,-5.328489148169631
165,-5.4366949488832175,-5.497686642509531,-5.369040116500138
170,-5.473030783843868,-5.532293970014969,-5.40738240238069
175,-5.507545595868527,-5.565226517742116,-5.443735515232607
180,-5.540414168829322,-5.596645163068175,-5.478291083534618
185,-5.57179035224962,-5.626691868575438,-5.511217302741501
190,-5.601810221799509,-5.655492490696936,-5.542662541436318
195,-5.630594673208732,-5.6831590937794605,-5.572758288328661
200,-5.65825156660137,-5.7097918699881625,-5.601621578570823
205,-5.684877511143318,-5.7354807425472565,-5.629357005345147
210,-5.710559359686291,-5.7603067126553,-5.6560583985080095
215,-5.735375467890018,-5.784342997453403,-5.681810233955979
220,-5.759396760763901,-5.807655996544583,-5.7066888236766316
225,-5.782687640732831,-5.830306116964984,-5.730763325995994
230,-5.805306764509336,-5.852348480617133,-5.754096607499587
235,-5.82730771074542,-5.873833533573011,-5.776745981877854
240,-5.8487395562753814,-5.894807573032054,-5.798763846085723
245,-5.869647375474721,-5.915313204848054,-5.82019823038379
250,-5.8900726746482395,-5.935389742248304,-5.841093275802358
255,-5.910053771270777,-5.95507355452956,-5.861489650158099
260,-5.929626126222449,-5.974398373030516,-5.881424911819481
270,-5.9676738891695535,-6.012094348795049,-5.920048659953199
275,-5.986208396049581,-6.030522049738162,-5.938799402402371
280,-6.004452788608068,-6.04870424189229,-5.957214011711628
285,-6.022432001017078,-6.066664937217176,-5.975318596584808
290,-6.040169429537549,-6.084426729707097,-5.993137592521906
295,-6.057687075611543,-6.102010928429623,-6.010693916774372
300,-6.075005674074628,-6.1194376768630825,-6.02800910700115
305,-6.09214480830315,-6.1367260601851825,-6.045103445635097
310,-6.109123013859009,-6.153894201936687,-6.061996071687945
315,-6.125957871981264,-6.170959351290305,-6.078705081484338
320,-6.14266609409265,-6.187937961990021,-6.095247619614132
330,-6.175765579014087,-6.221697827862881,-6.12789758659937
340,-6.208540500830936,-6.255292079694856,-6.160067036011984
350,-6.241100199406102,-6.288830220397545,-6.191866340299192
360,-6.27354593441285,-6.322414481279688,-6.223396909414339
370,-6.3059722325848035,-6.356141076362189,-6.254752635357538
390,-6.371117564318061,-6.42438213964023,-6.317284632116535
400,-6.404001292158835,-6.459067510611197,-6.348621112916698
410,-6.437196442296591,-6.494238326718129,-6.380104777080782
420,-6.4707776320603,-6.529973223232195,-6.411806807037422
432,-6.511686512341822,-6.573707495291265,-6.450234016927807
445,-6.556890620039978,-6.622277152262574,-6.492462841952121
458,-6.6031632058916045,-6.672241019001685,-6.535452734275081
475,-6.665530076546723,-6.739939782970287,-6.593047413502569
488,-6.7148241695816315,-6.793704965974889,-6.638314368875786
500,-6.761691434462749,-6.845005221329918,-6.6811664610936905
515,-6.822282755826512,-6.911548975588233,-6.736330272620635
