Freq.	V(out)
1.10000000000000e+00	(6.47872831419971e-02dB,-1.57366749071372e+01°)
1.12562229150883e+00	(6.77434742325338e-02dB,-1.61084492855005e+01°)
1.15184140285599e+00	(7.08294886501349e-02dB,-1.64892499274764e+01°)
1.17867123576137e+00	(7.40505375395767e-02dB,-1.68793124549336e+01°)
1.20612601575750e+00	(7.74119915572684e-02dB,-1.72788796887246e+01°)
1.23422029973216e+00	(8.09193803182160e-02dB,-1.76882019257904e+01°)
1.26296898364657e+00	(8.45783910773806e-02dB,-1.81075372289331e+01°)
1.29238731043348e+00	(8.83948665439100e-02dB,-1.85371517297956e+01°)
1.32249087807915e+00	(9.23748017177680e-02dB,-1.89773199455897e+01°)
1.35329564789362e+00	(9.65243396272875e-02dB,-1.94283251101185e+01°)
1.38481795297358e+00	(1.00849765834216e-01dB,-1.98904595196323e+01°)
1.41707450686245e+00	(1.05357501561747e-01dB,-2.03640248940535e+01°)
1.45008241241205e+00	(1.10054095286394e-01dB,-2.08493327540883e+01°)
1.48385917085082e+00	(1.14946212621885e-01dB,-2.13467048147248e+01°)
1.51842269106317e+00	(1.20040624307609e-01dB,-2.18564733955861e+01°)
1.55379129908503e+00	(1.25344192098882e-01dB,-2.23789818485706e+01°)
1.58998374782052e+00	(1.30863852339587e-01dB,-2.29145850031605e+01°)
1.62701922698503e+00	(1.36606596980707e-01dB,-2.34636496297191e+01°)
1.66491737327983e+00	(1.42579451790398e-01dB,-2.40265549210187e+01°)
1.70369828080373e+00	(1.48789451482821e-01dB,-2.46036929921527e+01°)
1.74338251170722e+00	(1.55243611474303e-01dB,-2.51954693988684e+01°)
1.78399110709482e+00	(1.61948895956527e-01dB,-2.58023036742293e+01°)
1.82554559818132e+00	(1.68912181957926e-01dB,-2.64246298833577e+01°)
1.86806801770792e+00	(1.76140219046257e-01dB,-2.70628971958248e+01°)
1.91158091162431e+00	(1.83639584308357e-01dB,-2.77175704750454e+01°)
1.95610735104281e+00	(1.91416632227625e-01dB,-2.83891308837893e+01°)
2.00167094447098e+00	(1.99477439066653e-01dB,-2.90780765046378e+01°)
2.04829585032915e+00	(2.07827741352593e-01dB,-2.97849229738991e+01°)
2.09600678975957e+00	(2.16472868056982e-01dB,-3.05102041271277e+01°)
2.14482905973385e+00	(2.25417666061864e-01dB,-3.12544726539908e+01°)
2.19478854646577e+00	(2.34666418510756e-01dB,-3.20183007597630e+01°)
2.24591173913648e+00	(2.44222755658739e-01dB,-3.28022808302276e+01°)
2.29822574393944e+00	(2.54089557862588e-01dB,-3.36070260962004e+01°)
2.35175829845245e+00	(2.64268850392144e-01dB,-3.44331712932840e+01°)
2.40653778634451e+00	(2.74761689799935e-01dB,-3.52813733117965e+01°)
2.46259325242517e+00	(2.85568041662740e-01dB,-3.61523118311096e+01°)
2.51995441804455e+00	(2.96686649607686e-01dB,-3.70466899318841e+01°)
2.57865169685191e+00	(3.08114895663033e-01dB,-3.79652346789084e+01°)
2.63871621092144e+00	(3.19848652133756e-01dB,-3.89086976664538e+01°)
2.70017980725353e+00	(3.31882125400279e-01dB,-3.98778555172705e+01°)
2.76307507466053e+00	(3.44207692281401e-01dB,-4.08735103255963e+01°)
2.82743536104575e+00	(3.56815729896063e-01dB,-4.18964900338693e+01°)
2.89329479108492e+00	(3.69694440310299e-01dB,-4.29476487322782e+01°)
2.96068828431960e+00	(3.82829671673107e-01dB,-4.40278668699140e+01°)
3.02965157367198e+00	(3.96204738035665e-01dB,-4.51380513661786e+01°)
3.10022122439090e+00	(4.09800240619593e-01dB,-4.62791356113676e+01°)
3.17243465343926e+00	(4.23593893959892e-01dB,-4.74520793460909e+01°)
3.24633014933302e+00	(4.37560361101512e-01dB,-4.86578684105810e+01°)
3.32194689244221e+00	(4.51671102880790e-01dB,-4.98975143571346e+01°)
3.39932497576494e+00	(4.65894247276110e-01dB,-5.11720539221716e+01°)
3.47850542618521e+00	(4.80194485863221e-01dB,-5.24825483589045e+01°)
3.55953022622591e+00	(4.94533005554586e-01dB,-5.38300826377016e+01°)
3.64244233630850e+00	(5.08867465024046e-01dB,-5.52157645292356e+01°)
3.72728571753122e+00	(5.23152026496554e-01dB,-5.66407235958069e+01°)
3.81410535497784e+00	(5.37337454884630e-01dB,-5.81061101292628e+01°)
3.90294728156932e+00	(5.51371297530584e-01dB,-5.96130940901620e+01°)
3.99385860247111e+00	(5.65198159005135e-01dB,-6.11628641227769e+01°)
4.08688752006889e+00	(5.78760086432307e-01dB,-6.27566267447225e+01°)
4.18208335952617e+00	(5.91997081553115e-01dB,-6.43956058390199e+01°)
4.27949659493708e+00	(6.04847756070585e-01dB,-6.60810426108062e+01°)
4.37917887608846e+00	(6.17250146571049e-01dB,-6.78141962112547e+01°)
4.48118305584523e+00	(6.29142704290886e-01dB,-6.95963452780817e+01°)
4.58556321817368e+00	(6.40465472953630e-01dB,-7.14287906957616e+01°)
4.69237470681751e+00	(6.51161464554717e-01dB,-7.33128599396274e+01°)
4.80167415464182e+00	(6.61178237987249e-01dB,-7.52499134366819e+01°)
4.91351951366058e+00	(6.70469678387617e-01dB,-7.72413534523549e+01°)
5.02797008576362e+00	(6.78997965576676e-01dB,-7.92886360966439e+01°)
5.14508655415917e+00	(6.86735707433286e-01dB,-8.13932871349732e+01°)
5.26493101554901e+00	(6.93668197805173e-01dB,-8.35569223884730e+01°)
5.38756701305290e+00	(6.99795737831403e-01dB,-8.57812736148062e+01°)
5.51305956989998e+00	(7.05135933303196e-01dB,-8.80682208735684e+01°)
5.64147522390500e+00	(7.09725847611393e-01dB,-9.04198324986773e+01°)
5.77288206274749e+00	(7.13623848187411e-01dB,-9.28384139224121e+01°)
5.90734976007277e+00	(7.16910931810477e-01dB,-9.53265667189196e+01°)
6.04494961243386e+00	(7.19691247579773e-01dB,-9.78872593537042e+01°)
6.18575457709383e+00	(7.22091451464565e-01dB,-1.00523911230093e+02°)
6.32983931070871e+00	(7.24258417393932e-01dB,-1.03240491696446e+02°)
6.47728020891146e+00	(7.26354689172456e-01dB,-1.06041635688432e+02°)
6.62815544681792e+00	(7.28550875148121e-01dB,-1.08932777576918e+02°)
6.78254502047629e+00	(7.31013950970266e-01dB,-1.11920304486849e+02°)
6.94053078928211e+00	(7.33890129992346e-01dB,-1.15011729703947e+02°)
7.10219651938119e+00	(7.37280569632079e-01dB,-1.18215885566710e+02°)
7.26762792808354e+00	(7.41207690879214e-01dB,-1.21543133095436e+02°)
7.43691272931178e+00	(7.45569291627262e-01dB,-1.25005581994418e+02°)
7.61014068010828e+00	(7.50076950249490e-01dB,-1.28617308773103e+02°)
7.78740362822550e+00	(7.54174511460253e-01dB,-1.32394551423277e+02°)
7.96879556082487e+00	(7.56931886956175e-01dB,-1.36355844837660e+02°)
8.15441265431007e+00	(7.56909328955135e-01dB,-1.40522040143287e+02°)
8.34435332532100e+00	(7.51988377961765e-01dB,-1.44916121659071e+02°)
8.53871828291559e+00	(7.39168918828025e-01dB,-1.49562696832898e+02°)
8.73761058196707e+00	(7.14338833592051e-01dB,-1.54486990516001e+02°)
8.94113567780507e+00	(6.72035729325700e-01dB,-1.59713136626779e+02°)
9.14940148212936e+00	(6.05241083107745e-01dB,-1.65261553481298e+02°)
9.36251842022611e+00	(5.05275802919964e-01dB,-1.71145260099114e+02°)
9.58059948951686e+00	(3.61896991867357e-01dB,-1.77365203489616e+02°)
9.80376031947117e+00	(1.63712838995742e-01dB,1.76094925223270e+02°)
1.00321192329150e+01	(-1.00991270643542e-01dB,1.69273331180531e+02°)
1.02657973087669e+01	(-4.43015788577212e-01dB,1.62232613448342e+02°)
1.05049184462358e+01	(-8.70764445423453e-01dB,1.55058412564356e+02°)
1.07496094305139e+01	(-1.38885951856882e+00dB,1.47853245599013e+02°)
1.10000000000000e+01	(-1.99727557812147e+00dB,1.40726170085492e+02°)
