Frequency,Nominal,Min,Max
1.08,2992186.3425117247,2834216.8507057955,3165818.5099770343
1.1,2932941.3529890524,2777601.308308898,3103665.6756483456
1.12,2875752.7988033816,2722948.6226799726,3043673.366300233
1.15,2793593.788173116,2644429.0253205644,2957491.644084707
1.18,2715492.1731557753,2569783.4446322913,2875571.4549627625
1.2,2665530.2532821964,2522030.739232229,2823169.40522932
1.22,2617157.703493943,2475796.096727142,2772436.1690716133
1.25,2547414.5777727403,2409133.9557491005,2699292.3055687808
1.28,2480842.481631341,2345501.677330709,2629476.873078982
1.3,2438116.197949609,2304661.910119596,2584670.199222281
1.32,2396645.0568608395,2265021.8687579324,2541180.507516947
1.35,2336672.0314821173,2207697.262025627,2478289.31231187
1.38,2279227.149887028,2152790.13220959,2418049.8501432594
1.4,2242256.524233182,2117453.573883627,2379280.7094951496
1.42,2206295.5431062756,2083082.8596403168,2341570.1650349502
1.45,2154157.8969121356,2033252.693926875,2286895.286407208
1.48,2104070.686971715,1985384.8296567413,2234369.412543147
1.5,2071759.145026579,1954506.666362049,2200483.7654041443
1.55,1994522.7188754193,1880703.146389123,2119480.564910805
1.6,1921978.0786123348,1811393.5533902368,2043390.6950804472
1.65,1853711.5145288357,1746183.3814262992,1971779.0378602997
1.7,1789357.7661783977,1684724.222826091,1904261.5205773504
1.75,1728593.0805447348,1626707.1621639293,1840497.8043464315
1.8,1671129.4293954426,1571857.2740592158,1780185.1927443976
1.85,1616709.6664580086,1519929.0158512888,1723053.5298704514
1.9,1565103.4512249306,1470702.3501794476,1668860.9055086204
1.95,1516103.801711639,1423979.4663285527,1617390.0224912488
2,1469524.166018445,1379581.9954217616,1568445.11033509
2.05,1425195.9240339966,1337348.6350095568,1521849.291835452
2.1,1382966.247501465,1297133.1146876009,1477442.3270731177
2.15,1342696.2600197894,1258802.44709505,1435078.6733395024
2.2,1304259.4491737387,1222235.4187635838,1394625.8106633658
2.25,1267540.291484735,1187321.2833837566,1355962.791565372
2.3,1232433.0577107947,1153958.626568494,1318978.980860698
2.35,1198840.7715519702,1122054.3764603909,1283572.9571470434
2.4,1166674.2993099988,1091522.9388095296,1249651.552342205
2.45,1135851.5517184283,1062285.4386428252,1217129.0094946953
2.5,1106296.7821675371,1034269.0535118207,1185926.242255754
2.55,1077939.9680257866,1007406.4256660219,1155970.1820079847
2.6,1050716.2638085578,981635.1424509663,1127193.2008017672
2.7,999431.835920845,933138.973444722,1072930.1563491172
2.75,975263.2101288318,910310.094179445,1047331.7173032427
2.8,952011.1650180172,888363.8833008708,1022686.8407539752
2.85,929630.4578911049,867256.6815946626,998948.4723528553
2.9,908078.8036713359,846947.6647526443,976072.6566370769
2.95,887316.6289283213,827398.6092563423,954018.277661599
3,867306.8505713925,808573.6816531835,932746.8257032632
3.05,848014.6763524412,790439.2485143187,912222.1870195084
3.1,829407.424691686,772963.7047162007,892410.4540355568
3.15,811454.361658013,756117.3179904954,873279.7536692341
3.2,794126.5532088754,739872.0879466119,854800.0917906944
3.3,761239.1705196088,709080.9987899205,819682.4676197327
3.4,730544.9974641132,680396.483224118,786850.1537756784
3.5,701865.1231211224,653645.1975785616,756117.9740295273
3.6,675039.1514191589,628671.6766942226,727320.0086023144
3.7,649922.8049314907,605336.036586739,700307.082134716
3.9,604310.6341862488,563085.401792659,651110.9765625079
4,583590.1082389851,543952.4622586442,628695.6545000011
4.1,564127.0801482318,526018.8898464303,607598.2432781744
4.2,545832.8761252547,509198.6783303775,587727.1664460254
4.32,525309.0609663201,490373.873970501,565383.3016305914
4.45,504695.73965010996,471519.45752215246,542882.5989956731
4.58,485626.70776286745,454128.70669133286,522009.2523845199
4.75,462805.0155119879,433386.7293226196,496946.2789893391
4.88,446823.1319234628,418911.9512503983,479335.9488881657
5,433102.1553707162,406521.29335028864,464174.1808340441
5.15,417229.09301775985,392232.7435340047,446580.4199746112
5.3,402655.6972485097,379160.8396652535,430371.3161266028
5.5,385046.69272579224,363431.6560321951,410706.41528934694
5.65,373073.2023235038,352781.257596818,397279.8590284916
5.8,362054.63297498313,343015.28968952614,384880.4801743972
6,348707.4480847405,331234.253841008,369798.9861469302
6.15,339610.1301693036,323237.5846063642,359477.0543817006
6.3,331222.0948206569,315890.0883501791,349926.4462479694
6.45,323483.8539644883,309135.10694335727,341084.93825389055
6.6,316341.28148932254,302921.2386923267,332895.7862441751
6.75,309745.0734148085,297201.807614535,325307.1717170543
