Frequency,Nominal,Min,Max
1.08,-95.06143726842252,-96.3783118140985,-93.72400585214204
1.1,-95.13108871499725,-96.469343173973,-93.77198469829241
1.12,-95.19951143787465,-96.55899742377002,-93.81888963216824
1.15,-95.299810529273,-96.69086265165723,-93.88720573237876
1.18,-95.39726625001674,-96.81954329596722,-93.95303540225196
1.2,-95.46063482599689,-96.90353690160742,-93.99552064982817
1.22,-95.52270681406385,-96.98607930539428,-94.03687148851509
1.25,-95.61335640966169,-97.10714223227406,-94.0967463454045
1.28,-95.70101983824955,-97.22486513779761,-94.15400722205597
1.3,-95.75778381326482,-97.30147054971377,-94.19071161879872
1.32,-95.81319211723617,-97.37656064444353,-94.22622872484288
1.35,-95.89373922035666,-97.48632920179551,-94.27725715352804
1.38,-95.97117700512445,-97.59262452264497,-94.32556115472221
1.4,-96.0210583454834,-97.66154077446869,-94.35623546030892
1.42,-96.06953358709012,-97.72888734113529,-94.38567715897139
1.45,-96.13959027631132,-97.82694284454483,-94.42751078724292
1.48,-96.20643374322835,-97.92141347210587,-94.46652643388943
1.5,-96.24919728078984,-97.98238769349115,-94.49095899923007
1.55,-96.34975458274192,-98.12774198672088,-94.54646742908723
1.6,-96.44115010926714,-98.26288642281605,-94.59393470287301
1.65,-96.52328421330442,-98.38771535700943,-94.63327054192034
1.7,-96.59606937462593,-98.5021364031232,-94.66439554405768
1.75,-96.65942988244339,-98.60607001798888,-94.68724094645233
1.8,-96.71330150268349,-98.69944907217791,-94.7017483724477
1.85,-96.75763113284957,-98.78221841065479,-94.7078695646848
1.9,-96.7923764472326,-98.85433440673309,-94.705566106705
1.95,-96.81750553506606,-98.91576451246783,-94.6948091351219
2,-96.83299653403927,-98.96648680836331,-94.67557904433868
2.05,-96.83883726140347,-99.00648955502241,-94.64786518566049
2.1,-96.83502484471437,-99.0357707491043,-94.61166556252532
2.15,-96.82156535406864,-99.0543376857024,-94.56698652344413
2.2,-96.7984734375031,-99.06220652900878,-94.5138424541101
2.25,-96.76577196104061,-99.0594018928857,-94.45225547000048
2.3,-96.72349165468903,-99.04595643273711,-94.38225511066621
2.35,-96.6716707655237,-99.02191044984852,-94.3038780367748
2.4,-96.61035471881894,-98.98731150915579,-94.2171677308454
2.45,-96.539595788035,-98.94221407120678,-94.12217420249613
2.5,-96.45945277431849,-98.88667913889515,-94.0189536989083
2.55,-96.36999069603343,-98.82077391937663,-93.90756842110223
2.6,-96.27128048871052,-98.74457150142192,-93.78808624651644
2.7,-96.04642728955429,-98.56159500628291,-93.52512948153627
2.75,-95.92045320458786,-98.45499382830953,-93.38181662688343
2.8,-95.78556827992722,-98.33844071311158,-93.23072984134804
2.85,-95.64186891358783,-98.21203385892693,-93.07196146670428
2.9,-95.48945584699804,-98.0758757317111,-92.90560800532035
2.95,-95.328433939849,-97.93007284725739,-92.73176989344152
3,-95.1589119549471,-97.7747355666938,-92.55055128183588
3.05,-94.98100235271473,-97.60997790476516,-92.36205982367599
3.1,-94.79482109494776,-97.43591735026219,-92.1664064694956
3.15,-94.60048745740583,-97.25267469792777,-91.96370526902956
3.2,-94.3981238507847,-97.060373891143,-91.75407317972007
3.3,-93.96981102851936,-96.64910845678557,-91.31449759866081
3.4,-93.51091829197075,-96.20317019907758,-90.84866665981103
3.5,-93.02252124218283,-95.7236501304064,-90.35760259464215
3.6,-92.50573087806015,-95.21167755636515,-89.8423578266211
3.7,-91.96168937653496,-94.66841687329456,-89.30401017375829
3.9,-90.79655401188789,-93.49284686039256,-88.16241756650915
4,-90.17786574611628,-92.86301634409082,-87.5614157076654
4.1,-89.53673046370729,-92.20685017309194,-86.94178921911063
4.2,-88.87439028510424,-91.52564711994079,-86.30467952581053
4.32,-88.05335457524579,-90.6770114738079,-85.518679069665
4.45,-87.13399787809382,-89.72179098648132,-84.64291039654042
4.58,-86.18624347039736,-88.75264744430145,-83.7133894880386
4.75,-84.90862190153672,-87.53125270518348,-82.39209863387283
4.88,-83.90585689329211,-86.56651277511254,-81.36103310665892
5,-82.96300216687494,-85.6548324269828,-80.39600714139449
5.15,-81.76444954550563,-84.4898579490622,-79.17507825092221
5.3,-80.54742071772297,-83.30035978354347,-77.90228277477512
5.5,-78.90265856628298,-81.68288694111442,-76.13335996510294
5.65,-77.65735345332858,-80.45105276730011,-74.80339874868937
5.8,-76.40591485728801,-79.27502761206887,-73.47474750585278
6,-74.73352346199225,-77.71481256981804,-71.71111276991974
6.15,-73.48039745170651,-76.53778800506129,-70.39832267403763
6.3,-72.23146847684332,-75.35799094892741,-69.0971503076957
6.45,-70.98937861496981,-74.17805559664203,-67.81008348312143
6.6,-69.75654910433633,-73.00045498356656,-66.53933383247764
6.75,-68.53517925985949,-71.82749487421552,-65.28684371490809
6.88,-67.48746351969217,-70.81633732119217,-64.21742932944454
7,-66.53030547516067,-69.88859221154121,-63.24439482459458
7.15,-65.34858421961384,-68.73797029189282,-62.04815703725349
7.32,-64.03073456709807,-67.44806054740113,-60.72058337366556
7.5,-62.66205015012658,-66.10094191909253,-59.348811240882696
7.65,-61.54366649905075,-64.99460420443005,-58.233053556768795
7.8,-60.446317309182916,-63.90425600283936,-57.142652408266905
