Frequency,Nominal,Min,Max
1.08,5.249505628877783e-7,5.217470471978774e-7,5.283440853476156e-7
1.1,5.259692338872583e-7,5.226624049829119e-7,5.294725445106392e-7
1.12,5.270058260705721e-7,5.235939744061808e-7,5.306207107452386e-7
1.15,5.285942355323284e-7,5.250216634630495e-7,5.32379806593572e-7
1.18,5.302227583246536e-7,5.264856687414514e-7,5.341829741139465e-7
1.2,5.313306626025305e-7,5.27481799926602e-7,5.354094894119817e-7
1.22,5.324563005602441e-7,5.284939993710571e-7,5.366554707880744e-7
1.25,5.341779246377476e-7,5.300423625581952e-7,5.38560834610216e-7
1.28,5.359392341057179e-7,5.316267142851081e-7,5.405097208791809e-7
1.3,5.371354235469638e-7,5.327028930753623e-7,5.418330751410052e-7
1.32,5.38349154277726e-7,5.337949926059794e-7,5.43175648919872e-7
1.35,5.402025552031461e-7,5.354629279352573e-7,5.452254373311576e-7
1.38,5.420952048792832e-7,5.371665165438172e-7,5.473181894088526e-7
1.4,5.433787110106617e-7,5.383219995280073e-7,5.48737142898319e-7
1.42,5.446795631776135e-7,5.394932531287541e-7,5.501750663876354e-7
1.45,5.466632794404411e-7,5.412796373530088e-7,5.523674109129828e-7
1.48,5.486858035797636e-7,5.431013354276172e-7,5.546021564955364e-7
1.5,5.500556475287103e-7,5.443353691748134e-7,5.561154597008951e-7
1.55,5.535552023357026e-7,5.474887221556215e-7,5.599805086819617e-7
1.6,5.571613323613839e-7,5.50739223961773e-7,5.639617801427079e-7
1.65,5.608734289158137e-7,5.540864038420055e-7,5.680585009402483e-7
1.7,5.646908874423631e-7,5.575297936756064e-7,5.722699041366273e-7
1.75,5.686131087925748e-7,5.610689289889807e-7,5.765952305632105e-7
1.8,5.726395004520052e-7,5.647033499394921e-7,5.810337303156262e-7
1.85,5.767694777169136e-7,5.684326022658086e-7,5.8558466418049e-7
1.9,5.810024648221696e-7,5.722562382043032e-7,5.902473049958465e-7
1.95,5.853378960212069e-7,5.76173817371406e-7,5.950209389478943e-7
2,5.897752166192938e-7,5.801849076120974e-7,5.999048668071403e-7
2.05,5.943138839617989e-7,5.84289085815024e-7,6.048984051076493e-7
2.1,5.989533683794899e-7,5.884859386950132e-7,6.100008872735001e-7
2.15,6.03693154093236e-7,5.927750635439767e-7,6.152116646969871e-7
2.2,6.085327400807906e-7,5.971560689514696e-7,6.205301077733998e-7
2.25,6.134716409085771e-7,6.016285754963506e-7,6.259556068975388e-7
2.3,6.185093875316409e-7,6.061922164111988e-7,6.314875734273183e-7
2.35,6.236455280651099e-7,6.108466382213093e-7,6.37125440619988e-7
2.4,6.288796285306663e-7,6.155915013602375e-7,6.428686645466207e-7
2.45,6.342112735816596e-7,6.204264807639923e-7,6.487167249905757e-7
2.5,6.396400672105731e-7,6.253512664460931e-7,6.546691263356627e-7
2.55,6.451656334426256e-7,6.303655640557876e-7,6.607253984497022e-7
2.6,6.507876170193141e-7,6.354690954218038e-7,6.668850975691046e-7
2.7,6.623195228152593e-7,6.459428308157805e-7,6.795131389710658e-7
2.75,6.682288441859267e-7,6.513125641385202e-7,6.859807336538116e-7
2.8,6.742333825611507e-7,6.567705908325245e-7,6.925502620042399e-7
2.85,6.803328964293555e-7,6.623167214449248e-7,6.992214257815576e-7
2.9,6.865271690953347e-7,6.679507857981728e-7,7.059939587377044e-7
2.95,6.928160093968344e-7,6.73672633501101e-7,7.128676276519577e-7
3,6.991992524394524e-7,6.794821344649205e-7,7.198422334042876e-7
3.05,7.056767603527975e-7,6.853791794264076e-7,7.269176120908062e-7
3.1,7.122484230706484e-7,6.913636804804357e-7,7.340936361842504e-7
3.15,7.189141591376341e-7,6.974355716239058e-7,7.413702157420381e-7
3.2,7.256739165447363e-7,7.035948093130296e-7,7.487472996640006e-7
3.3,7.394754398057989e-7,7.161752659012674e-7,7.638029783188325e-7
3.4,7.536531994586139e-7,7.291051732685281e-7,7.792610912596037e-7
3.5,7.682079322142679e-7,7.423850523093281e-7,7.951227683672201e-7
3.6,7.83140937647531e-7,7.560158429156251e-7,8.114982400085571e-7
3.7,7.984541133282657e-7,7.699989265683778e-7,8.283434481220467e-7
3.9,8.302317828740688e-7,7.98688308122925e-7,8.633469511900703e-7
4,8.467034103568385e-7,8.133822836526444e-7,8.817378054296484e-7
4.1,8.635695607836001e-7,8.284106408921067e-7,9.005947608197121e-7
4.2,8.808357259812553e-7,8.4377778652885e-7,9.19924934378068e-7
4.32,9.020921385172436e-7,8.626729188643128e-7,9.437571549002681e-7
4.45,9.257950578821146e-7,8.837138720123284e-7,9.703757513681005e-7
4.58,9.502184415433297e-7,9.053642139366994e-7,9.978490612918278e-7
4.75,9.832802007102798e-7,9.34626257463356e-7,0.0000010351092357714767
4.88,0.0000010094539079010449,9.577565680202292e-7,0.0000010646604529964231
5,0.0000010343271232939389,9.79710150781968e-7,0.0000010927851011912554
5.15,0.0000010664207050817098,0.000001007998729390839,0.0000011291311945346669
5.3,0.0000010996792593030985,0.000001037270899190462,0.0000011668614874051367
5.5,0.000001145942891146264,0.000001077918773628416,0.0000012194498060111162
5.65,0.000001182168674166286,0.0000011096914635883732,0.0000012607091727424609
5.8,0.0000012197878783960627,0.0000011426354097451752,0.0000013036283240885731
6,0.0000012722564018588637,0.0000011884978473573734,0.0000013636087930801287
6.15,0.0000013134540640101212,0.0000012244396479039786,0.000001410799863067007
6.3,0.0000013563375713930466,0.0000012617888409799378,0.000001460008187334527
6.45,0.0000014010037230206272,0.0000013006232087309522,0.000001511352349212046
6.6,0.0000014475513287283553,0.0000013410222795793544,0.000001564952910797433
6.75,0.0000014960793299601193,0.0000013830661195622911,0.000001620929488748416
6.88,0.0000015398136630755045,0.0000014208957254911773,0.0000016714534142250537
7,0.0000015816203337614286,0.0000014570077142194857,0.0000017198113766467071
7.15,0.0000016358853206574068,0.0000015038150793889224,0.0000017826557042807645
7.32,0.000001700165612816016,0.0000015591796501576094,0.0000018571830341874768
7.5,0.0000017715270166811929,0.0000016205659246093016,0.0000019399791032593663
7.65,0.0000018336154250130588,0.0000016739374981016902,0.000002012014869714444
7.8,0.0000018980684397280518,0.0000017293372577175852,0.0000020867317615710927
8,0.0000019875599803715374,0.0000018063232662654765,0.0000021902344440258335
8.2,0.000002080795302312555,0.0000018867330250659173,0.0000022975399090017087
8.4,0.000002177184374328192,0.000001970265170173037,0.000002407565860659703
8.6,0.0000022758124619160455,0.0000020564189531064635,0.0000025187182601767075
8.8,0.0000023753718136899476,0.0000021444457927883516,0.0000026288109209684805
9,0.000002474106361941528,0.0000022333018498350704,0.0000027350310035500547
9.2,0.00000256978841827424,0.000002321609775153169,0.000002833988236997312
9.4,0.0000026597514849002805,0.000002407641550841869,0.000002921885732826716
9.6,0.0000027410034167954594,0.0000024893373813436997,0.0000029948330288429
9.8,0.000002810434612747089,0.0000025643759421430767,0.000003049282746075109
10,0.0000028651137909055885,0.00000263030650344071,0.000003082518339448127
10.2,0.000002902632153726076,0.000002684741750862953,0.0000030930756072444234
10.4,0.0000029214267966620294,0.0000027255923327529173,0.0000030809756099701472
10.6,0.000002921002854603133,0.0000027513052222346623,0.0000030476963765300263
10.8,0.0000029019930709114464,0.000002761056351579191,0.0000030120658830902195
11,0.0000028660394941289685,0.0000027548516515082944,0.0000029730826086704515
11.2,0.0000028155345851372485,0.0000027175452444324015,0.000002918477357639838
11.5,0.0000027186881629187533,0.000002628189286739182,0.0000028141209100997658
11.8,0.0000026051277320181486,0.0000025215998226567187,0.000002692271977932174
12,0.0000025244138909642125,0.0000024413415323585386,0.0000026111864911105385
12.2,0.0000024421351589836023,0.0000023604029094289834,0.0000025279159409730797
12.5,0.000002319217164484306,0.0000022406664873397386,0.0000024020937109954807
12.8,0.00000220019235230918,0.0000021256741403643623,0.0000022790867121205785
13,0.0000021241852024959562,0.0000020525909027100862,0.000002200145002918303
13.2,0.0000020513270024876484,0.0000019826381298942334,0.000002124258857609297
13.5,0.0000019483653698163614,0.000001882773317620254,0.000002016694029993545
13.8,0.0000018531371674172058,0.000001790378253733297,0.000001917780438053912
14,0.0000017938660729865372,0.0000017332703117117088,0.0000018572249706094463
14.2,0.000001737837990843206,0.0000016795194626815537,0.0000017995917103608846
14.5,0.0000016595616546200097,0.0000016047366110619566,0.0000017185028106448154
14.8,0.0000015877248100230142,0.0000015363599538309358,0.000001643596336636826
15,0.0000015431363373460264,0.0000014940138963628003,0.0000015969086372314338
15.5,0.0000014420526858222472,0.0000013982023987618939,0.0000014906377824223849
16,0.0000013539522021519888,0.000001314820523917911,0.0000013976701291777754
16.5,0.0000012767867854705027,0.0000012418100849819336,0.0000013160893707668204
17,0.0000012088332355865283,0.0000011774869722415068,0.000001244200570439531
17.5,0.000001148662674659233,0.0000011203223976030738,0.0000011805542933484078
18,0.0000010950969387186406,0.0000010689607086311901,0.000001123931338627972
18.5,0.0000010471652497402125,0.0000010229558751872372,0.000001073313688394782
19,0.0000010040659901520987,9.81550778964234e-7,0.0000010278531615208788
19.5,9.651347249179254e-7,9.441174168678785e-7,9.872111080065701e-7
20,9.29818142127978e-7,9.101323445047414e-7,9.504785437305071e-7
20.5,8.976530885204798e-7,8.791569696144378e-7,9.170499624347476e-7
21,8.68249797590873e-7,8.508218053863301e-7,8.865136560810491e-7
21.5,8.412784894777752e-7,8.248138946120616e-7,8.58521654754668e-7
22,8.164586512979275e-7,8.008667485148933e-7,8.327782928639752e-7
22.5,7.935504373792439e-7,7.787522719319674e-7,8.09031039226202e-7
23,7.723477438440852e-7,7.582742565963981e-7,7.870631165383635e-7
23.5,7.526726070215367e-7,7.392631142221513e-7,7.666875358866277e-7
24,7.34370651210967e-7,7.215715926315474e-7,7.477422526996211e-7
24.5,7.17307371132165e-7,7.050712742265036e-7,7.300862143506691e-7
25,7.013650810207812e-7,6.896496997092777e-7,7.135961194766924e-7
25.5,6.864403985193747e-7,6.752079937660464e-7,6.981637478469519e-7
26,6.724421595771816e-7,6.616588956258562e-7,6.836937496976891e-7
27,6.469113150322668e-7,6.369379716142226e-7,6.573130957104024e-7
27.5,6.352432157577723e-7,6.256362122568098e-7,6.452609977511009e-7
28,6.242283230676557e-7,6.149650621898615e-7,6.338860114867796e-7
28.5,6.1381548355248e-7,6.048753837989776e-7,6.231348320037475e-7
29,6.039587097098382e-7,5.953229746185595e-7,6.129595683004138e-7
29.5,5.94616546136216e-7,5.862679650023186e-7,6.03317075470853e-7
30,5.857515262233793e-7,5.776743013962103e-7,5.941683827102148e-7
30.5,5.773297047665098e-7,5.695093014695914e-7,5.854782016259032e-7
31,5.693202544908297e-7,5.617432697996489e-7,5.772145021127542e-7
31.5,5.616951165997032e-7,5.543491647726653e-7,5.693481452859041e-7
32,5.544286971447103e-7,5.473023089610226e-7,5.618525647739056e-7
33,5.408804075373809e-7,5.341619723127677e-7,5.478786994327064e-7
34,5.285106705730864e-7,5.221632816014173e-7,5.351221155746508e-7
35,5.171803470116286e-7,5.111718424428994e-7,5.234386564500022e-7
