Frequency,Nominal,Min,Max
1.08,-15.460730833830999,-16.292752108034637,-14.643652273662033
1.1,-15.750961400640131,-16.598949049880673,-14.918257014057344
1.12,-16.04140408133147,-16.905387337152636,-15.19304779975784
1.15,-16.477473502318272,-17.36550583187423,-15.605589699230336
1.18,-16.91403987362898,-17.826189216357964,-16.01856785894895
1.2,-17.20536598119906,-18.133631695014518,-16.294134190861783
1.22,-17.496921591451,-18.44133478693858,-16.569902184433694
1.25,-17.93469279632517,-18.903386312537748,-16.983939029977236
1.28,-18.37299951790747,-19.36604529069039,-17.398446891402934
1.3,-18.665507113615973,-19.67482823564756,-17.675052216362953
1.32,-18.958261093176613,-19.983890343568913,-17.951874472924132
1.35,-19.39786126933462,-20.448014841427838,-18.367521183908057
1.38,-19.83803433381204,-20.9127876638028,-18.78367285147636
1.4,-20.131806733315248,-21.223002280415642,-19.061392775798566
1.42,-20.425841843301903,-21.53351382466601,-19.339344523598836
1.45,-20.867394071978282,-21.999845423884516,-19.756713219579403
1.48,-21.309555259618868,-22.466864377376158,-20.17461992629141
1.5,-21.60467291116654,-22.77859781089511,-20.45352810210351
1.55,-22.343691898839687,-23.55931159517842,-21.15188234438982
1.6,-23.08449866766904,-24.342037491924135,-21.85182017641429
1.65,-23.82713979757985,-25.126824724555803,-22.553385111862205
1.7,-24.571660778293417,-25.913720971581427,-23.25661992287156
1.75,-25.318105971926123,-26.702772313618084,-23.96156661480187
1.8,-26.066518575708454,-27.49402318069649,-24.668266401064884
1.85,-26.816940584891853,-28.287516299960856,-25.376759678057564
1.9,-27.569412755916904,-29.083292643887855,-26.087086000240937
1.95,-28.32397456992238,-29.881391379157133,-26.799284055411515
2,-29.08066419667894,-30.68184981631464,-27.5133916402159
2.05,-29.839518459038697,-31.48470336037866,-28.22944563596229
2.1,-30.60057279799553,-32.28998546254661,-28.94748198478614
2.15,-31.363861238457734,-33.09772757316934,-29.66753566623127
2.2,-32.12941635583967,-33.907959096167026,-30.38964067431042
2.25,-32.89726924358435,-34.72070734506924,-31.113829995113182
2.3,-33.66744948173402,-35.53599750086828,-31.84013558503328
2.35,-34.43998510667129,-36.35385257188214,-32.56858834968905
2.4,-35.214902582157045,-37.1742933558293,-33.29921812361644
2.45,-35.99222677179789,-37.997338404324545,-34.03205365081519
2.5,-36.77198091307785,-38.82300399000733,-34.76712256623331
2.55,-37.55418659309502,-39.651304076522166,-35.50445137827782
2.6,-38.338863726146165,-40.482250291570494,-36.24406545244197
2.7,-39.91570352415163,-42.152115799964214,-37.730245044866926
2.75,-40.70789748078097,-42.99104647395493,-38.47685544971669
2.8,-41.50262544428341,-43.83264600897079,-39.225840866468715
2.85,-42.2998987038128,-44.676914072007634,-39.97722074623595
2.9,-43.09972678842077,-45.523847909513464,-40.731013327844956
2.95,-43.90211746180499,-46.3734423482173,-41.48723563203119
3,-44.70707672012681,-47.22568980080061,-42.24590345756011
3.05,-45.51460879305133,-48.0805802766152,-43.00703137938152
3.1,-46.32471614816166,-48.93810139764313,-43.770632748924854
3.15,-47.13739949889402,-49.79823841988491,-44.5367196966435
3.2,-47.952657816139364,-50.66097426035029,-45.305303136916386
3.3,-49.59088661738928,-52.39416257148562,-46.84999711902463
3.4,-51.2393601531268,-54.13748428091856,-48.40477803370895
3.5,-52.89800955066245,-55.89072263704877,-49.969690509836084
3.6,-54.56674055658494,-57.653628117831964,-51.54476109992949
3.7,-56.245434917635166,-59.42592077035522,-53.129999109282146
3.9,-59.63213106973564,-62.99810711646187,-56.330934803515476
4,-61.33979299130524,-64.79886683848004,-57.94657527855387
4.1,-63.05674342244324,-66.60788597175494,-59.57052405006615
4.2,-64.78277542375912,-68.42479783923183,-61.2038734607636
4.32,-66.86569653299199,-70.61498432663713,-63.176685109430686
4.45,-69.13615454807402,-72.99915350041739,-65.3294810585873
4.58,-71.42065237846991,-75.3944590935089,-67.49829001811004
4.75,-74.42846209169811,-78.54230006641941,-70.35826006040452
4.88,-76.74357697789225,-80.96043653550598,-72.56329357110631
5,-78.89178645919621,-83.20040019909212,-74.61240955137355
5.15,-81.5917471508904,-86.01031112359341,-77.19217291692419
5.3,-84.3077124158793,-88.8307526947245,-79.79228663853162
5.5,-87.95363469873699,-92.60722586153007,-83.29089414546632
5.65,-90.7066840351988,-95.4515657934553,-85.93902847554767
5.8,-93.47612337503683,-98.32073892513182,-88.60842147237888
6,-97.19552264344333,-102.18261440957698,-92.17077045599065
6.15,-100.00666588762508,-105.09941921684238,-94.86526106574314
6.3,-102.8380554203788,-108.0363758909093,-97.58066687924504
6.45,-105.69170763826217,-110.99648455659568,-100.31831103494268
6.6,-108.5700844860593,-113.98332507925767,-103.0798420519914
6.75,-111.47611521163662,-117.00107644709645,-105.86725566707432
6.88,-114.01966980483608,-119.64515152876113,-108.30576591966367
7,-116.3904481327,-122.1126438627328,-110.57704808410077
7.15,-119.38825783675199,-125.23791585739968,-113.44606574572879
7.32,-122.83754472019824,-128.84247032630037,-116.7418528068929
7.5,-126.55788510536964,-132.74246445277387,-120.28869621290352
7.65,-129.7187511930301,-136.06722814604882,-123.29451417894946
7.8,-132.9412783495893,-139.46845993075164,-126.35081991974138
8,-137.34514771690053,-144.1365616390501,-130.51300961008874
8.2,-141.88601857176633,-148.97450842889475,-134.78611569428844
8.4,-146.57956652021116,-154.00039031345855,-139.1828514784091
8.6,-151.44033213925323,-159.22937069246413,-143.71573702718732
8.8,-156.48039559037278,-164.6715061169857,-148.39632888822456
9,-161.7077060931508,-170.3291507361012,-153.23421307743493
9.2,-167.12412440136126,-176.19418643279803,-158.23575791666505
9.4,-172.72334424161568,-182.24553491999083,-163.40266741284148
9.6,-178.48899505724006,-188.44760658623406,-168.73044272188312
9.8,-184.39335655959303,-194.7504048628809,-174.20694322754753
10,-190.39716981579141,-201.09180646173357,-179.81132059260227
10.2,-196.4509349878925,-207.4020347563575,-185.51364400766724
10.4,-202.49780516391777,-213.6096715538122,-191.2755004729565
10.6,-208.4777716011129,-219.64800887136087,-197.0517117312982
10.8,-214.33243967505044,-225.4604160915721,-202.79307204604
11,-220.0094990594515,-231.00376063695822,-208.44974595299067
11.2,-225.4660952452893,-236.24957061970986,-213.97477449137887
11.5,-233.1717447377163,-243.53176137421107,-221.92784046911729
11.8,-240.25424862671804,-250.11203739425753,-229.39058254062513
12,-244.6233169016456,-254.12619629078466,-234.06270087536004
12.2,-248.71668436019263,-257.8612534031784,-238.4831926443402
12.5,-254.36508829570846,-262.9823330635544,-244.64353108096154
12.8,-259.4683223483261,-267.58482243125235,-250.2596257004533
13,-262.59499173101995,-270.39693045159703,-253.71925726691802
13.2,-265.5206611596206,-273.02485388162387,-256.9665420556325
13.5,-269.56713901286156,-276.6567373946166,-261.4697225445105
13.8,-273.2475292499469,-279.9598677460291,-265.57313384407007
14,-275.5201494075598,-282.0005369684603,-268.1087371168931
14.2,-277.66206513552333,-283.9251078667571,-270.4987530637158
14.5,-280.65333999368414,-286.6156682645709,-273.83552878483255
14.8,-283.40719203823255,-289.0963297665873,-276.9050621961195
15,-285.125159852337,-290.64595460298057,-278.8182239015391
15.5,-289.0592142753948,-294.20141081317684,-283.19258320756313
16,-292.551577228033,-297.3666334160713,-287.0662829347759
16.5,-295.6772348625509,-300.2072951990036,-290.52434739243165
17,-298.4951885173091,-302.77496057530396,-293.6340994022195
17.5,-301.05232302291546,-305.1106013021098,-296.44919457307486
18,-303.3862889960109,-307.2471577374691,-299.01275619753403
18.5,-305.52764142755984,-309.21141333579675,-301.3597620250995
19,-307.5014306390178,-311.02537767835565,-303.51884888038575
19.5,-309.32839333599793,-312.7073169916642,-305.5136775310862
20,-311.02585167801016,-314.27253019196434,-307.36396944204023
20.5,-312.6083982274648,-315.73393963883643,-309.0862994834369
21,-314.0884227961399,-317.102545655471,-310.69470676511696
21.5,-315.4765215892171,-318.3877798607813,-312.2011692645272
22,-316.78181794224747,-319.59778256965194,-313.6159757756954
22.5,-318.012216046471,-320.73962263627027,-314.948019871112
23,-319.1746034151651,-321.81947323974,-316.2050341578136
23.5,-320.2750137886259,-322.8427536260879,-317.3937784516519
24,-321.3187592400429,-323.81424430672155,-318.5201920968202
24.5,-322.31053810283976,-324.73818138288186,-319.5895181663205
25,-323.2545237645591,-325.61833432044,-320.60640543993776
25.5,-324.1544382037096,-326.4580705018374,-321.5749926890965
26,-325.01361327194394,-327.26040913567783,-322.4989787741859
27,-326.6214222243082,-328.7634943978801,-324.22608588907576
27.5,-327.3751926300576,-329.46891221705965,-325.0348880298868
28,-328.09856464577905,-330.14633504850326,-325.8105284177509
28.5,-328.793548850674,-330.7975972250978,-326.55522330355075
29,-329.46197801122304,-331.4243728039428,-327.27099046254847
29.5,-330.1055269044249,-332.02819323514325,-327.9596715768414
30,-330.7257294921071,-332.6104626941337,-328.62295159536677
30.5,-331.3239938563928,-333.17247143582324,-329.2623755437334
31,-331.90161523468157,-333.71540746671815,-329.8793631728973
31.5,-332.45978743469016,-334.24036678099424,-330.47522176868586
32,-332.99961286323355,-334.74836236575544,-331.05115738994544
33,-334.02822803040766,-335.71714602432553,-332.14763599197136
34,-334.9947632434369,-336.628482270102,-333.1767709853505
35,-335.90552883568245,-337.4881903559618,-334.14544003467256
36,-336.7660102968574,-338.30133618108135,-335.0596127282424
37,-337.58100228080616,-339.0723536512616,-335.92449942539247
39,-339.0908718577196,-340.5031506189021,-337.5241578458245
40,-339.79276300586366,-341.1694356915904,-338.2665270195304
41,-340.4633240400053,-341.80672406767064,-338.9749510543608
42,-341.10517636955785,-342.4174540927551,-339.6522613670612
43.2,-341.8407966507348,-343.11833943427825,-340.4275164405987
44.5,-342.5990614101397,-343.8419229106139,-341.2254366416492
45.8,-343.3210631020995,-344.53204672348005,-341.9839811771941
47.5,-344.2163877725236,-345.3895297188776,-342.922837144739
48.8,-344.86765233483237,-346.0145432653481,-343.6044262014737
50,-345.445748528418,-346.57030957730103,-344.20842288436705
51.5,-346.14019527175964,-347.2392279630884,-344.9326319852991
53,-346.80642945642734,-347.88239565907156,-345.6259391332039
55,-347.6559111709222,-348.70465284179994,-346.50767714035794
56.5,-348.2672432344281,-349.29802203047933,-347.1405416655332
58,-348.85901814089414,-349.8737965076111,-347.75173276508957
60,-349.62111548089393,-350.61742331417526,-348.53664439096974
61.5,-350.17482640686353,-351.15930570637005,-349.10530269366615
63,-350.71502892041076,-351.6893231318314,-349.65870444087193
64.5,-351.2431857903462,-352.2088665432615,-350.1983957763762
66,-351.7606319902915,-352.71920767683656,-350.7257853441762
67.5,-352.2685897945154,-353.2215130955672,-351.2421605812136
68.8,-352.70201485144725,-353.6511763812551,-351.681691190389
70,-353.0971094204913,-354.04370961189653,-352.081471933589
71.5,-353.58501712644284,-354.5296143699814,-352.5739922837503
73.2,-354.13103907724985,-355.07493562917267,-353.1236182675998
75,-354.7024424000024,-355.6473674789334,-353.6970138717408
76.5,-355.1742631591543,-356.12140444700424,-354.16910076185786
78,-355.642896184946,-356.5934651799909,-354.63676212021903
80,-356.26393288810635,-357.22092348756416,-355.25461921860256
82,-356.8819633240891,-357.8474561157105,-355.86736149548904
84,-357.49834838792907,-358.47439228266154,-356.47639089163147
86,-358.11434861446287,-359.1029671324704,-357.08300181757164
88,-358.7311360425007,-359.73433276590066,-357.68839392973337
90,-359.3498044053244,-360.36956769869005,-358.2936831144582
92,-359.97137790776793,-361.00968498843486,-358.89991096153744
94,-360.59681880328765,-361.6556392277887,-359.50805295816195
96,-361.22703394676006,-362.3083325666348,-360.11902559354024
98,-361.8628804682966,-362.9686198975465,-360.73369253158677
100,-362.50517068862456,-363.637313315812,-361.3528699824098
102,-363.15467637637914,-364.3151859464818,-361.97733138155843
104,-363.81213243107374,-365.0029752154592,-362.6078114681405
106,-364.47824006186556,-365.7013856289504,-363.24500983822145
