Frequency,Nominal,Min,Max
1.08,-0.26984065781495925,-0.2843621684964513,-0.2555799466925562
1.1,-0.27490613679570797,-0.2897063132912022,-0.26037270355403863
1.12,-0.2799753178620904,-0.2950546703582702,-0.26516870751865446
1.15,-0.2875861650255753,-0.30308525304048217,-0.27236892196688095
1.18,-0.2952056856084313,-0.31112569490895425,-0.2795767505927978
1.2,-0.30029028538254837,-0.31649157842200354,-0.2843862903923203
1.22,-0.30537889073410607,-0.3218620104946452,-0.28919934985176865
1.25,-0.313019439629583,-0.32992633093021356,-0.2964256560310747
1.28,-0.3206693350548162,-0.33800125341288967,-0.3036601829883535
1.3,-0.325774555687022,-0.3433905324763967,-0.3084878566374547
1.32,-0.3308840765286714,-0.34878468385277833,-0.31331931645724775
1.35,-0.33855654699497567,-0.35688518447958195,-0.3205737200890025
1.38,-0.34623901624869996,-0.3649970005038118,-0.3278369368757343
1.4,-0.35136631187151507,-0.3704112669515178,-0.33268406395354627
1.42,-0.35649819265724586,-0.3758307157641388,-0.33753523711433386
1.45,-0.3642047328671676,-0.38396973757659236,-0.34481969505395
1.48,-0.37192190141602427,-0.3921207559842398,-0.3521135430522408
1.5,-0.3770726761162845,-0.39756153078769235,-0.35698140903089315
1.55,-0.3899709906859363,-0.4111875568391409,-0.36916998990405947
1.6,-0.402900507923069,-0.42484870087797877,-0.3813862096321575
1.65,-0.41586204080074357,-0.438545822015016,-0.3936308276722651
1.7,-0.42885638326437253,-0.4522797523971998,-0.40590459053901845
1.75,-0.44188430957894986,-0.46605129628301944,-0.41820823136424445
1.8,-0.4549465736783753,-0.47986122912279766,-0.4305424694576742
1.85,-0.4680439085180568,-0.49371029664588084,-0.4429080098694407
1.9,-0.48117702543207375,-0.5075992139568898,-0.4553055429551226
1.95,-0.4943466134962904,-0.5215286646433412,-0.4677357439441494
2,-0.5075533388988793,-0.5354992998971079,-0.48019927251245054
2.05,-0.52079784431985,-0.5495117376523304,-0.49269677236028653
2.1,-0.5340807483212356,-0.5635665617425425,-0.5052288707962612
2.15,-0.5474026447497138,-0.5776643210799173,-0.5177961783285852
2.2,-0.5607641021535203,-0.5918055288596752,-0.5303992882647066
2.25,-0.5741656632156114,-0.6059906617928372,-0.5430387763204962
2.3,-0.5876078442051171,-0.6202201593706279,-0.5557152002402417
2.35,-0.6010911344492245,-0.6344944231639519,-0.5684290994287403
2.4,-0.6146159958276933,-0.6488138161614733,-0.581180994596875
2.45,-0.6281828622923229,-0.6631786621499517,-0.5939713874220818
2.5,-0.6417921394137193,-0.6775892451405237,-0.6068007602251916
2.55,-0.6554442039578201,-0.6920458088447614,-0.6196695756651868
2.6,-0.6691394034946722,-0.7065485562043397,-0.6325782764534407
2.7,-0.6966604497463499,-0.7356932073912991,-0.6585170036172034
2.75,-0.710486842603933,-0.7503353098484122,-0.6715478134114796
2.8,-0.72435746222472,-0.7650239927176923,-0.6846200749832244
2.85,-0.7382725056416151,-0.7797592501871202,-0.6977341278184018
2.9,-0.7522321391679438,-0.7945410341981476,-0.710890290244587
2.95,-0.766236498305793,-0.8093692544601627,-0.7240888593296548
3,-0.7802856877079202,-0.8242437785494756,-0.7373301108140805
3.05,-0.7943797811959081,-0.8391644320963813,-0.7506142990787261
3.1,-0.8085188218372064,-0.8541309990637114,-0.7639416571499952
3.15,-0.8227028220836259,-0.8691432221201301,-0.7773123967442392
3.2,-0.8369317639738255,-0.8842008031112114,-0.7907267083533063
3.3,-0.8655242504566364,-0.914450645697603,-0.8176867042768374
3.4,-0.8942955412872485,-0.9448773494487036,-0.8448227503852479
3.5,-0.923244434410466,-0.9754771313354287,-0.8721356255992037
3.6,-0.9523692847939303,-1.006245636376549,-0.8996257933476635
3.7,-0.9816680285289192,-1.0371779784719837,-0.927293416038628
3.9,-1.0407770271476953,-1.0995243917063304,-0.98316028304761
4,-1.0705813501900179,-1.1309535778928452,-1.0113585288655154
4.1,-1.1005477883069121,-1.1625269180000664,-1.0397017818121217
4.2,-1.1306727297246613,-1.194238012306097,-1.0682091068643014
4.32,-1.1670265611400674,-1.2324639777440087,-1.1026411656552395
4.45,-1.2066535290315439,-1.2740755797510273,-1.140214543091619
4.58,-1.2465255379266191,-1.3158815489419096,-1.1780674002820433
4.75,-1.2990217206959178,-1.3708217382483798,-1.2279832940284834
4.88,-1.3394280980219393,-1.4130261813964904,-1.2664683889070392
5,-1.376921426493253,-1.4521209224511031,-1.3022322095179335
5.15,-1.42404463023774,-1.5011631197714084,-1.3472575741691224
5.3,-1.4714471664815965,-1.5503891115477677,-1.3926381195374553
5.5,-1.5350805145892914,-1.616301002421742,-1.4537003397684563
5.65,-1.5831302899803952,-1.6659440992797887,-1.4999190028634701
5.8,-1.631466124894827,-1.7160206172373007,-1.5465086996878532
6,-1.6963818883247885,-1.78342305974292,-1.608683418556952
6.15,-1.745445593680955,-1.8343309072676997,-1.6557111513612026
6.3,-1.7948626634340112,-1.8855904712185894,-1.703103923334606
6.45,-1.8446682903429148,-1.9372541136516328,-1.75088482759951
6.6,-1.8949054434501504,-1.9893843150040729,-1.799082636242958
6.75,-1.9456252477755944,-2.042054012379422,-1.8477321814410725
6.88,-1.99001865013115,-2.088201828224409,-1.8902922141923955
7,-2.031396537787301,-2.1312676937199337,-1.929933566203646
7.15,-2.083718187471245,-2.1858139800472416,-1.9800073706969235
7.32,-2.143919600433236,-2.2487253235970344,-2.037529706358865
7.5,-2.208851789449391,-2.316793061912437,-2.0994338018464003
7.65,-2.2640193098936976,-2.3748211352108517,-2.151895222069501
7.8,-2.3202630190105866,-2.4341838284773987,-2.2052378201939247
8,-2.3971250392978867,-2.5156575731051785,-2.2778817343830493
8.2,-2.476378186623145,-2.600095673624258,-2.352461504839336
8.4,-2.558296051923732,-2.687813860326234,-2.4291990206124963
8.6,-2.6431324161437564,-2.7790767844620623,-2.508312798054746
8.8,-2.731098117875221,-2.874059965959383,-2.590004536971895
9,-2.8223318971727775,-2.972804492470689,-2.674441544903792
9.2,-2.916866230316351,-3.0751686761250485,-2.7617349700344884
9.4,-3.014591052071782,-3.1807846314121404,-2.851914552895328
9.6,-3.115220642324724,-3.289031202432736,-2.9449017738445633
9.8,-3.2182711907687818,-3.399035784449248,-3.0404847391555414
10,-3.3230574997643254,-3.5097141215404593,-3.138299576699991
10.2,-3.428715634160051,-3.6198483818341534,-3.237823895306442
10.4,-3.534253428172341,-3.728192082717695,-3.338387261653062
10.6,-3.6386235316601505,-3.8335809502549614,-3.4392011664018893
10.8,-3.7408067661617554,-3.9350265937143383,-3.539406807437472
11,-3.8398901442507967,-4.031776207603794,-3.638134391825412
11.2,-3.93512571364543,-4.123332863736797,-3.7345643310869363
11.5,-4.069614668292911,-4.250431069161134,-3.8733715180268136
11.8,-4.193227680441295,-4.365278551400973,-4.003620938401728
12,-4.2694823070832095,-4.435338840843594,-4.085164786385646
12.2,-4.340925046728848,-4.500527885204896,-4.162316922311659
12.5,-4.439508292886204,-4.58990758653537,-4.269835111067861
12.8,-4.528576529604276,-4.670236179789732,-4.367854453281531
13,-4.5831472049535815,-4.719316723666486,-4.428236415022269
13.2,-4.6342097693076045,-4.765182640010757,-4.484912226335265
13.5,-4.704834130955691,-4.828570965361378,-4.563507552677754
